,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Dominion,132,98,7.6,10.0,77920,99.9%
1,Carcassonne,77,181,7.4,10.0,101546,99.9%
2,Dominion: Intrigue,62,84,7.7,10.0,30066,99.9%
3,Tichu,61,170,7.6,10.0,13267,99.9%
4,Ghost Stories,60,275,7.3,10.0,19378,99.9%
5,Can't Stop,60,739,6.8,7.0,13213,99.9%
6,Pickomino,59,1252,6.6,6.5,8983,99.9%
7,Carcassonne: Expansion 1 – Inns & Cathedrals,55,-1,7.6,10.0,19773,99.9%
8,Hanabi,52,391,7.1,10.0,38808,99.9%
9,Dominion: Seaside,49,-1,8.0,9.5,14447,99.9%
10,Pandemic,42,99,7.6,7.0,101865,99.9%
11,Guillotine,42,1182,6.5,6.0,19362,99.9%
12,Arkham Horror,41,333,7.3,10.0,36754,99.9%
13,Scrabble,40,1807,6.3,8.0,26658,99.9%
14,Last Night on Earth: The Zombie Game,32,703,6.9,7.0,13528,99.9%
15,Battlestar Galactica: The Board Game,32,81,7.7,9.0,32861,99.9%
16,Mr. Jack,31,530,7.0,8.5,15314,99.9%
17,No Thanks!,30,449,7.1,7.25,20289,99.9%
18,Coloretto,30,542,7.0,8.0,17960,99.9%
19,Through the Ages: A Story of Civilization,26,49,7.9,10.0,17986,99.7%
20,Flash Point: Fire Rescue,26,344,7.2,9.0,20894,99.7%
21,Fangs,25,924,6.8,8.0,7995,99.6%
22,Harry Potter: Hogwarts Battle,24,288,7.5,8.0,11884,99.6%
23,7 Wonders,24,60,7.8,8.25,84104,99.6%
24,Fluxx,23,8877,5.7,6.5,15803,99.4%
25,Dominion: Alchemy,23,-1,6.9,5.0,8092,99.4%
26,Blue Moon City,21,632,7.0,9.0,7687,99.2%
27,Arkham Horror: The King in Yellow Expansion,20,-1,7.6,8.0,4105,99.0%
28,Dominion: Prosperity,19,-1,8.3,10.0,13433,98.7%
29,Carcassonne: The River,19,-1,7.0,7.5,9925,98.7%
30,Codenames,18,93,7.6,9.0,67424,98.4%
31,Arkham Horror: Dunwich Horror Expansion,18,-1,7.8,9.0,6201,98.4%
32,Hive,17,246,7.3,7.5,29494,98.0%
33,Ghost Stories: White Moon,17,-1,7.9,10.0,1864,98.0%
34,Arkham Horror: Curse of the Dark Pharaoh Expansion,17,-1,7.3,7.0,3521,98.0%
35,Le Havre,16,47,7.9,10.0,26395,97.4%
36,Fabled Fruit,16,770,7.0,8.0,5045,97.4%
37,Shadow Hunters Expansion,15,-1,7.4,8.5,722,96.8%
38,Saint Petersburg,15,303,7.3,7.5,14518,96.8%
39,Perudo,15,684,6.9,7.0,12572,96.8%
40,Lord of the Rings: The Confrontation,15,362,7.5,9.0,5651,96.8%
41,Last Night on Earth: Growing Hunger,15,-1,7.6,7.0,2250,96.8%
42,Pirate Dice: Voyage on the Rolling Seas,14,5269,6.2,7.5,534,96.0%
43,Parade,14,800,7.0,7.0,5914,96.0%
44,Mystic Vale,14,387,7.3,8.0,8936,96.0%
45,Love Letter,14,282,7.2,8.0,55827,96.0%
46,"Hey, That's My Fish!",14,855,6.7,7.5,19341,96.0%
47,Elder Sign,14,548,7.0,7.0,22122,96.0%
48,Battlestar Galactica: The Board Game – Pegasus Expansion,14,-1,7.8,9.0,5552,96.0%
49,Arkham Horror: The Black Goat of the Woods Expansion,14,-1,7.5,8.0,2607,96.0%
50,Space Alert,13,219,7.4,9.0,14751,94.9%
51,Blokus 3D,13,1183,6.8,7.75,3819,94.9%
52,Risk Legacy,13,348,7.4,8.0,7538,94.9%
53,Ra: The Dice Game,13,1447,6.8,7.0,2446,94.9%
54,Clank!: A Deck-Building Adventure,13,63,7.8,9.0,27731,94.9%
55,Chrononauts,13,2483,6.2,6.5,5287,94.9%
56,Trains,12,503,7.2,8.0,7653,93.6%
57,Thebes,12,500,7.1,8.5,9162,93.6%
58,The Resistance: Avalon,12,131,7.6,7.5,27053,93.6%
59,Pandemic Legacy: Season 2,12,35,8.2,10.0,12031,93.6%
60,Machi Koro,12,987,6.6,7.5,26165,93.6%
61,The Little Prince: Make Me a Planet,12,1097,6.9,7.0,3455,93.6%
62,Ghost Stories: The Guardhouse Expansion,12,-1,7.4,8.5,562,93.6%
63,Wits & Wagers,11,622,6.9,8.0,13343,92.0%
64,Vegas Showdown,11,549,7.2,8.5,6077,92.0%
65,Mage Knight Board Game,11,26,8.1,10.0,27775,92.0%
66,Defenders of the Realm,11,525,7.3,8.0,5212,92.0%
67,Codenames: Duet,11,160,7.6,8.0,13865,92.0%
68,Biblios,11,366,7.2,7.0,14969,92.0%
69,Battlestar Galactica: The Board Game – Exodus Expansion,11,-1,8.1,9.0,3510,92.0%
70,Terraforming Mars,10,4,8.4,10.0,64485,90.0%
71,Snake Oil,10,1614,6.7,8.0,2703,90.0%
72,Sentinels of the Multiverse,10,398,7.2,10.0,14738,90.0%
73,One Night Ultimate Werewolf,10,413,7.1,7.0,21419,90.0%
74,Mystic Vale: Vale of Magic,10,-1,7.7,8.0,1144,90.0%
75,Lanterns: The Harvest Festival,10,737,6.9,7.0,9581,90.0%
76,King of Tokyo,10,313,7.2,7.5,57483,90.0%
77,Innovation,10,334,7.2,7.5,14811,90.0%
78,Infinite City,10,3272,6.2,7.5,1744,90.0%
79,Funny Friends,10,1976,6.5,7.0,2466,90.0%
80,Fearsome Floors,10,1115,6.7,9.0,7539,90.0%
81,Android,10,1302,6.7,10.0,3723,90.0%
82,Sushi Go!,9,444,7.1,7.5,34649,87.4%
83,Red November,9,1860,6.3,5.0,7710,87.4%
84,Kingdom Builder,9,545,7.0,8.0,19618,87.4%
85,Acquire,9,276,7.3,8.0,18189,87.4%
86,Takenoko,8,280,7.3,7.0,35084,84.1%
87,Slide 5,8,2851,6.5,7.0,1046,84.1%
88,The Resistance,8,267,7.3,7.0,35861,84.1%
89,Red7,8,657,6.9,8.0,12645,84.1%
90,Lords of Waterdeep,8,71,7.8,7.5,45819,84.1%
91,Ingenious,8,426,7.1,7.75,15617,84.1%
92,Dream Factory,8,745,7.1,7.25,5070,84.1%
93,Harry Potter: Hogwarts Battle – The Monster Box of Monsters Expansion,8,-1,7.6,9.0,1759,84.1%
94,Caylus,8,75,7.8,8.0,26766,84.1%
95,Battle Line,8,224,7.4,8.5,15624,84.1%
96,Android: Netrunner,8,53,7.9,9.0,26700,84.1%
97,Zombie Fluxx,7,3519,6.0,6.75,6110,80.0%
98,Tsuro,7,933,6.7,7.0,23277,80.0%
99,Time's Up!,7,518,7.3,9.0,5029,80.0%
100,Terraforming Mars: Venus Next,7,-1,7.6,10.0,5505,80.0%
101,Sushi Go Party!,7,188,7.5,8.0,22195,80.0%
102,Star Realms,7,115,7.6,7.5,35855,80.0%
103,Smash Up,7,865,6.8,6.5,23563,80.0%
104,Panic Station,7,3713,6.0,6.5,2933,80.0%
105,Pandemic Legacy: Season 1,7,2,8.6,10.0,41490,80.0%
106,Nottingham,7,3143,6.3,6.5,1472,80.0%
107,Nexus Ops,7,454,7.2,8.0,8480,80.0%
108,Machi Koro: Harbor,7,-1,7.1,7.0,5560,80.0%
109,Firefly: The Game,7,343,7.4,8.5,10507,80.0%
110,Dixit,7,278,7.3,7.75,50499,80.0%
111,Defenders of the Realm: The Barbarian,7,-1,7.5,8.0,442,80.0%
112,Crokinole,7,66,7.9,9.0,12136,80.0%
113,Arkham Horror: Innsmouth Horror Expansion,7,-1,7.9,9.5,3306,80.0%
114,Android: Infiltration,7,1685,6.5,7.0,3566,80.0%
115,7 Wonders: Leaders,7,-1,7.8,8.5,13462,80.0%
116,Telestrations,6,258,7.4,7.0,12793,74.8%
117,Super Motherload,6,607,7.4,9.0,3346,74.8%
118,Spirit Island,6,13,8.3,10.0,25448,74.8%
119,Space Hulk: Death Angel – The Card Game,6,614,7.0,7.25,12204,74.8%
120,Snake Oil: Elixir,6,6926,7.7,8.0,82,74.8%
121,Sentinels of the Multiverse: Infernal Relics,6,-1,8.1,9.0,1587,74.8%
122,Kingdom Builder: Nomads,6,-1,7.4,8.0,2173,74.8%
123,Infinite City: Guild Hall and Salvage Yard,6,-1,6.9,6.0,104,74.8%
124,Ghost Stories: The Village People Expansion,6,-1,7.1,5.0,185,74.8%
125,Fast Flowing Forest Fellers,6,2361,6.5,7.0,1567,74.8%
126,Dungeon Petz,6,208,7.5,7.5,12668,74.8%
127,Bananagrams,6,1762,6.4,6.5,8614,74.8%
128,Alhambra,6,468,7.0,7.0,28607,74.8%
129,XCOM: The Board Game,5,640,7.1,7.0,7883,68.3%
130,Troyes,5,83,7.8,8.0,18847,68.3%
131,Sentinels of the Multiverse: Shattered Timelines,5,-1,8.2,10.0,1888,68.3%
132,Sentinels of the Multiverse: Rook City,5,-1,7.9,9.0,1782,68.3%
133,Scripts and Scribes: The Dice Game,5,4953,6.6,7.0,331,68.3%
134,Roll for the Galaxy,5,94,7.7,8.0,26342,68.3%
135,Machi Koro: Millionaire's Row,5,-1,6.7,7.5,2163,68.3%
136,Long Shot,5,1727,6.7,7.0,2098,68.3%
137,King of Tokyo: Promo Cards,5,-1,7.5,-1.0,1072,68.3%
138,King of Tokyo: Power Up!,5,-1,7.6,8.0,10407,68.3%
139,Fireball Island,5,3070,6.4,5.5,1538,68.3%
140,Finca,5,636,7.1,7.0,6811,68.3%
141,Eldritch Horror,5,82,7.8,10.0,29279,68.3%
142,Dominion: Stash Promo Card,5,-1,7.3,5.5,2176,68.3%
143,Blokus Duo,5,1008,6.8,8.0,5093,68.3%
144,Arkham Horror: Kingsport Horror Expansion,5,-1,7.5,6.5,3017,68.3%
145,Trains: Rising Sun,4,955,7.5,8.5,1719,60.1%
146,Ticket to Ride,4,174,7.4,7.0,71408,60.1%
147,Survive: Escape from Atlantis!,4,285,7.3,7.5,20407,60.1%
148,Smash Up: Awesome Level 9000,4,523,7.3,7.0,6489,60.1%
149,Mystic Vale: Shard Eater,4,-1,7.5,6.0,75,60.1%
150,Modern Art Card Game,4,2033,6.6,7.5,1809,60.1%
151,Mage Knight Board Game: The Lost Legion Expansion,4,-1,8.8,10.0,3503,60.1%
152,Lords of Waterdeep: Scoundrels of Skullport,4,-1,8.2,8.0,11442,60.1%
153,Kodama: The Tree Spirits,4,1165,6.7,7.5,4888,60.1%
154,Goa,4,180,7.6,8.0,10921,60.1%
155,Elder Sign: Unseen Forces,4,-1,7.6,7.5,3539,60.1%
156,Dungeon Roll,4,2578,6.1,5.0,7587,60.1%
157,Dixit: Quest,4,-1,7.7,7.75,6616,60.1%
158,Core Worlds,4,713,7.2,7.5,3962,60.1%
