,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Race for the Galaxy,121,59,7.8,10.0,46293,99.9%
1,Roll to the Top!,64,2533,6.9,9.0,859,99.9%
2,Innovation,46,334,7.2,10.0,14811,99.9%
3,Yahtzee Deluxe Poker,38,6032,6.1,9.0,531,99.9%
4,Power Grid,27,39,7.9,10.0,56129,99.8%
5,Agricola,25,31,7.9,10.0,63367,99.6%
6,Hoity Toity,23,1524,6.5,7.0,4939,99.4%
7,Tichu,20,170,7.6,9.0,13267,99.0%
8,KLASK,20,261,7.7,-1.0,5624,99.0%
9,Ultimate Werewolf: Ultimate Edition,19,972,7.0,9.0,3760,98.7%
10,Rallyman: GT,18,1107,7.4,9.0,1878,98.4%
11,The Quacks of Quedlinburg,18,67,7.8,10.0,22044,98.4%
12,Scotland Yard,16,1259,6.5,7.0,14291,97.4%
13,Sorry! Sliders,15,2004,6.4,8.0,3647,96.8%
14,Powerboats,14,1801,6.7,10.0,1844,96.0%
15,Black Friday,14,2489,6.6,9.0,1352,96.0%
16,Battlestar Galactica: The Board Game,13,81,7.7,8.0,32861,94.9%
17,Yomi,11,1155,7.0,9.0,2870,92.0%
18,Time Chase,11,6361,6.6,9.0,211,92.0%
19,Ticket to Ride,11,174,7.4,8.0,71408,92.0%
20,Diamant,11,718,6.8,9.0,17037,92.0%
21,Ca$h 'n Gun$,11,1154,6.6,9.0,9760,92.0%
22,Pandemic,10,99,7.6,9.0,101865,90.0%
23,The Mind,10,618,6.9,9.0,19186,90.0%
24,Loopin' Louie,10,922,6.8,8.0,8390,90.0%
25,Cryptid,10,272,7.5,9.0,7446,90.0%
26,Snow Tails,9,763,7.0,8.0,6008,87.4%
27,Rallyman,9,1003,7.2,9.0,2402,87.4%
28,Memoir '44,9,138,7.6,8.0,25667,87.4%
29,Lost Valley,9,1843,6.7,9.0,1772,87.4%
30,Glory to Rome,9,200,7.5,9.0,12957,87.4%
31,Flamme Rouge,9,198,7.6,-1.0,12056,87.4%
32,We Didn't Playtest This: Legacies,8,6353,6.1,9.0,426,84.1%
33,The Resistance,8,267,7.3,10.0,35861,84.1%
34,Race for the Galaxy: Rebel vs Imperium,8,-1,7.9,9.0,5715,84.1%
35,Quoridor,8,1211,6.7,6.5,6372,84.1%
36,PitchCar,8,386,7.3,8.0,9625,84.1%
37,Letters from Whitechapel,8,264,7.4,9.0,13687,84.1%
38,KeyForge: Call of the Archons,8,423,7.3,7.0,9308,84.1%
39,Impulse,8,1543,6.9,9.0,1946,84.1%
40,Cribbage,8,615,7.1,8.0,8282,84.1%
41,7 Wonders,8,60,7.8,8.0,84104,84.1%
42,Shadows over Camelot,7,406,7.1,8.0,25418,80.0%
43,SET,7,1438,6.5,8.0,10813,80.0%
44,Roll for the Galaxy,7,94,7.7,8.0,26342,80.0%
45,Pitch Car Extension 1,7,-1,7.6,9.0,1684,80.0%
46,Pandemic Legacy: Season 1,7,2,8.6,9.0,41490,80.0%
47,Love Letter,7,282,7.2,-1.0,55827,80.0%
48,Fauna,7,871,7.0,9.0,4009,80.0%
49,Dice Throne: Season One,7,521,7.6,-1.0,3786,80.0%
50,Hnefatafl,6,2736,6.6,7.0,1200,74.8%
51,TransAmerica,6,1104,6.7,7.5,7688,74.8%
52,Splat!,6,16984,5.6,-1.0,161,74.8%
53,Russian Railroads,6,90,7.8,9.0,14806,74.8%
54,Ricochet Robots,6,686,7.0,9.0,7998,74.8%
55,Rallyman: GT – GT5,6,-1,7.9,10.0,112,74.8%
56,Pickomino,6,1252,6.6,7.0,8983,74.8%
57,Peloponnes,6,959,7.1,8.0,2739,74.8%
58,Pandemic Legacy: Season 0,6,375,8.8,8.0,1425,74.8%
59,No Thanks!,6,449,7.1,8.0,20289,74.8%
60,Mottainai,6,937,7.0,8.0,3486,74.8%
61,K2,6,568,7.1,8.0,9050,74.8%
62,Jungle Speed,6,1382,6.5,7.0,11283,74.8%
63,Dungeon Lords,6,257,7.4,8.0,12855,74.8%
64,Dark Moon,6,1038,7.0,8.0,3107,74.8%
65,Conspiracy,6,4863,6.2,9.0,590,74.8%
66,Cash-a-Catch,6,3635,6.4,7.0,954,74.8%
67,Automobiles,6,790,7.3,-1.0,2632,74.8%
68,Walnut Grove,5,1278,7.0,9.0,2153,68.3%
69,Smarty Party!,5,3501,6.6,8.0,643,68.3%
70,One Night Ultimate Werewolf,5,413,7.1,10.0,21419,68.3%
71,Mechs vs. Minions,5,42,8.0,9.0,14015,68.3%
72,JAB: Realtime Boxing,5,3869,6.2,9.0,1021,68.3%
73,Great Western Trail,5,11,8.3,8.0,29290,68.3%
74,Glass Road,5,270,7.4,9.0,9013,68.3%
75,Flash Point: Fire Rescue,5,344,7.2,10.0,20894,68.3%
76,Crokinole,5,66,7.9,9.0,12136,68.3%
77,The Crew: The Quest for Planet Nine,5,41,8.0,-1.0,14567,68.3%
78,Coup,5,501,7.0,9.0,35884,68.3%
79,Tally Ho!,4,2995,6.1,8.0,2713,60.1%
80,Take it Easy!,4,1695,6.6,7.0,2751,60.1%
81,Sumo Ham Slam,4,15060,5.6,8.0,238,60.1%
82,Olympus,4,1950,6.8,6.0,1391,60.1%
83,NMBR 9,4,869,6.9,9.0,5682,60.1%
84,Mint Works,4,804,7.0,8.0,4905,60.1%
85,Lords of Vegas,4,408,7.3,8.0,6532,60.1%
86,Heaven & Ale,4,264,7.6,9.0,6394,60.1%
87,Guildhall,4,1006,6.9,9.0,3911,60.1%
88,Gloomhaven,4,1,8.8,-1.0,41815,60.1%
89,Galaxy Trucker,4,191,7.4,8.0,29437,60.1%
90,Food Chain Magnate,4,30,8.1,-1.0,13806,60.1%
91,Firefly: The Game,4,343,7.4,7.0,10507,60.1%
92,Empire Engine,4,7580,5.8,-1.0,803,60.1%
93,Dilbert: Corporate Shuffle,4,6265,6.0,7.0,619,60.1%
94,Codenames,4,93,7.6,8.0,67424,60.1%
95,Cathedral,4,1859,6.5,8.0,3223,60.1%
96,Bolide,4,3676,6.5,8.0,663,60.1%
97,Battlestar Galactica: The Board Game – Pegasus Expansion,4,-1,7.8,7.0,5552,60.1%
98,BattleLore,4,358,7.4,-1.0,9091,60.1%
99,Architects of the West Kingdom,4,79,7.8,7.0,16705,60.1%
100,Animal Upon Animal: Small and Yet Great!,4,5414,6.3,6.0,418,60.1%
101,You Must Be an Idiot!,3,12835,5.7,7.0,210,49.8%
102,Valdora,3,1724,6.8,7.0,1905,49.8%
103,Unexpected Treasures,3,4307,6.2,8.0,738,49.8%
104,Tzolk'in: The Mayan Calendar,3,40,7.9,8.0,30663,49.8%
105,Sixis,3,9948,6.2,6.0,111,49.8%
106,Sidereal Confluence: Remastered Edition,3,508,7.8,7.0,2328,49.8%
107,Shikoku,3,6055,6.7,7.0,220,49.8%
108,Shaky Manor,3,5375,6.1,7.0,589,49.8%
109,Shadows over Camelot: Merlin's Company,3,-1,7.4,6.0,2819,49.8%
110,Roads & Boats,3,399,7.7,7.0,3075,49.8%
111,Reykholt,3,1528,6.8,8.0,2362,49.8%
112,Rallyman: Dirt,3,-1,8.1,9.0,361,49.8%
113,Quarto,3,956,6.9,6.5,5849,49.8%
114,Quarriors!,3,886,6.8,5.0,13141,49.8%
115,Power Grid: Fabled Expansion,3,-1,7.1,7.0,132,49.8%
116,Power Grid: China/Korea,3,-1,8.0,8.0,2757,49.8%
117,Power Grid: Brazil/Spain & Portugal,3,-1,7.9,8.0,1574,49.8%
