,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Magic: The Gathering,25,158,7.5,10.0,32365,99.6%
1,Schotten Totten,13,394,7.3,9.0,7585,94.9%
2,Codenames,9,93,7.6,8.0,67424,87.4%
3,Love Letter,8,282,7.2,7.0,55827,84.1%
4,Coloretto,8,542,7.0,7.0,17960,84.1%
5,Zombicide,7,481,7.2,8.0,16522,80.0%
6,Blokus 3D,7,1183,6.8,7.0,3819,80.0%
7,Coup,7,501,7.0,8.0,35884,80.0%
8,7 Wonders Duel,7,17,8.1,10.0,59932,80.0%
9,Funny Bunny,5,18062,5.5,7.0,731,68.3%
10,Two Rooms and a Boom,4,901,7.0,9.0,4292,60.1%
11,Tumblin-Dice,4,716,7.2,7.0,3886,60.1%
12,Timebomb,4,1893,7.2,8.0,1018,60.1%
13,Magic Maze,4,497,7.1,9.0,15564,60.1%
14,Mafia de Cuba,4,1603,6.6,7.0,3568,60.1%
15,Serenissima (Second Edition),3,2327,7.0,8.0,899,49.8%
16,Qwinto,3,1105,7.1,7.0,2480,49.8%
17,PitchCar,3,386,7.3,7.0,9625,49.8%
18,Pandemic: The Cure,3,361,7.3,9.0,9373,49.8%
19,My First Stone Age,3,1906,6.7,8.0,1987,49.8%
20,Mixmo,3,5782,6.4,7.0,325,49.8%
21,Imagine,3,1222,6.9,7.0,2898,49.8%
22,"Easy Come, Easy Go",3,8171,5.9,7.0,358,49.8%
23,Bausack,3,1142,6.8,7.0,3860,49.8%
24,Backgammon,3,1277,6.5,7.0,11651,49.8%
25,Villa Paletti,2,1789,6.4,7.0,4030,36.9%
26,V-Commandos,2,1217,7.8,8.0,1240,36.9%
27,Twixt,2,1950,6.6,7.0,2347,36.9%
28,To Court the King,2,1806,6.5,7.0,3870,36.9%
29,Ticket to Ride: First Journey (Europe),2,2238,7.0,8.0,940,36.9%
30,Telestrations,2,258,7.4,8.0,12793,36.9%
31,Spyfall 2,2,1267,7.0,8.0,2253,36.9%
32,Skull,2,381,7.2,7.0,14130,36.9%
33,Robinson Crusoe: Adventures on the Cursed Island,2,54,7.8,8.0,34031,36.9%
34,Ricochet Robots,2,686,7.0,9.0,7998,36.9%
35,Pandemic,2,99,7.6,9.0,101865,36.9%
36,One Deck Dungeon: Forest of Shadows,2,1166,7.2,7.0,1951,36.9%
37,Merchant of Venus (Second Edition),2,776,7.2,8.0,3588,36.9%
38,Loony Quest,2,843,6.9,8.0,5492,36.9%
39,The Grizzled,2,402,7.2,7.0,12202,36.9%
40,Loopin' Louie,2,922,6.8,7.0,8390,36.9%
41,Krazy Wordz,2,3973,7.2,8.0,289,36.9%
42,Jungle Speed,2,1382,6.5,7.0,11283,36.9%
43,Spinderella,2,2803,6.5,7.0,1311,36.9%
44,The Game,2,1013,6.7,7.0,8452,36.9%
45,Tigris & Euphrates,2,92,7.7,9.0,25297,36.9%
