,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Port Royal,23,456,7.1,9.0,12914,99.4%
1,L.L.A.M.A.,12,1725,6.5,8.0,3764,93.6%
2,Codenames,12,93,7.6,7.0,67424,93.6%
3,San Juan (Second Edition),11,318,7.5,9.0,5814,92.0%
4,Coloretto,11,542,7.0,8.0,17960,92.0%
5,Tichu,10,170,7.6,9.0,13267,90.0%
6,Just One,10,163,7.6,8.0,11621,90.0%
7,Voodoo Prince,8,2865,7.0,8.0,571,84.1%
8,Meuterer,8,1136,6.9,7.0,3222,84.1%
9,Carcassonne,8,181,7.4,10.0,101546,84.1%
10,Backgammon,7,1277,6.5,8.0,11651,80.0%
11,Medici,6,537,7.1,8.0,7133,74.8%
12,Taluva,5,507,7.2,8.0,7779,68.3%
13,Skull King,5,548,7.4,7.0,4083,68.3%
14,Navajo Wars,5,1365,8.0,8.0,803,68.3%
15,Medici: The Card Game,5,2395,6.8,8.0,1048,68.3%
16,Lost Cities,5,322,7.2,8.0,37164,68.3%
17,Las Vegas,5,502,7.1,7.0,9208,68.3%
18,Junta: Las Cartas,5,6675,6.5,7.0,185,68.3%
19,Anno Domini: Natur,5,5656,6.8,7.0,196,68.3%
20,Lost Cities: Rivals,4,2465,6.8,8.0,995,60.1%
21,Imperial,4,207,7.6,10.0,8243,60.1%
22,Dominion,4,98,7.6,7.0,77920,60.1%
23,Commands & Colors: Ancients,4,142,7.8,8.0,7975,60.1%
24,The Quest for El Dorado,3,165,7.6,-1.0,11988,49.8%
25,Puerto Rico (with two expansions),3,-1,8.5,9.0,4448,49.8%
26,Kneipenquiz: Neue Fragen,3,-1,7.6,7.0,42,49.8%
27,Kingdom Builder,3,545,7.0,6.0,19618,49.8%
28,Fight for Olympus,3,2496,6.8,6.0,1094,49.8%
29,Evolution: The Beginning,3,1974,6.7,7.0,1800,49.8%
30,Condottiere,3,844,6.8,7.0,8591,49.8%
31,Black Jacky,3,10017,6.3,5.0,108,49.8%
32,Pandemic: Fall of Rome,2,355,7.7,7.0,3818,36.9%
33,Pairs,2,2578,6.4,7.0,2064,36.9%
34,Mombasa,2,86,7.9,8.0,10927,36.9%
35,You're Bluffing!,2,1618,6.6,8.0,3677,36.9%
36,Krazy Wordz: Erwachsenen Edition,2,1796,7.4,7.0,894,36.9%
37,Concordia,2,18,8.1,9.0,27940,36.9%
38,Bruges,2,260,7.4,8.0,10254,36.9%
39,Anno Domini: Europa,2,8475,6.8,8.0,88,36.9%
40,Tuareg,1,6961,6.4,-1.0,204,20.5%
41,Smart10,1,2882,7.5,-1.0,432,20.5%
42,Serenissima (Second Edition),1,2327,7.0,-1.0,899,20.5%
43,Risk,1,19446,5.6,3.0,30178,20.5%
44,Navegador,1,229,7.6,8.0,8013,20.5%
45,Mystery Rummy: Jack the Ripper,1,1074,6.9,-1.0,3316,20.5%
46,Maria,1,329,8.0,-1.0,2773,20.5%
47,The Crew: The Quest for Planet Nine,1,41,8.0,-1.0,14567,20.5%
48,Antike Duellum,1,1405,7.1,6.0,1631,20.5%
49,Anno Domini: Im Namen des Gesetzes,1,7816,6.8,7.0,101,20.5%
50,51st State: Master Set,1,294,7.7,8.0,5137,20.5%
51,Verräter,0,1828,6.7,-1.0,1903,0.0%
52,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",0,885,7.7,-1.0,1649,0.0%
53,Time of Crisis: The Age of Iron and Rust,0,-1,8.2,-1.0,201,0.0%
54,The Starfarers of Catan,0,1097,6.8,7.0,5031,0.0%
55,Catan: Cities & Knights,0,-1,7.5,-1.0,17116,0.0%
56,Catan: Seafarers,0,-1,7.2,-1.0,16346,0.0%
57,Die Siedler von Catan: Historische Szenarien,0,-1,6.5,-1.0,998,0.0%
58,Catan Card Game,0,960,6.7,6.0,13003,0.0%
59,Catan,0,395,7.2,7.0,101212,0.0%
60,The Quest for El Dorado: Heroes & Hexes,0,-1,7.7,-1.0,704,0.0%
61,Port Royal: Just One More Contract...,0,-1,7.5,6.0,1780,0.0%
62,Port Royal: The Adventure Begins...,0,-1,7.2,-1.0,350,0.0%
63,Peloponnes,0,959,7.1,-1.0,2739,0.0%
64,Mombasa: Cooked Books Mini Expansion,0,-1,7.9,-1.0,170,0.0%
65,Modern Art,0,221,7.4,-1.0,16670,0.0%
66,Junta,0,1253,6.7,7.0,5397,0.0%
67,Ingenious,0,426,7.1,6.0,15617,0.0%
68,Hellas,0,3057,6.2,8.0,2056,0.0%
69,Glass Road,0,270,7.4,-1.0,9013,0.0%
70,Dominion: Renaissance,0,-1,8.4,-1.0,703,0.0%
71,Cyclades,0,183,7.5,6.0,17824,0.0%
72,Concordia: Salsa,0,-1,8.3,7.0,2986,0.0%
73,Commands & Colors: Medieval,0,2624,8.3,-1.0,328,0.0%
74,Chicago Express,0,453,7.2,-1.0,7392,0.0%
75,Carolus Magnus,0,1204,6.8,-1.0,3405,0.0%
76,Carcassonne: Expansion 9 – Hills & Sheep,0,-1,7.3,-1.0,1472,0.0%
77,Carcassonne: Expansion 2 – Traders & Builders,0,-1,7.6,7.0,15539,0.0%
78,Anno Domini: Wort Schrift Buch,0,8885,6.8,-1.0,80,0.0%
79,1754: Conquest – The French and Indian War,0,1742,7.9,7.0,658,0.0%
