,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Battle Line,39,224,7.4,9.0,15624,99.9%
1,Star Realms,38,115,7.6,9.0,35855,99.9%
2,Android: Netrunner,28,53,7.9,10.0,26700,99.8%
3,Port Royal,24,456,7.1,7.0,12914,99.6%
4,Codenames,24,93,7.6,8.5,67424,99.6%
5,7 Wonders Duel,23,17,8.1,9.0,59932,99.4%
6,NHL Ice Breaker: The Card Hockey Board Game,19,7043,6.2,7.0,293,98.7%
7,Splendor,18,167,7.5,8.5,58499,98.4%
8,Troyes,17,83,7.8,10.0,18847,98.0%
9,Love Letter,17,282,7.2,7.0,55827,98.0%
10,Ricochet Robots,15,686,7.0,9.0,7998,96.8%
11,Black Stories,15,3230,6.0,7.0,4066,96.8%
12,Sun Tzu,15,1223,7.1,8.25,2142,96.8%
13,Dixit,14,278,7.3,9.0,50499,96.0%
14,Patchwork,13,88,7.7,8.0,46298,94.9%
15,Grand Austria Hotel,13,87,7.8,10.0,12516,94.9%
16,SET,12,1438,6.5,8.5,10813,93.6%
17,Citadels,12,403,7.1,5.5,48290,93.6%
18,The Voyages of Marco Polo,12,55,7.9,10.0,20157,93.6%
19,Twilight Struggle,11,10,8.3,10.0,40694,92.0%
20,Mr. Jack,11,530,7.0,8.0,15314,92.0%
21,Targi,10,123,7.6,8.0,14453,90.0%
22,Risk Express,10,3743,6.3,6.5,987,90.0%
23,Gulo Gulo,10,1311,6.8,7.0,2753,90.0%
24,Nations,9,148,7.6,10.0,11130,87.4%
25,Keyflower,9,72,7.8,9.0,18952,87.4%
26,Glass Road,9,270,7.4,8.5,9013,87.4%
27,Crokinole,9,66,7.9,9.0,12136,87.4%
28,"Treasure, Ready, Go!",9,6500,7.0,6.0,126,87.4%
29,Abyss,9,341,7.3,8.0,10096,87.4%
30,Ticket to Ride,8,174,7.4,8.0,71408,84.1%
31,Sleuth,8,1205,6.9,8.5,2734,84.1%
32,Oh My Goods!,8,630,7.0,7.0,9332,84.1%
33,Las Vegas,8,502,7.1,-1.0,9208,84.1%
34,Igloo Pop,8,3387,6.3,6.0,1210,84.1%
35,La Granja,8,168,7.7,-1.0,8724,84.1%
36,Castles of Mad King Ludwig,8,133,7.6,9.0,22082,84.1%
37,Perudo,8,684,6.9,8.0,12572,84.1%
38,Agricola,8,31,7.9,10.0,63367,84.1%
39,Blokus Duo,7,1008,6.8,7.0,5093,80.0%
40,Runebound: Second Edition,7,888,6.9,6.75,7749,80.0%
41,The Lord of the Rings,7,876,6.8,7.0,14258,80.0%
42,King of Tokyo,7,313,7.2,7.5,57483,80.0%
43,Jungle Brunch,7,9909,6.1,7.0,166,80.0%
44,Brass: Lancashire,7,19,8.2,10.0,19333,80.0%
45,Zooloretto,6,755,6.8,7.0,13881,74.8%
46,Animal Upon Animal,6,908,6.8,7.0,7101,74.8%
47,Terraforming Mars,6,4,8.4,10.0,64485,74.8%
48,Catan,6,395,7.2,7.0,101212,74.8%
49,Qwirkle,6,796,6.8,8.0,16075,74.8%
50,Codenames: Pictures,6,319,7.3,-1.0,16964,74.8%
51,Mombasa,6,86,7.9,10.0,10927,74.8%
52,The Magic Labyrinth,6,1053,6.8,6.5,4859,74.8%
53,Last Night on Earth: The Zombie Game,6,703,6.9,9.0,13528,74.8%
54,Kingdom Builder,6,545,7.0,8.0,19618,74.8%
55,Isle of Skye: From Chieftain to King,6,195,7.4,-1.0,20353,74.8%
56,Hive,6,246,7.3,7.5,29494,74.8%
57,Hawaii,6,716,7.2,9.0,4184,74.8%
58,Great Western Trail,6,11,8.3,10.0,29290,74.8%
59,Ginkgopolis,6,412,7.4,8.5,4963,74.8%
60,Escape: The Curse of the Temple – Big Box,6,-1,7.6,-1.0,1455,74.8%
61,Copa,6,9946,6.7,7.0,74,74.8%
62,The Castles of Burgundy,6,15,8.1,10.0,46330,74.8%
63,Agricola: All Creatures Big and Small,6,279,7.4,8.5,12301,74.8%
64,The Adventurers: The Temple of Chac,6,1414,6.6,6.5,4614,74.8%
65,Ubongo Extreme,5,2080,6.8,8.0,1296,68.3%
66,Tobago,5,488,7.1,7.0,10608,68.3%
67,Thunderstone,5,694,6.9,9.0,10079,68.3%
68,Taluva,5,507,7.2,8.5,7779,68.3%
69,Treasure Hunter,5,1465,6.8,-1.0,2660,68.3%
70,Saint Petersburg,5,303,7.3,8.5,14518,68.3%
71,The Little Prince: Make Me a Planet,5,1097,6.9,6.0,3455,68.3%
72,Machi Koro,5,987,6.6,-1.0,26165,68.3%
73,Lost Cities,5,322,7.2,7.0,37164,68.3%
74,Lorenzo il Magnifico,5,97,7.9,-1.0,9055,68.3%
75,Loopin' Louie,5,922,6.8,8.5,8390,68.3%
76,Hanamikoji,5,206,7.5,-1.0,10948,68.3%
77,Pyramid of Pengqueen,5,1593,6.9,7.0,1749,68.3%
78,Combat Commander: Europe,5,156,7.9,10.0,5376,68.3%
79,Caverna: Cave vs Cave,5,607,7.2,-1.0,5034,68.3%
80,BattleLore,5,358,7.4,8.0,9091,68.3%
81,Walnut Grove,4,1278,7.0,8.0,2153,60.1%
82,Village,4,156,7.5,8.5,20214,60.1%
83,The Downfall of Pompeii,4,541,7.1,8.0,7368,60.1%
84,Tajemnicze Domostwo,4,633,7.2,8.0,4875,60.1%
85,Steam Time,4,1401,7.1,8.5,1555,60.1%
86,Six Making,4,4425,7.7,-1.0,228,60.1%
87,Seasons,4,210,7.4,8.5,20745,60.1%
88,"Hey, That's My Fish!",4,855,6.7,6.9,19341,60.1%
89,Orléans,4,25,8.1,-1.0,22110,60.1%
90,Le Havre,4,47,7.9,10.0,26395,60.1%
91,Hansa Teutonica,4,139,7.6,9.0,11425,60.1%
92,Gold West,4,781,7.4,9.0,2348,60.1%
93,Ghost Blitz: 5 to 12,4,2558,7.0,-1.0,821,60.1%
94,Ghost Blitz,4,1099,6.7,7.0,6841,60.1%
95,Five Tribes,4,65,7.8,10.0,32178,60.1%
96,First Class: All Aboard the Orient Express!,4,393,7.5,8.0,4828,60.1%
97,Dixit: Odyssey,4,212,7.5,9.0,16662,60.1%
98,Descent: Journeys in the Dark (Second Edition),4,116,7.7,9.0,22661,60.1%
99,7 Wonders,4,60,7.8,6.9,84104,60.1%
100,ZhanGuo,3,525,7.6,9.5,2863,49.8%
101,Winner's Circle,3,834,7.0,7.75,5048,49.8%
102,Pelican Cove,3,2339,6.7,8.25,1131,49.8%
103,Tumblin-Dice,3,716,7.2,9.0,3886,49.8%
104,Trambahn,3,1427,7.0,7.5,1874,49.8%
105,Stone Age,3,111,7.6,7.5,44874,49.8%
106,Steam,3,186,7.6,9.0,9546,49.8%
107,Samurai,3,209,7.5,8.0,14736,49.8%
108,Enchanted Forest,3,6761,5.7,3.0,2490,49.8%
109,Quoridor,3,1211,6.7,-1.0,6372,49.8%
110,Pirates on the High Seas,3,6546,6.8,7.0,156,49.8%
111,Peloponnes,3,959,7.1,8.0,2739,49.8%
112,Nauticus,3,1857,6.9,8.0,1247,49.8%
113,Madeira,3,383,7.6,10.0,3902,49.8%
114,Lectio,3,3128,6.8,9.0,603,49.8%
115,Jaipur,3,135,7.5,8.0,37008,49.8%
116,Istanbul,3,117,7.6,8.0,25157,49.8%
117,Harap Alb Continuă... un joc Love Letter,3,-1,6.1,-1.0,9,49.8%
118,Glen More,3,346,7.3,8.0,8672,49.8%
119,Confusion: Espionage and Deception in the Cold War,3,1586,7.1,8.5,1333,49.8%
120,Concept,3,756,6.8,7.5,15389,49.8%
121,Century: Spice Road,3,250,7.4,-1.0,18492,49.8%
122,Cacao,3,555,7.1,-1.0,8276,49.8%
123,Bruxelles 1893,3,299,7.7,8.5,4705,49.8%
124,Beasty Bar,3,1261,6.8,-1.0,3222,49.8%
125,Azul,3,50,7.8,8.0,53207,49.8%
126,Wiz-War (Eighth Edition),2,805,7.1,7.5,4642,36.9%
127,Viceroy,2,1016,6.8,8.0,5061,36.9%
128,Tribune: Primus Inter Pares,2,629,7.2,9.0,4415,36.9%
129,Trajan,2,95,7.8,9.5,14678,36.9%
