,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Agricola,24,31,7.9,9.0,63367,99.6%
1,Coloretto,18,542,7.0,7.5,17960,98.4%
2,Magic: The Gathering,16,158,7.5,8.5,32365,97.4%
3,Battle Line,15,224,7.4,8.0,15624,96.8%
4,"Hey, That's My Fish!",14,855,6.7,7.5,19341,96.0%
5,Lost Cities,12,322,7.2,7.0,37164,93.6%
6,Carcassonne: Hunters and Gatherers,9,490,7.1,7.0,11093,87.4%
7,Dominion,8,98,7.6,9.0,77920,84.1%
8,Friday,6,413,7.1,8.0,16438,74.8%
9,Eat Poop You Cat,6,1041,7.5,7.0,1587,74.8%
10,PitchCar,5,386,7.3,6.5,9625,68.3%
11,Modern Art,5,221,7.4,8.0,16670,68.3%
12,Bohnanza,5,450,7.0,7.0,38186,68.3%
13,The Resistance,4,267,7.3,7.5,35861,60.1%
14,Lamarckian Poker,4,10430,6.5,7.0,83,60.1%
15,Eclipse,4,51,7.9,9.0,26127,60.1%
16,Through the Desert,4,499,7.1,7.0,12705,60.1%
17,6 nimmt!,4,597,6.9,7.0,20527,60.1%
18,Pandemic,3,99,7.6,6.5,101865,49.8%
19,Arvuutin,3,9743,6.8,6.5,64,49.8%
20,Lord of the Rings: The Confrontation,2,362,7.5,8.0,5651,36.9%
21,String Railway,2,2613,6.4,7.5,1864,36.9%
22,Stone Age,2,111,7.6,7.5,44874,36.9%
23,Principato,2,4070,6.2,7.0,993,36.9%
24,No Thanks!,2,449,7.1,7.0,20289,36.9%
25,BANG! The Bullet!,2,-1,6.9,7.0,7846,36.9%
26,Werewolf,2,1655,6.5,7.0,4359,36.9%
27,Wizard,1,759,6.9,7.0,8341,20.5%
28,Walnut Grove,1,1278,7.0,6.5,2153,20.5%
29,Ticket to Ride Map Collection: Volume 2 – India & Switzerland,1,-1,7.8,7.0,5206,20.5%
30,Takenoko,1,280,7.3,7.5,35084,20.5%
31,Ticket to Ride,1,174,7.4,8.0,71408,20.5%
32,Visionary,0,6317,6.5,6.0,227,0.0%
33,Utopia Engine,0,3037,6.9,-1.0,745,0.0%
34,Under Falling Skies: A 9-Card Print-and-Play Game,0,2701,7.6,-1.0,492,0.0%
35,Two Rooms and a Boom,0,901,7.0,6.0,4292,0.0%
36,Ticket to Ride: USA 1910,0,-1,8.0,7.0,10064,0.0%
37,Spree!,0,12300,5.7,5.0,292,0.0%
38,Risk,0,19446,5.6,5.0,30178,0.0%
39,The Resistance: Avalon,0,131,7.6,-1.0,27053,0.0%
40,Balderdash,0,1749,6.5,6.0,5396,0.0%
41,Racetrack,0,8077,6.4,6.0,159,0.0%
42,Pandemic: On the Brink,0,-1,8.1,-1.0,16131,0.0%
43,Mandala,0,579,7.7,7.5,2296,0.0%
44,Love Letter,0,282,7.2,-1.0,55827,0.0%
45,Lord of the Fries,0,4587,6.0,5.5,1629,0.0%
46,Laserburn: Sci-Fi Combat Rules,0,-1,6.8,-1.0,27,0.0%
47,Kill Doctor Lucky,0,2530,6.2,6.0,6496,0.0%
48,Fog of Love,0,877,7.0,-1.0,5302,0.0%
49,Eclipse: Supernova,0,-1,7.5,8.0,1018,0.0%
50,Eclipse: Rise of the Ancients,0,-1,8.4,-1.0,3631,0.0%
51,Eclipse: Pulsar,0,-1,7.7,-1.0,695,0.0%
52,Dominion: Seaside,0,-1,8.0,8.0,14447,0.0%
53,Dominion: Prosperity,0,-1,8.3,9.0,13433,0.0%
54,Dominion: Black Market Promo Card,0,-1,7.1,8.0,3490,0.0%
55,Dominion: Envoy Promo Card,0,-1,7.2,8.0,3237,0.0%
56,Dominion: Stash Promo Card,0,-1,7.3,8.0,2176,0.0%
57,Dominion: Intrigue,0,84,7.7,9.0,30066,0.0%
58,Dominion: Hinterlands,0,-1,8.0,8.0,5757,0.0%
59,Dominion: Cornucopia,0,-1,7.7,8.0,5662,0.0%
60,Dominion: Alchemy,0,-1,6.9,8.0,8092,0.0%
61,"Dixit: Odyssey – ""Bunny"" Promo Card",0,-1,7.3,8.0,367,0.0%
62,Dixit: Odyssey,0,212,7.5,8.0,16662,0.0%
63,Dixit: Origins,0,-1,7.8,8.0,2316,0.0%
64,Dixit: Quest,0,-1,7.7,8.0,6616,0.0%
65,Clue,0,8703,5.7,5.0,17489,0.0%
66,Chicago Express,0,453,7.2,-1.0,7392,0.0%
67,Chez Geek 3: Block Party,0,-1,6.4,5.0,1001,0.0%
68,Change!,0,18799,5.3,5.5,161,0.0%
69,Bitin' Off Hedz,0,20189,4.6,4.5,470,0.0%
70,The Big Cheese,0,7850,5.9,5.5,487,0.0%
71,Alcatraz,0,16446,5.5,6.0,251,0.0%
72,"Air, Land, & Sea",0,792,7.6,-1.0,1879,0.0%
73,Agricola: Farmers of the Moor,0,-1,8.1,-1.0,5599,0.0%
74,1000 Blank White Cards,0,4007,6.7,-1.0,520,0.0%
