,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Gloomhaven,54,1,8.8,10.0,41815,99.9%
1,The Lord of the Rings: The Card Game,35,129,7.6,-1.0,20755,99.9%
2,Sprawlopolis,32,486,7.5,-1.0,4028,99.9%
3,Marvel Champions: The Card Game,29,52,8.2,8.0,9451,99.8%
4,Tramways Engineer's Workbook,26,3903,7.4,9.0,257,99.7%
5,Herbaceous,26,938,7.1,7.0,3375,99.7%
6,Orchard: A 9 card solitaire game,24,1410,7.5,8.0,1090,99.6%
7,Zombie Dice,23,2090,6.2,6.0,16146,99.4%
8,Palm Island,23,747,7.3,-1.0,3428,99.4%
9,Dominion,23,98,7.6,8.0,77920,99.4%
10,Codenames,23,93,7.6,8.0,67424,99.4%
11,Santorini,22,166,7.5,8.0,27705,99.3%
12,Pandemic Legacy: Season 1,22,2,8.6,10.0,41490,99.3%
13,Harry Potter: Hogwarts Battle,21,288,7.5,8.0,11884,99.2%
14,The Game,21,1013,6.7,7.0,8452,99.2%
15,Arkham Horror: The Card Game,20,22,8.2,8.0,28406,99.0%
16,Pandemic Legacy: Season 2,19,35,8.2,10.0,12031,98.7%
17,Codenames: Duet,19,160,7.6,8.0,13865,98.7%
18,That's Pretty Clever!,18,130,7.6,8.0,14225,98.4%
19,Carcassonne,18,181,7.4,8.0,101546,98.4%
20,The Rise of Queensdale,17,1557,7.6,8.5,932,98.0%
21,The Quacks of Quedlinburg,17,67,7.8,8.0,22044,98.0%
22,Legendary: A Marvel Deck Building Game,17,175,7.6,-1.0,19734,98.0%
23,The 7th Continent,17,32,8.2,9.0,16777,98.0%
24,Marvel Fluxx,16,5533,6.7,-1.0,252,97.4%
25,Limes,16,2117,6.9,8.0,1119,97.4%
26,Just One,16,163,7.6,8.0,11621,97.4%
27,Charterstone,16,306,7.4,8.0,11703,97.4%
28,Telestrations,14,258,7.4,7.0,12793,96.0%
29,FUSE,14,645,7.1,8.0,7016,96.0%
30,Dinosaur Tea Party,14,3076,6.7,7.5,751,96.0%
31,The Chameleon,14,1899,6.7,7.0,2226,96.0%
32,Avenue,13,1834,6.9,7.5,1361,94.9%
33,Hostage Negotiator,11,1035,6.9,7.0,4182,92.0%
34,Escape: The Curse of the Temple,11,544,7.0,7.5,15459,92.0%
35,Welcome To...,10,126,7.6,9.0,17195,90.0%
36,Pandemic Legacy: Season 0,10,375,8.8,-1.0,1425,90.0%
37,The Mind,10,618,6.9,7.0,19186,90.0%
38,It's a Wonderful World,10,172,7.9,-1.0,5855,90.0%
39,A Fake Artist Goes to New York,10,656,7.2,-1.0,4768,90.0%
40,Codenames: Deep Undercover,10,1730,6.6,6.0,2719,90.0%
41,Clank!: A Deck-Building Adventure,10,63,7.8,8.0,27731,90.0%
42,Calico,10,346,8.0,-1.0,2850,90.0%
43,Wingspan,9,20,8.1,9.0,42672,87.4%
44,Terraforming Mars,9,4,8.4,9.0,64485,87.4%
45,T.I.M.E Stories,9,143,7.6,8.0,23672,87.4%
46,Chronicles of Crime,9,141,7.8,9.0,14109,87.4%
47,Twice as Clever!,8,373,7.5,-1.0,4866,84.1%
48,Tiny Towns,8,321,7.4,8.5,10056,84.1%
49,Ticket to Ride: First Journey (U.S.),8,1823,6.9,-1.0,1491,84.1%
50,Sushi Go!,8,444,7.1,7.0,34649,84.1%
51,Splendor,8,167,7.5,7.0,58499,84.1%
52,PitchCar,8,386,7.3,-1.0,9625,84.1%
53,OctoDice,8,2906,6.5,6.5,1064,84.1%
54,The Isle of Cats,8,114,8.0,-1.0,6250,84.1%
55,Glass Road,8,270,7.4,9.0,9013,84.1%
56,Thunderstone Quest,7,338,7.9,8.0,3142,80.0%
57,Sushi Go Party!,7,188,7.5,7.5,22195,80.0%
58,Rolling America,7,2734,6.4,7.0,1516,80.0%
59,Onirim (Second Edition),7,580,7.1,7.0,8087,80.0%
60,Nusfjord,7,365,7.6,8.0,4091,80.0%
61,Kingdomino,7,217,7.4,8.0,32067,80.0%
62,Codenames: Pictures,7,319,7.3,7.0,16964,80.0%
63,Castellion,7,1568,7.0,7.0,1748,80.0%
64,Smash Up,6,865,6.8,6.0,23563,74.8%
65,Sleeping Queens,6,2115,6.5,6.5,3160,74.8%
66,Sagrada,6,147,7.5,8.0,25897,74.8%
67,Roll Player,6,194,7.5,8.0,13177,74.8%
68,Ragemore,6,9162,7.0,-1.0,77,74.8%
69,NMBR 9,6,869,6.9,7.0,5682,74.8%
70,Junk Art,6,412,7.4,7.0,5426,74.8%
71,Happy Pigs,6,1831,6.8,7.0,1532,74.8%
72,Hanabi,6,391,7.1,8.0,38808,74.8%
73,Escape Tales: The Awakening,6,1173,7.2,-1.0,1796,74.8%
74,Coffee Roaster,6,975,7.6,-1.0,1549,74.8%
75,The Castles of Burgundy,6,15,8.1,9.0,46330,74.8%
76,Cartographers,6,122,7.8,-1.0,10489,74.8%
77,Ticket to Ride,5,174,7.4,8.0,71408,68.3%
78,Rhino Hero: Super Battle,5,704,7.3,7.0,3451,68.3%
79,Pandemic,5,99,7.6,9.0,101865,68.3%
80,On Tour,5,1068,7.1,8.0,2651,68.3%
81,Mr. Cabbagehead's Garden,5,2932,7.2,-1.0,486,68.3%
82,Mombasa,5,86,7.9,9.0,10927,68.3%
83,Maracaibo,5,38,8.3,9.0,7481,68.3%
84,King of Tokyo,5,313,7.2,6.0,57483,68.3%
85,ICECOOL,5,863,6.8,7.0,8165,68.3%
86,The Gallerist,5,57,8.0,10.0,9649,68.3%
87,Everdell,5,36,8.1,-1.0,19285,68.3%
88,Dixit,5,278,7.3,7.0,50499,68.3%
89,Aeon's End,5,70,8.0,8.0,10796,68.3%
90,7 Wonders Duel,5,17,8.1,8.5,59932,68.3%
91,7 Wonders,5,60,7.8,9.0,84104,68.3%
92,Zombie Kidz Evolution,4,659,7.9,-1.0,1872,60.1%
93,Viticulture Essential Edition,4,23,8.1,9.0,29285,60.1%
94,Tiny Epic Galaxies,4,271,7.4,7.0,15645,60.1%
95,The Taverns of Tiefenthal,4,267,7.6,-1.0,6217,60.1%
96,Patchwork,4,88,7.7,8.0,46298,60.1%
97,Pandemic: The Cure,4,361,7.3,7.5,9373,60.1%
98,Mechs vs. Minions,4,42,8.0,8.0,14015,60.1%
99,Loony Quest,4,843,6.9,7.0,5492,60.1%
100,Kingdom Builder,4,545,7.0,7.5,19618,60.1%
101,Imperial Settlers: Empires of the North,4,416,7.6,-1.0,3836,60.1%
102,A Feast for Odin,4,21,8.2,9.0,17278,60.1%
103,Dweebies,4,6754,5.9,6.0,652,60.1%
104,Dungeon Roll,4,2578,6.1,6.5,7587,60.1%
105,Cacao,4,555,7.1,7.0,8276,60.1%
106,Boomerang,4,3290,7.1,-1.0,434,60.1%
107,Black Sonata,4,1192,7.6,-1.0,1290,60.1%
108,Bärenpark,4,291,7.4,-1.0,11956,60.1%
109,Amerigo,4,360,7.5,8.0,5492,60.1%
