,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Perudo,13,684,6.9,-1.0,12572,94.9%
1,Blokus 3D,13,1183,6.8,-1.0,3819,94.9%
2,Tichu,11,170,7.6,10.0,13267,92.0%
3,"Hey, That's My Fish!",11,855,6.7,7.4,19341,92.0%
4,Saint Petersburg,10,303,7.3,7.0,14518,90.0%
5,Pickomino,10,1252,6.6,6.0,8983,90.0%
6,Batik,10,6906,5.9,-1.0,558,90.0%
7,Age of Steam,9,118,7.8,7.5,8840,87.4%
8,Ticket to Ride,8,174,7.4,8.0,71408,84.1%
9,Medici,7,537,7.1,6.8,7133,80.0%
10,Hive,7,246,7.3,-1.0,29494,80.0%
11,Fjords,7,1428,6.7,7.0,2972,80.0%
12,Ra,6,177,7.5,8.5,19077,74.8%
13,PÜNCT,6,1842,6.8,8.0,1659,74.8%
14,Fairy Tale,6,970,6.7,8.3,8457,74.8%
15,Agricola,6,31,7.9,8.5,63367,74.8%
16,The Scepter of Zavandor,5,1213,7.0,7.5,2482,68.3%
17,Pick Picknic,5,1836,6.6,-1.0,2533,68.3%
18,Mesopotamia,5,2437,6.5,-1.0,1556,68.3%
19,Kalah,5,3728,5.9,-1.0,5918,68.3%
20,Hamsterrolle,5,1564,6.8,-1.0,2047,68.3%
21,Caylus,5,75,7.8,9.2,26766,68.3%
22,Union Pacific,4,668,7.2,7.5,4173,60.1%
23,Siam,4,3326,6.7,-1.0,610,60.1%
24,Roll Through the Ages: The Bronze Age,4,712,6.9,-1.0,11484,60.1%
25,RoboRally,4,441,7.1,8.0,22444,60.1%
26,Monza,4,2108,6.6,-1.0,1820,60.1%
27,Metropolys,4,845,7.0,8.0,4008,60.1%
28,Masons,4,1991,6.5,-1.0,2403,60.1%
29,Lifeboats,4,1609,6.6,6.0,3425,60.1%
30,Kreta,4,1904,6.9,8.0,1323,60.1%
31,Gyges,4,4677,6.7,-1.0,355,60.1%
32,Gemblo,4,1999,6.8,7.0,1407,60.1%
33,Drakon (Third Edition),4,2032,6.5,-1.0,2710,60.1%
34,Chaos,4,15430,5.7,-1.0,62,60.1%
35,Antike,4,771,7.1,7.3,4577,60.1%
36,ZÈRTZ,3,653,7.3,8.0,3909,49.8%
37,Ys,3,1281,6.9,8.0,2485,49.8%
38,What's It to Ya?,3,5718,6.6,-1.0,255,49.8%
39,Ticket to Ride: Europe,3,119,7.5,-1.0,58364,49.8%
40,Thurn and Taxis,3,428,7.1,8.0,18091,49.8%
41,That's Life!,3,1906,6.5,-1.0,2809,49.8%
42,Terra Nova,3,2608,6.4,6.5,1640,49.8%
43,Tanz der Hornochsen!,3,3568,6.5,-1.0,692,49.8%
44,Sun Tzu,3,1223,7.1,6.8,2142,49.8%
45,Stick 'Em,3,1012,7.0,7.4,2921,49.8%
46,Rheinländer,3,2253,6.6,-1.0,1517,49.8%
47,Polarity,3,2766,6.4,-1.0,1718,49.8%
48,PitchCar,3,386,7.3,8.5,9625,49.8%
49,Pandemic,3,99,7.6,8.0,101865,49.8%
50,Palazzo,3,1922,6.5,-1.0,2402,49.8%
51,On the Underground,3,1293,6.9,-1.0,2377,49.8%
52,No Thanks!,3,449,7.1,7.0,20289,49.8%
53,Lascaux,3,3313,6.3,-1.0,1067,49.8%
54,Jamaica,3,493,7.1,8.0,16227,49.8%
55,Ice Cream,3,17341,5.5,-1.0,250,49.8%
56,I Go!,3,3330,6.4,6.2,994,49.8%
57,Himalaya,3,1285,7.0,7.0,2118,49.8%
58,El Grande,3,78,7.8,10.0,23511,49.8%
59,Die Dolmengötter,3,4184,6.6,6.5,456,49.8%
60,Cuba,3,531,7.1,-1.0,7891,49.8%
61,Buccaneer,3,2893,6.3,6.5,1686,49.8%
62,Bausack,3,1142,6.8,-1.0,3860,49.8%
63,10 Days in the USA,3,2223,6.5,-1.0,2021,49.8%
64,Wizard Kings,2,2422,6.7,8.0,1181,36.9%
65,Wits & Wagers,2,622,6.9,5.8,13343,36.9%
66,Wildlife Safari,2,1603,6.6,-1.0,2802,36.9%
67,Vegas Showdown,2,549,7.2,-1.0,6077,36.9%
68,Twilight Struggle,2,10,8.3,9.1,40694,36.9%
69,Tower of Babel,2,1814,6.6,-1.0,2268,36.9%
70,Tonga Bonga,2,4533,6.4,-1.0,479,36.9%
71,Ticket to Ride: USA 1910,2,-1,8.0,-1.0,10064,36.9%
72,Through the Ages: A Story of Civilization,2,49,7.9,9.0,17986,36.9%
73,Thingamajig,2,6570,6.4,6.5,219,36.9%
74,Ta Yü,2,1716,7.0,8.0,1473,36.9%
75,Subulata,2,7307,6.5,6.5,155,36.9%
76,Snap: The Interlocking Dragon-Making Game,2,19385,5.2,-1.0,231,36.9%
77,Siesta,2,6354,6.3,-1.0,303,36.9%
78,Sherlock,2,4766,6.3,-1.0,577,36.9%
79,Shadows over Camelot,2,406,7.1,-1.0,25418,36.9%
80,Seismic,2,10759,5.8,-1.0,267,36.9%
81,Santiago,2,700,7.1,8.0,4817,36.9%
82,Sakkara,2,12265,5.9,-1.0,140,36.9%
83,Pyramid of Pengqueen,2,1593,6.9,-1.0,1749,36.9%
84,Port Dover,2,-1,6.1,-1.0,24,36.9%
85,Patrician,2,2280,6.6,-1.0,1459,36.9%
86,Paris Paris,2,3762,6.2,-1.0,1160,36.9%
87,O Zoo le Mio,2,1862,6.6,7.5,2139,36.9%
88,Mykerinos,2,1073,6.9,7.8,3854,36.9%
89,The Mole in the Hole,2,3774,6.3,-1.0,892,36.9%
90,Manila,2,803,7.0,-1.0,5483,36.9%
91,Die Macher,2,286,7.6,-1.0,5222,36.9%
92,League of Six,2,1674,6.8,-1.0,1878,36.9%
93,Kaivai,2,3787,6.9,7.2,391,36.9%
94,Ingenious,2,426,7.1,-1.0,15617,36.9%
95,If Wishes Were Fishes!,2,2867,6.5,-1.0,1135,36.9%
