,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Qwirkle,33,796,6.8,7.0,16075,99.9%
1,Pickomino,32,1252,6.6,7.0,8983,99.9%
2,Kupferkessel Co.,31,2077,6.9,7.0,1100,99.9%
3,Deep Sea Adventure,20,619,7.0,7.0,10690,99.0%
4,Mamma Mia! Plus,17,3630,7.0,7.5,420,98.0%
5,Quoridor,16,1211,6.7,6.5,6372,97.4%
6,Razzia!,13,1662,6.8,8.0,1827,94.9%
7,Jaipur,13,135,7.5,7.0,37008,94.9%
8,Ingenious,12,426,7.1,7.0,15617,93.6%
9,Marrakech,12,1411,6.7,7.0,3626,93.6%
10,Billabong,11,2621,6.9,7.0,798,92.0%
11,Lords of Waterdeep,10,71,7.8,8.5,45819,90.0%
12,Las Vegas,10,502,7.1,7.5,9208,90.0%
13,That's Life!,8,1906,6.5,7.0,2809,84.1%
14,Samurai,8,209,7.5,7.5,14736,84.1%
15,Heave Ho!,8,3910,6.3,6.5,904,84.1%
16,Fluxx,8,8877,5.7,7.0,15803,84.1%
17,Tyrus,7,7516,6.0,7.0,365,80.0%
18,Thurn and Taxis,7,428,7.1,7.5,18091,80.0%
19,Pergamon,7,1314,6.9,7.0,2295,80.0%
20,Alhambra,7,468,7.0,7.0,28607,80.0%
21,Kraftwagen,7,1002,7.3,7.5,2083,80.0%
22,Karuba,7,465,7.2,7.5,8663,80.0%
23,Pick Picknic,7,1836,6.6,7.5,2533,80.0%
24,Biblios,7,366,7.2,7.5,14969,80.0%
25,Pecking Order,7,3518,6.4,7.0,878,80.0%
26,Atlantis,7,2234,6.5,6.5,1858,80.0%
27,Ticket to Ride,6,174,7.4,8.0,71408,74.8%
28,Santa Maria,6,339,7.5,7.5,5197,74.8%
29,Puerto Rico,6,28,8.0,8.0,63032,74.8%
30,Modern Art,6,221,7.4,8.0,16670,74.8%
31,Jamaica,6,493,7.1,6.0,16227,74.8%
32,Hive,6,246,7.3,6.5,29494,74.8%
33,Mini FITS,6,9090,5.9,6.5,286,74.8%
34,Dixit,6,278,7.3,8.0,50499,74.8%
35,Pelican Cove,5,2339,6.7,6.5,1131,68.3%
36,Trader,5,5705,6.5,6.5,258,68.3%
37,Tales & Games: The Hare & the Tortoise,5,850,7.1,6.5,3635,68.3%
38,Sprawlopolis,5,486,7.5,7.5,4028,68.3%
39,6 nimmt!,5,597,6.9,7.0,20527,68.3%
40,Ristorante Italia,5,3265,6.8,7.5,612,68.3%
41,Mosaix,5,3645,6.5,7.0,626,68.3%
42,Metallum,5,2980,7.1,7.5,497,68.3%
43,The Little Prince: Make Me a Planet,5,1097,6.9,7.0,3455,68.3%
44,Keltis,5,1690,6.4,7.0,5646,68.3%
45,Kahuna,5,1127,6.6,7.0,8402,68.3%
46,Hab & Gut,5,1272,7.1,7.5,1873,68.3%
47,Fresco,5,331,7.3,7.0,11812,68.3%
48,Pyramid of Pengqueen,5,1593,6.9,8.0,1749,68.3%
49,Concordia,5,18,8.1,7.5,27940,68.3%
50,Coloretto,5,542,7.0,6.5,17960,68.3%
51,Codenames,5,93,7.6,6.0,67424,68.3%
52,Cartagena,5,1078,6.7,7.0,7477,68.3%
53,7 Wonders,5,60,7.8,7.5,84104,68.3%
54,Yokohama,4,104,7.9,7.0,8829,60.1%
55,Yacht Race,4,6955,7.1,8.0,114,60.1%
56,Troyes,4,83,7.8,7.0,18847,60.1%
57,Timeline,4,2601,6.5,6.0,1558,60.1%
58,Tiki Topple,4,2320,6.5,6.0,1949,60.1%
59,Targi,4,123,7.6,7.5,14453,60.1%
60,Tal der Könige,4,4921,6.6,7.0,339,60.1%
