,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Star Munchkin,27,3157,6.1,-1.0,4642,99.8%
1,Ticket to Ride,21,174,7.4,-1.0,71408,99.2%
2,KLASK,20,261,7.7,-1.0,5624,99.0%
3,Munchkin,18,4419,5.9,-1.0,41521,98.4%
4,Würfel Bohnanza,15,1880,6.7,-1.0,1983,96.8%
5,Tichu,15,170,7.6,-1.0,13267,96.8%
6,Catan,15,395,7.2,-1.0,101212,96.8%
7,Carcassonne,11,181,7.4,-1.0,101546,92.0%
8,Ghost Stories,9,275,7.3,-1.0,19378,87.4%
9,Dominion,9,98,7.6,-1.0,77920,87.4%
10,Ubongo 3D,8,1455,7.1,-1.0,1493,84.1%
11,Bohnanza,8,450,7.0,-1.0,38186,84.1%
12,Forbidden Island,7,721,6.8,-1.0,41883,80.0%
13,Qwirkle,7,796,6.8,-1.0,16075,80.0%
14,Forbidden Desert,7,380,7.1,-1.0,25536,80.0%
15,Formula D,7,520,7.0,-1.0,17119,80.0%
16,Spot it!,7,1109,6.6,-1.0,12801,80.0%
17,Ticket to Ride: Nordic Countries,6,154,7.6,-1.0,11593,74.8%
18,Kingdom Builder,6,545,7.0,-1.0,19618,74.8%
19,The Castles of Burgundy,6,15,8.1,-1.0,46330,74.8%
20,At the Gates of Loyang,6,296,7.4,-1.0,9745,74.8%
21,Ticket to Ride Map Collection: Volume 1 – Team Asia & Legendary Asia,5,-1,7.7,-1.0,5150,68.3%
22,Splendor,5,167,7.5,-1.0,58499,68.3%
23,Smash Up,5,865,6.8,-1.0,23563,68.3%
24,Piña Pirata,5,5394,6.1,-1.0,735,68.3%
25,Ticket to Ride: Europe,5,119,7.5,-1.0,58364,68.3%
26,Jambo,5,642,7.0,-1.0,7958,68.3%
27,Hanabi,5,391,7.1,-1.0,38808,68.3%
28,Beyond Balderdash,4,1319,6.8,-1.0,2976,60.1%
29,Ticket to Ride Map Collection: Volume 2 – India & Switzerland,4,-1,7.8,-1.0,5206,60.1%
30,Suburbia,4,146,7.5,-1.0,21531,60.1%
31,Race for the Galaxy,4,59,7.8,-1.0,46293,60.1%
32,Carcassonne: Hunters and Gatherers,4,490,7.1,-1.0,11093,60.1%
33,Biblios,4,366,7.2,-1.0,14969,60.1%
34,Agricola,4,31,7.9,-1.0,63367,60.1%
35,Ticket to Ride: Märklin,3,309,7.4,-1.0,8709,49.8%
36,Star Fluxx,3,2155,6.4,-1.0,4929,49.8%
