,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,"Warhammer 40,000: Conquest",55,801,7.4,9.0,2849,99.9%
1,Arkham Horror: The Card Game,52,22,8.2,10.0,28406,99.9%
2,Race for the Galaxy,21,59,7.8,8.0,46293,99.2%
3,Love Letter,18,282,7.2,8.0,55827,98.4%
4,No Thanks!,17,449,7.1,9.0,20289,98.0%
5,Sushi Go!,16,444,7.1,7.0,34649,97.4%
6,San Juan,16,293,7.3,7.0,22214,97.4%
7,Puerto Rico,16,28,8.0,9.0,63032,97.4%
8,Linko!,15,895,7.0,9.0,4099,96.8%
9,Quoridor,14,1211,6.7,7.0,6372,96.0%
10,Codenames,14,93,7.6,9.0,67424,96.0%
11,Can't Stop,14,739,6.8,6.0,13213,96.0%
12,Pylos,13,2975,6.3,5.0,1642,94.9%
13,Meuterer,13,1136,6.9,10.0,3222,94.9%
14,6 nimmt!,13,597,6.9,5.0,20527,94.9%
15,Vikings,12,432,7.3,9.0,7930,93.6%
16,Sorry! Sliders,12,2004,6.4,7.0,3647,93.6%
17,Blue Moon,12,1165,6.7,9.0,5497,93.6%
18,"Hey, That's My Fish!",11,855,6.7,5.0,19341,92.0%
19,For Sale,11,301,7.2,7.0,23815,92.0%
20,Attika,11,746,7.0,10.0,6328,92.0%
21,Patchwork,10,88,7.7,8.0,46298,90.0%
22,Magic: The Gathering,10,158,7.5,8.0,32365,90.0%
23,Schotten Totten,10,394,7.3,9.0,7585,90.0%
24,Star Realms,9,115,7.6,8.0,35855,87.4%
25,Razzia!,9,1662,6.8,9.0,1827,87.4%
26,Monopoly Deal Card Game,9,2088,6.3,6.0,8703,87.4%
27,Blokus Duo,9,1008,6.8,7.0,5093,87.4%
28,The Princes of Florence,8,182,7.5,8.0,14549,84.1%
29,In the Shadow of the Emperor,8,1196,6.9,9.0,2864,84.1%
30,Drakon (Third Edition),8,2032,6.5,7.0,2710,84.1%
31,Sluff Off!,7,1407,6.9,9.0,2257,80.0%
32,Ribbit,7,1669,6.8,7.0,2247,80.0%
33,Diamant,7,718,6.8,7.0,17037,80.0%
34,RoboRally,7,441,7.1,6.0,22444,80.0%
35,The Quest for El Dorado,7,165,7.6,8.0,11988,80.0%
36,Friday the 13th,7,1852,6.4,5.0,3784,80.0%
37,Medici,7,537,7.1,7.0,7133,80.0%
38,Karuba,7,465,7.2,7.0,8663,80.0%
39,Jambo,7,642,7.0,7.0,7958,80.0%
40,Ingenious,7,426,7.1,8.0,15617,80.0%
41,Hansa Teutonica,7,139,7.6,9.0,11425,80.0%
42,Goa,7,180,7.6,7.0,10921,80.0%
43,Forbidden Island,7,721,6.8,7.0,41883,80.0%
44,Babylonia,7,1490,7.7,9.0,824,80.0%
45,Taluva,6,507,7.2,9.0,7779,74.8%
46,Splendor,6,167,7.5,8.0,58499,74.8%
47,Port Royal,6,456,7.1,7.0,12914,74.8%
48,Jaipur,6,135,7.5,7.0,37008,74.8%
49,Dreamblade,6,1969,7.2,7.0,976,74.8%
50,Caylus,6,75,7.8,10.0,26766,74.8%
51,Rheinländer,5,2253,6.6,9.0,1517,68.3%
52,R-Eco,5,1876,6.6,7.0,2116,68.3%
53,Perudo,5,684,6.9,5.0,12572,68.3%
54,Manila,5,803,7.0,7.0,5483,68.3%
55,Macadam,5,-1,5.6,6.0,13,68.3%
56,Lord of the Rings: The Confrontation,5,533,7.2,8.0,6534,68.3%
57,Light Speed,5,3153,6.3,6.0,1202,68.3%
58,KLASK,5,261,7.7,8.0,5624,68.3%
59,In the Year of the Dragon,5,297,7.4,9.0,10759,68.3%
60,Homesteaders,5,697,7.2,9.0,3479,68.3%
61,Hansa,5,952,6.9,9.0,4937,68.3%
62,Dragonland,5,3854,6.3,8.0,919,68.3%
63,Bonaparte at Marengo,5,1767,7.4,8.0,871,68.3%
64,Blockers!,5,1810,6.7,7.0,1922,68.3%
65,Amun-Re,5,365,7.3,8.0,8554,68.3%
66,Tower of Babel,4,1814,6.6,7.0,2268,60.1%
67,Tigris & Euphrates,4,92,7.7,10.0,25297,60.1%
68,Takenoko,4,280,7.3,6.0,35084,60.1%
69,L.L.A.M.A.,4,1725,6.5,7.0,3764,60.1%
70,Reef Encounter,4,650,7.1,7.0,4966,60.1%
71,Ninety-Nine,4,3441,7.2,5.0,361,60.1%
72,Mystery Rummy: Jack the Ripper,4,1074,6.9,7.0,3316,60.1%
73,Mombasa,4,86,7.9,9.0,10927,60.1%
74,Louis XIV,4,711,7.1,7.0,5339,60.1%
75,Knights of Charlemagne,4,4048,6.4,6.0,677,60.1%
76,Kahuna,4,1127,6.6,6.0,8402,60.1%
77,Euchre,4,1596,6.8,6.0,2235,60.1%
78,"Easy Come, Easy Go",4,8171,5.9,5.0,358,60.1%
79,Colossal Arena,4,980,6.8,7.0,6969,60.1%
80,Citadels,4,403,7.1,7.0,48290,60.1%
81,Carcassonne: Hunters and Gatherers,4,490,7.1,7.0,11093,60.1%
82,Baptism at Bull Run,4,-1,8.3,-1.0,18,60.1%
83,Babylon,4,16508,5.5,5.0,286,60.1%
84,Attribute,4,3250,6.4,5.0,1077,60.1%
85,ZÈRTZ,3,653,7.3,5.0,3909,49.8%
86,Vegas Showdown,3,549,7.2,7.0,6077,49.8%
87,Upwords,3,6345,5.7,5.0,2856,49.8%
88,Through the Desert,3,499,7.1,8.0,12705,49.8%
89,Taj Mahal,3,436,7.3,8.0,7085,49.8%
90,Stick 'Em,3,1012,7.0,7.0,2921,49.8%
91,Steam,3,186,7.6,9.0,9546,49.8%
92,Pick Picknic,3,1836,6.6,7.0,2533,49.8%
93,Odin's Ravens,3,1450,6.6,7.0,3662,49.8%
94,Nexus Ops,3,454,7.2,7.0,8480,49.8%
95,Lord of the Rings,3,6969,5.9,7.0,522,49.8%
96,The Lord of the Rings,3,876,6.8,7.0,14258,49.8%
97,Las Vegas,3,502,7.1,7.0,9208,49.8%
98,Kingdoms,3,1329,6.6,7.0,4645,49.8%
99,HeroQuest,3,574,7.1,6.0,10977,49.8%
100,Ground Floor,3,1422,7.0,8.0,1655,49.8%
