,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Carcassonne,33,181,7.4,7.0,101546,99.9%
1,Ticket to Ride,29,174,7.4,10.0,71408,99.8%
2,The Crew: The Quest for Planet Nine,28,41,8.0,-1.0,14567,99.8%
3,Web of Power,21,714,7.3,10.0,3342,99.2%
4,BattleCON: Devastation of Indines,18,369,7.9,-1.0,2914,98.4%
5,RoboRally,17,441,7.1,10.0,22444,98.0%
6,Bohnanza,17,450,7.0,10.0,38186,98.0%
7,Star Realms,16,115,7.6,9.0,35855,97.4%
8,Boomtown,16,1896,6.5,8.0,2587,97.4%
9,Cosmic Encounter,15,144,7.5,9.0,27327,96.8%
10,Trax,14,4265,6.5,8.0,531,96.0%
11,Small World,13,255,7.3,9.0,61593,94.9%
12,Techno Witches,12,4927,6.2,8.0,633,93.6%
13,Yspahan,11,576,7.1,9.0,7744,92.0%
14,Race for the Galaxy,11,59,7.8,9.0,46293,92.0%
15,Mr. Jack,11,530,7.0,7.0,15314,92.0%
16,Clans,11,1451,6.6,8.0,4861,92.0%
17,Taluva,10,507,7.2,8.0,7779,90.0%
18,King of Tokyo,10,313,7.2,8.0,57483,90.0%
19,San Juan,9,293,7.3,7.0,22214,87.4%
20,Power Grid,9,39,7.9,9.0,56129,87.4%
21,Oregon,9,1309,6.8,9.0,3218,87.4%
22,Onitama,9,247,7.4,8.0,15071,87.4%
23,Mykerinos,9,1073,6.9,8.0,3854,87.4%
24,Medina,9,1014,7.0,9.0,2937,87.4%
25,Hive,9,246,7.3,8.0,29494,87.4%
26,Campanile,9,6460,6.2,7.0,351,87.4%
27,Amun-Re,9,365,7.3,8.0,8554,87.4%
28,Alea Iacta Est,9,1625,6.6,7.0,2674,87.4%
29,Pandemic,8,99,7.6,9.0,101865,84.1%
30,Glory to Rome,8,200,7.5,8.0,12957,84.1%
31,For Sale,8,301,7.2,7.0,23815,84.1%
32,Five Tribes,8,65,7.8,9.0,32178,84.1%
33,Fairy Tale,8,970,6.7,8.0,8457,84.1%
34,Carcassonne: The City,8,680,7.2,8.0,4207,84.1%
35,Torres,7,528,7.1,10.0,8723,80.0%
36,Space Beans,7,3875,6.1,8.0,1423,80.0%
37,Jambo,7,642,7.0,-1.0,7958,80.0%
38,Magic Dance,7,8609,5.8,7.0,473,80.0%
39,Hera and Zeus,7,1840,6.5,8.0,3277,80.0%
40,Can't Stop,7,739,6.8,8.0,13213,80.0%
41,Beyond Baker Street,7,1500,6.9,7.0,1898,80.0%
42,Ticket to Ride: London,6,1077,7.3,-1.0,2024,74.8%
43,Sylvion,6,1046,7.1,-1.0,2568,74.8%
44,Lost Cities,6,322,7.2,9.0,37164,74.8%
45,Forbidden Island,6,721,6.8,9.0,41883,74.8%
46,Archaeology: The Card Game,6,1522,6.7,6.5,3083,74.8%
47,7 Wonders,6,60,7.8,9.0,84104,74.8%
48,5 Minute Chase,6,8676,6.0,9.0,255,74.8%
49,Wyatt Earp,5,1116,6.8,8.0,3886,68.3%
50,Taj Mahal,5,436,7.3,9.0,7085,68.3%
51,Razzia!,5,1662,6.8,8.0,1827,68.3%
52,Qwirkle,5,796,6.8,8.0,16075,68.3%
53,Pandemic: Contagion,5,1985,6.4,7.0,3094,68.3%
54,Onitama: Sensei's Path,5,-1,7.8,7.0,1265,68.3%
55,Mystery Rummy: Jack the Ripper,5,1074,6.9,8.0,3316,68.3%
56,Modern Art,5,221,7.4,10.0,16670,68.3%
57,Lords of Vegas,5,408,7.3,8.0,6532,68.3%
58,King of Tokyo: Power Up!,5,-1,7.6,-1.0,10407,68.3%
59,King of Tokyo: Halloween,5,-1,7.2,-1.0,4476,68.3%
60,Hands Up,5,7362,5.9,8.0,412,68.3%
61,Ghost Stories,5,275,7.3,8.0,19378,68.3%
62,Eminent Domain,5,556,7.0,7.0,9502,68.3%
63,Diamant,5,718,6.8,8.0,17037,68.3%
64,Caylus,5,75,7.8,10.0,26766,68.3%
65,Urland,4,3218,6.6,7.0,767,60.1%
66,Tigris & Euphrates,4,92,7.7,10.0,25297,60.1%
67,Ticket to Ride: Märklin,4,309,7.4,9.0,8709,60.1%
68,Tavern,4,11887,6.3,8.0,68,60.1%
69,Steam Time,4,1401,7.1,8.0,1555,60.1%
70,Steam Donkey,4,5230,6.6,8.0,293,60.1%
71,Squirrel Squabble,4,-1,6.2,-1.0,28,60.1%
72,Spot it!,4,1109,6.6,-1.0,12801,60.1%
73,Puerto Rico,4,28,8.0,7.0,63032,60.1%
74,Pandemic: On the Brink,4,-1,8.1,9.0,16131,60.1%
75,Orbis,4,1925,6.7,8.0,1771,60.1%
76,Oh My Goods!,4,630,7.0,-1.0,9332,60.1%
77,Mission: Red Planet (Second Edition),4,274,7.5,7.0,8857,60.1%
78,Mexica,4,584,7.2,7.0,5053,60.1%
79,Mamma Mia! Plus,4,3630,7.0,10.0,420,60.1%
80,Legacy: Gears of Time,4,2160,7.0,9.0,937,60.1%
81,Ishtar: Gardens of Babylon,4,1378,7.1,-1.0,1657,60.1%
82,If Wishes Were Fishes!,4,2867,6.5,7.0,1135,60.1%
83,ICECOOL,4,863,6.8,-1.0,8165,60.1%
84,Hanabi,4,391,7.1,-1.0,38808,60.1%
85,Fearsome Floors,4,1115,6.7,8.0,7539,60.1%
86,Egizia,4,404,7.4,9.0,5126,60.1%
87,DungeonQuest,4,1657,6.7,-1.0,2655,60.1%
88,Confusion: Espionage and Deception in the Cold War,4,1586,7.1,-1.0,1333,60.1%
89,Catan,4,395,7.2,7.0,101212,60.1%
90,Acquire,4,276,7.3,9.0,18189,60.1%
91,Zoon,3,17700,5.5,7.0,286,49.8%
92,Viral,3,1175,7.0,-1.0,2502,49.8%
93,Tikal,3,263,7.3,10.0,17891,49.8%
94,Thief's Market,3,2501,6.5,6.0,1580,49.8%
95,Starship Catan,3,1072,6.8,8.0,4291,49.8%
96,Samurai,3,209,7.5,8.0,14736,49.8%
97,Red November,3,1860,6.3,-1.0,7710,49.8%
98,Primordial Soup,3,913,6.9,8.0,4539,49.8%
99,Plunder,3,5412,6.2,7.0,566,49.8%
100,Pirates of the Spanish Main,3,3940,6.1,8.0,2763,49.8%
101,The Other Hat Trick,3,12573,6.8,-1.0,40,49.8%
102,Odin's Ravens,3,1450,6.6,7.0,3662,49.8%
103,Magic: The Gathering,3,158,7.5,8.0,32365,49.8%
104,The Lost Expedition,3,784,7.1,7.0,4803,49.8%
105,London,3,389,7.4,-1.0,6275,49.8%
106,Last Will,3,443,7.2,-1.0,9026,49.8%
107,Kalah,3,3728,5.9,-1.0,5918,49.8%
108,Java,3,997,7.0,9.0,3327,49.8%
109,Giants,3,1218,7.0,7.0,2422,49.8%
110,Familienbande,3,4496,6.3,7.0,589,49.8%
111,Factory Fun,3,1175,6.8,7.0,3403,49.8%
112,Escape from Atlantis,3,2324,6.6,-1.0,1610,49.8%
113,Eminent Domain: Escalation,3,-1,7.8,-1.0,1201,49.8%
114,Dracula,3,3198,6.2,-1.0,1667,49.8%
115,Castle Rampage,3,10241,6.0,8.0,170,49.8%
116,Camel Up Cards,3,2573,6.7,7.0,1043,49.8%
117,Blink,3,4707,5.9,-1.0,1850,49.8%
118,Beyond Balderdash,3,1319,6.8,8.0,2976,49.8%
119,Bean Trader,3,7624,5.8,-1.0,727,49.8%
120,Balloon Cup,3,1143,6.7,9.0,5751,49.8%
121,The Awful Green Things From Outer Space,3,2055,6.5,8.0,2538,49.8%
122,Arkham Noir: Case #1 – The Witch Cult Murders,3,2389,6.8,8.0,1079,49.8%
123,Arkham Horror: The Card Game,3,22,8.2,9.0,28406,49.8%
124,Alien Frontiers,3,232,7.4,9.0,14122,49.8%
125,Agricola,3,31,7.9,9.0,63367,49.8%
126,Warp's Edge,2,2023,8.1,-1.0,516,36.9%
127,Valley of the Kings,2,799,7.1,-1.0,4235,36.9%
128,To Court the King,2,1806,6.5,7.0,3870,36.9%
129,Tides of Madness,2,1216,6.8,-1.0,3321,36.9%
130,Ticket to Ride: USA 1910,2,-1,8.0,8.0,10064,36.9%
131,Ticket to Ride Map Collection: Volume 5 – United Kingdom & Pennsylvania,2,-1,8.0,-1.0,4399,36.9%
132,Star Realms: Frontiers,2,359,8.0,-1.0,2614,36.9%
133,SoloQuest,2,-1,5.6,6.0,17,36.9%
134,Small World: Grand Dames of Small World,2,-1,7.4,-1.0,5551,36.9%
135,Small World: Cursed!,2,-1,7.5,-1.0,5720,36.9%
136,Sleuth,2,1205,6.9,-1.0,2734,36.9%
137,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,2,96,7.7,-1.0,17180,36.9%
138,Shark,2,2460,6.6,-1.0,1258,36.9%
139,Sentinels of the Multiverse,2,398,7.2,-1.0,14738,36.9%
140,Scotland Yard,2,1259,6.5,8.0,14291,36.9%
141,The Ravens of Thri Sahashri,2,1688,7.2,-1.0,1137,36.9%
142,Race for the Galaxy: The Gathering Storm,2,-1,8.1,7.0,9575,36.9%
143,Priests of Ra,2,2123,6.8,-1.0,1188,36.9%
144,Power Grid: Benelux/Central Europe,2,-1,8.0,9.0,3082,36.9%
145,Portal of Heroes,2,2191,6.8,7.0,1243,36.9%
