,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Innovation,98,334,7.2,10.0,14811,99.9%
1,Race for the Galaxy,72,59,7.8,10.0,46293,99.9%
2,Brawl,67,3404,6.3,8.0,1150,99.9%
3,Carrom,58,1487,7.0,10.0,1592,99.9%
4,Race for the Galaxy: The Brink of War,55,-1,7.8,9.0,3439,99.9%
5,Agricola,51,31,7.9,10.0,63367,99.9%
6,Quarriors!,39,886,6.8,8.0,13141,99.9%
7,Innovation: Figures in the Sand,30,-1,7.6,9.0,546,99.9%
8,Innovation: Echoes of the Past,27,-1,7.6,8.0,1627,99.8%
9,Neuroshima Hex! 3.0,25,281,7.4,9.0,13269,99.6%
10,Race for the Galaxy: Rebel vs Imperium,22,-1,7.9,8.5,5715,99.3%
11,Tichu,20,170,7.6,10.0,13267,99.0%
12,Quarriors! Rise of the Demons,19,-1,6.8,6.0,1728,98.7%
13,Catan,18,395,7.2,8.0,101212,98.4%
14,Carcassonne,18,181,7.4,8.0,101546,98.4%
15,Hanabi,16,391,7.1,7.0,38808,97.4%
16,Eminent Domain,16,556,7.0,8.0,9502,97.4%
17,Seasons,15,210,7.4,7.0,20745,96.8%
18,Quarriors! Quarmageddon,14,-1,7.4,4.0,2282,96.0%
19,PitchCar Mini,14,1315,7.0,8.0,2086,96.0%
20,Cockroach Poker,14,1027,6.7,7.0,8610,96.0%
21,Black Stories,14,3230,6.0,6.0,4066,96.0%
22,Race for the Galaxy: The Gathering Storm,13,-1,8.1,8.0,9575,94.9%
23,The Castles of Burgundy,12,15,8.1,9.0,46330,93.6%
24,Key Market,11,1995,7.4,8.0,705,92.0%
25,Galaxy Trucker,11,191,7.4,8.0,29437,92.0%
26,Race for the Galaxy: Alien Artifacts,10,-1,7.5,9.0,1496,90.0%
27,Arkham Horror,10,333,7.3,6.0,36754,90.0%
28,Love Letter,9,282,7.2,7.0,55827,87.4%
29,Troyes,8,83,7.8,8.0,18847,84.1%
30,Tigris & Euphrates,8,92,7.7,10.0,25297,84.1%
31,Power Grid,8,39,7.9,9.0,56129,84.1%
32,PitchCar Mini: Extension,8,-1,7.0,7.0,429,84.1%
33,Twilight Struggle,7,10,8.3,7.0,40694,80.0%
34,Seasons: Path of Destiny,7,-1,7.9,8.0,1313,80.0%
35,Lost Cities,7,322,7.2,7.0,37164,80.0%
36,Codenames: Duet,7,160,7.6,7.0,13865,80.0%
37,A la carte,7,1917,6.5,7.0,3077,80.0%
38,Schotten Totten,6,394,7.3,7.0,7585,74.8%
39,Neuroshima Hex! Babel13,6,-1,7.7,7.0,814,74.8%
40,Eminent Domain: Escalation,6,-1,7.8,8.0,1201,74.8%
41,Zombiaki,5,5137,6.1,7.0,733,68.3%
42,Ticket to Ride Map Collection: Volume 1 – Team Asia & Legendary Asia,5,-1,7.7,8.0,5150,68.3%
43,Through the Desert,5,499,7.1,7.0,12705,68.3%
44,Theseus: The Dark Orbit,5,1422,7.1,8.0,1708,68.3%
45,Targi,5,123,7.6,5.0,14453,68.3%
46,Galaxy Trucker: The Big Expansion,5,-1,8.0,8.0,3114,68.3%
47,Ticket to Ride: Nordic Countries,4,154,7.6,8.0,11593,60.1%
48,Ticket to Ride Map Collection: Volume 2 – India & Switzerland,4,-1,7.8,8.0,5206,60.1%
49,Squad Seven,4,5242,6.4,7.0,383,60.1%
50,Robinson Crusoe: Adventures on the Cursed Island,4,54,7.8,7.0,34031,60.1%
51,Race for the Galaxy: Xeno Invasion,4,-1,7.9,7.0,717,60.1%
