,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Chaosmos,3,2688,6.9,10.0,789,49.8%
1,Vault Assault,2,14701,6.5,-1.0,45,36.9%
2,Tigris & Euphrates,2,92,7.7,10.0,25297,36.9%
3,Scotland Yard,2,1259,6.5,7.0,14291,36.9%
4,Wars of the Roses: Lancaster vs. York,1,1221,7.4,10.0,1447,20.5%
5,Unlock!: Secret Adventures – A Noside Story,1,1895,7.1,-1.0,1016,20.5%
6,Tinners' Trail,1,654,7.3,8.5,3806,20.5%
7,Terraforming Mars,1,4,8.4,8.0,64485,20.5%
8,Terra Mystica,1,16,8.1,8.5,39166,20.5%
9,Stone Age,1,111,7.6,7.5,44874,20.5%
10,Shogun,1,192,7.5,8.0,12819,20.5%
11,Neuroshima Hex! 3.0,1,281,7.4,8.5,13269,20.5%
12,Die Macher,1,286,7.6,10.0,5222,20.5%
13,Hostage Negotiator,1,1035,6.9,-1.0,4182,20.5%
14,El Grande,1,78,7.8,8.5,23511,20.5%
15,Dominion,1,98,7.6,8.0,77920,20.5%
16,Battling Tops,1,6951,6.1,-1.0,357,20.5%
17,Ys,0,1281,6.9,8.0,2485,0.0%
18,Xe Queo!,0,5222,6.5,7.0,332,0.0%
19,Wrott & Swindlers,0,11790,6.6,7.0,52,0.0%
20,Wordsy,0,2699,7.0,-1.0,667,0.0%
21,Wizard,0,759,6.9,-1.0,8341,0.0%
22,Wits & Wagers,0,622,6.9,7.0,13343,0.0%
23,Witness,0,888,7.3,-1.0,2399,0.0%
24,Wingspan: European Expansion,0,-1,8.4,-1.0,5981,0.0%
25,Wingspan,0,20,8.1,-1.0,42672,0.0%
26,Wheedle,0,5251,6.2,-1.0,560,0.0%
27,The Werewolves of Miller's Hollow,0,1010,6.7,-1.0,9865,0.0%
28,Wealth of Nations: War Clouds,0,-1,7.2,-1.0,142,0.0%
29,Wealth of Nations Super Industry Tiles,0,-1,7.1,-1.0,134,0.0%
30,Wealth of Nations,0,1585,6.9,8.0,1753,0.0%
31,Way Out West,0,4805,6.1,-1.0,683,0.0%
32,Wasabi!,0,1532,6.5,-1.0,4734,0.0%
33,The Voyages of Marco Polo,0,55,7.9,-1.0,20157,0.0%
34,Vineta,0,4077,6.2,6.5,1017,0.0%
35,Vinci,0,825,7.1,8.0,3941,0.0%
36,Villages of Valeria: Deluxe Kickstarter Edition,0,-1,7.3,-1.0,409,0.0%
37,Villages of Valeria,0,1060,7.1,-1.0,2758,0.0%
38,Verräter,0,1828,6.7,8.5,1903,0.0%
39,Vasco da Gama,0,620,7.2,7.5,4282,0.0%
40,Union Pacific,0,668,7.2,8.5,4173,0.0%
41,Under the Shadow of the Dragon,0,3622,6.5,-1.0,661,0.0%
42,Ugg-Tect,0,2799,6.3,-1.0,1818,0.0%
43,Uchronia,0,2802,6.5,-1.0,1171,0.0%
44,Tzolk'in: The Mayan Calendar – Mini Expansion 1,0,-1,7.5,-1.0,601,0.0%
45,Tzolk'in: The Mayan Calendar,0,40,7.9,9.0,30663,0.0%
46,Two by Two,0,6391,6.0,-1.0,509,0.0%
47,Twilight Struggle,0,10,8.3,7.0,40694,0.0%
48,Twilight Imperium: Third Edition,0,80,7.8,-1.0,18296,0.0%
49,Twilight Imperium: Borderlands,0,-1,6.8,-1.0,84,0.0%
50,Twilight Imperium,0,3542,6.6,-1.0,690,0.0%
51,Turn the Tide,0,1189,6.8,7.5,3995,0.0%
52,Tribune: Primus Inter Pares,0,629,7.2,-1.0,4415,0.0%
53,Tribune: Expansion,0,-1,7.3,-1.0,537,0.0%
54,TransAmerica,0,1104,6.7,-1.0,7688,0.0%
55,Trajan,0,95,7.8,10.0,14678,0.0%
56,Tragedy Looper,0,707,7.2,-1.0,3965,0.0%
57,Torres,0,528,7.1,7.5,8723,0.0%
58,Toc Toc Woodman: Golden Core and Bark Promo,0,-1,6.8,-1.0,117,0.0%
59,Toc Toc Woodman: Golden Axe Expansion,0,-1,6.3,-1.0,129,0.0%
60,Tiny Epic Galaxies,0,271,7.4,-1.0,15645,0.0%
61,Time's Up!,0,518,7.3,-1.0,5029,0.0%
62,Tikal,0,263,7.3,7.5,17891,0.0%
63,Tides of Time,0,1135,6.7,-1.0,6670,0.0%
64,Ticket to Ride: USA 1910,0,-1,8.0,-1.0,10064,0.0%
65,Ticket to Ride: Switzerland,0,-1,7.5,7.5,4602,0.0%
66,Ticket to Ride: Mystery Train Expansion,0,-1,6.6,-1.0,925,0.0%
67,Ticket to Ride: Märklin,0,309,7.4,7.0,8709,0.0%
68,Ticket to Ride: Europe,0,119,7.5,7.5,58364,0.0%
69,Ticket to Ride,0,174,7.4,7.0,71408,0.0%
70,Tichu,0,170,7.6,8.0,13267,0.0%
71,Thurn and Taxis,0,428,7.1,8.0,18091,0.0%
72,Through the Desert,0,499,7.1,7.0,12705,0.0%
73,Through the Ages: A Story of Civilization,0,49,7.9,8.5,17986,0.0%
74,Through the Ages: A New Story of Civilization,0,6,8.4,7.0,22963,0.0%
75,Thebes,0,500,7.1,-1.0,9162,0.0%
76,That's Pretty Clever!,0,130,7.6,-1.0,14225,0.0%
77,Terra Prime,0,5013,6.3,-1.0,480,0.0%
78,Terra Nova,0,2608,6.4,7.0,1640,0.0%
79,Terra Mystica: 4 Town Tiles,0,-1,8.1,-1.0,842,0.0%
80,Tantrix,0,2806,6.3,-1.0,1870,0.0%
81,Tales of the Arabian Nights,0,435,7.2,-1.0,11564,0.0%
82,Take Stock,0,7734,5.9,-1.0,529,0.0%
83,Take it Easy!,0,1695,6.6,7.0,2751,0.0%
84,Taj Mahal,0,436,7.3,10.0,7085,0.0%
