,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Ticket to Ride,35,174,7.4,8.0,71408,99.9%
1,Rise of Augustus,26,983,6.7,8.0,7564,99.7%
2,The Resistance,13,267,7.3,6.8,35861,94.9%
3,Lords of Xidit,11,643,7.1,9.0,5245,92.0%
4,Catan,11,395,7.2,6.0,101212,92.0%
5,Pandemic,10,99,7.6,7.5,101865,90.0%
6,Forbidden Island,10,721,6.8,7.0,41883,90.0%
7,King of Tokyo,8,313,7.2,7.0,57483,84.1%
8,Black Gold,8,2231,6.9,7.5,1097,84.1%
9,Lords of Waterdeep,7,71,7.8,8.0,45819,80.0%
10,Hanabi,7,391,7.1,7.0,38808,80.0%
11,Steam,6,186,7.6,8.0,9546,74.8%
12,Biblios,6,366,7.2,7.5,14969,74.8%
13,Archipelago,6,390,7.3,9.0,7359,74.8%
14,Descent: Journeys in the Dark (Second Edition),4,116,7.7,7.0,22661,60.1%
15,Love Letter,2,282,7.2,7.0,55827,36.9%
16,Elder Sign,2,548,7.0,8.0,22122,36.9%
17,Concordia,2,18,8.1,9.0,27940,36.9%
18,Suburbia,1,146,7.5,7.5,21531,20.5%
19,Scrabble,1,1807,6.3,-1.0,26658,20.5%
20,Runewars,1,230,7.6,9.0,7753,20.5%
21,Oltre Mare,1,1641,6.7,7.0,2702,20.5%
22,Myrmes,1,528,7.3,9.0,5054,20.5%
23,Dungeon Petz,1,208,7.5,8.5,12668,20.5%
24,Concept,1,756,6.8,7.0,15389,20.5%
25,The Castles of Burgundy,1,15,8.1,-1.0,46330,20.5%
26,Asara,1,1091,7.0,7.5,2649,20.5%
27,Ticket to Ride: USA 1910,0,-1,8.0,9.0,10064,0.0%
28,Ticket to Ride Map Collection: Volume 4 – Nederland,0,-1,7.4,9.0,2311,0.0%
29,Ticket to Ride Map Collection: Volume 2 – India & Switzerland,0,-1,7.8,9.0,5206,0.0%
30,Steam: Map Expansion #2,0,-1,7.9,-1.0,154,0.0%
31,Small World,0,255,7.3,-1.0,61593,0.0%
32,Sagrada,0,147,7.5,8.0,25897,0.0%
33,Pantheon,0,1878,6.7,8.0,1621,0.0%
34,Notre Dame: 10th Anniversary,0,-1,7.6,-1.0,1673,0.0%
35,Myrmes: Colony Tiles,0,-1,7.3,-1.0,110,0.0%
36,Lords of Waterdeep: Scoundrels of Skullport,0,-1,8.2,9.0,11442,0.0%
37,Kingdomino,0,217,7.4,-1.0,32067,0.0%
38,Hyperborea,0,678,7.2,-1.0,4379,0.0%
39,Elder Sign: Unseen Forces,0,-1,7.6,-1.0,3539,0.0%
40,Dungeon Twister: Paladins & Dragons,0,-1,7.5,-1.0,746,0.0%
41,Dungeon Twister,0,1016,6.8,9.0,5751,0.0%
42,Dixit,0,278,7.3,-1.0,50499,0.0%
43,Cranium,0,8066,5.7,-1.0,8575,0.0%
44,Concordia: Britannia / Germania,0,-1,8.1,9.0,1416,0.0%
45,Chicago Express,0,453,7.2,-1.0,7392,0.0%
46,Catan: 5-6 Player Extension,0,-1,7.0,4.0,14665,0.0%
47,Brandon the Brave,0,5106,6.4,-1.0,387,0.0%
48,Azul,0,50,7.8,-1.0,53207,0.0%
49,Amoeba Wars,0,6737,6.1,-1.0,505,0.0%
