,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Dominion,66,98,7.6,8.0,77920,99.9%
1,Pandemic,32,99,7.6,9.0,101865,99.9%
2,Warhammer: Invasion,25,609,7.2,7.0,5692,99.6%
3,Memoir '44,21,138,7.6,9.0,25667,99.2%
4,Chess,21,439,7.1,7.0,28655,99.2%
5,Agricola,19,31,7.9,9.0,63367,98.7%
6,Crokinole,14,66,7.9,8.0,12136,96.0%
7,Catan,12,395,7.2,7.0,101212,93.6%
8,7 Wonders,12,60,7.8,8.0,84104,93.6%
9,For Sale,10,301,7.2,7.0,23815,90.0%
10,Carcassonne,10,181,7.4,7.0,101546,90.0%
11,Quoridor,9,1211,6.7,7.0,6372,87.4%
12,Twilight Struggle,8,10,8.3,9.0,40694,84.1%
13,King of Tokyo,8,313,7.2,7.0,57483,84.1%
14,Cribbage,8,615,7.1,7.0,8282,84.1%
15,PitchCar,7,386,7.3,7.0,9625,80.0%
16,San Juan,6,293,7.3,7.0,22214,74.8%
17,London,6,389,7.4,8.0,6275,74.8%
18,Hive,6,246,7.3,7.0,29494,74.8%
19,Haggis,6,929,7.0,7.0,3910,74.8%
20,Cosmic Encounter,6,144,7.5,9.0,27327,74.8%
21,Wings of War: Famous Aces,5,1064,6.9,6.0,4616,68.3%
22,Poker,5,1030,6.7,8.0,9254,68.3%
23,Jambo,5,642,7.0,7.0,7958,68.3%
24,Dungeons & Dragons: Wrath of Ashardalon Board Game,5,731,7.1,8.0,5846,68.3%
25,Code 777,5,1758,6.7,7.0,1943,68.3%
26,BattleTech,5,1032,7.1,6.0,3368,68.3%
27,Terra Mystica,4,16,8.1,9.0,39166,60.1%
28,Tales of the Arabian Nights,4,435,7.2,7.0,11564,60.1%
29,Splendor,4,167,7.5,-1.0,58499,60.1%
30,Risk Legacy,4,348,7.4,8.0,7538,60.1%
31,Pandemic Legacy: Season 1,4,2,8.6,8.0,41490,60.1%
32,Dixit,4,278,7.3,8.0,50499,60.1%
33,Commands & Colors: Ancients,4,142,7.8,9.0,7975,60.1%
34,Battlestar Galactica: The Board Game,4,81,7.7,8.0,32861,60.1%
35,Battle Line,4,224,7.4,7.0,15624,60.1%
36,Apples to Apples,4,4760,5.8,7.0,17556,60.1%
37,Magic: The Gathering,3,158,7.5,7.0,32365,49.8%
38,Hanabi,3,391,7.1,8.0,38808,49.8%
39,Dungeons & Dragons: Castle Ravenloft Board Game,3,766,7.0,8.0,8427,49.8%
40,The Castles of Burgundy,3,15,8.1,8.0,46330,49.8%
41,BANG!,3,1270,6.5,7.0,26411,49.8%
42,Arkham Horror: The Card Game,3,22,8.2,-1.0,28406,49.8%
43,Warmachine Prime Mk II,2,1595,7.8,6.0,801,36.9%
44,Troyes,2,83,7.8,8.0,18847,36.9%
45,Through the Ages: A New Story of Civilization,2,6,8.4,9.0,22963,36.9%
46,Terra Nova,2,2608,6.4,4.0,1640,36.9%
47,Sentinels of the Multiverse,2,398,7.2,7.0,14738,36.9%
48,The Resistance,2,267,7.3,7.0,35861,36.9%
49,Ra,2,177,7.5,8.0,19077,36.9%
50,No Thanks!,2,449,7.1,7.0,20289,36.9%
51,Love Letter,2,282,7.2,7.0,55827,36.9%
52,El Grande,2,78,7.8,9.0,23511,36.9%
53,Formula D,2,520,7.0,7.0,17119,36.9%
54,Endeavor,2,295,7.4,7.0,9077,36.9%
55,Dominant Species,2,64,7.8,8.0,17989,36.9%
56,Blokus,2,646,6.9,8.0,22840,36.9%
57,Betrayal at House on the Hill,2,519,7.1,7.0,36940,36.9%
58,Trajan,1,95,7.8,7.0,14678,20.5%
59,Tichu,1,170,7.6,9.0,13267,20.5%
60,Suburbia,1,146,7.5,8.0,21531,20.5%
61,Star Wars: X-Wing Miniatures Game,1,108,7.7,-1.0,23036,20.5%
62,Scythe,1,14,8.2,8.0,57625,20.5%
63,Modern Art,1,221,7.4,7.0,16670,20.5%
64,Jaipur,1,135,7.5,8.0,37008,20.5%
65,Cards Against Humanity,1,4284,5.9,7.0,23175,20.5%
66,Bora Bora,1,205,7.6,-1.0,9086,20.5%
67,Bohnanza,1,450,7.0,7.0,38186,20.5%
68,The 7th Continent,1,32,8.2,-1.0,16777,20.5%
69,6 nimmt!,1,597,6.9,8.0,20527,20.5%
70,Winter,0,-1,8.0,-1.0,286,0.0%
71,Warhammer: Invasion – Assault on Ulthuan,0,-1,7.6,-1.0,800,0.0%
72,Ultimate Werewolf: Ultimate Edition,0,972,7.0,-1.0,3760,0.0%
73,Trans Europa,0,1528,6.6,7.0,3228,0.0%
74,T.I.M.E Stories,0,143,7.6,-1.0,23672,0.0%
75,Summoner Wars: Phoenix Elves vs Tundra Orcs,0,658,7.5,-1.0,2555,0.0%
76,Summoner Wars: Master Set,0,226,7.5,5.0,10344,0.0%
77,Summoner Wars: Guild Dwarves vs Cave Goblins,0,681,7.6,-1.0,2327,0.0%
78,Space Hulk (Third Edition),0,315,7.5,7.0,6698,0.0%
79,Shadows over Camelot,0,406,7.1,7.0,25418,0.0%
80,Sentinels of the Multiverse: Infernal Relics,0,-1,8.1,-1.0,1587,0.0%
81,Qwirkle,0,796,6.8,-1.0,16075,0.0%
82,Pandemic: On the Brink,0,-1,8.1,-1.0,16131,0.0%
83,Memoir '44: Winter/Desert Board Map,0,-1,7.4,-1.0,1820,0.0%
84,Memoir '44: Terrain Pack,0,-1,7.5,-1.0,2100,0.0%
85,Memoir '44: Pacific Theater,0,-1,7.9,-1.0,1952,0.0%
86,Memoir '44: Mediterranean Theater,0,-1,7.9,-1.0,1385,0.0%
87,Memoir '44: Eastern Front,0,-1,8.0,-1.0,2769,0.0%
88,Memoir '44: Campaign Book Volume 1,0,-1,8.2,-1.0,851,0.0%
89,Memoir '44: Air Pack,0,-1,7.5,-1.0,1218,0.0%
90,Lords of Waterdeep,0,71,7.8,8.0,45819,0.0%
