,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Monopoly Deal Card Game,24,2088,6.3,8.5,8703,99.6%
1,Tzolk'in: The Mayan Calendar,22,40,7.9,9.0,30663,99.3%
2,Roll For It!,20,3237,6.1,7.0,2619,99.0%
3,Carcassonne,19,181,7.4,9.0,101546,98.7%
4,Splendor,18,167,7.5,8.0,58499,98.4%
5,Pylos,18,2975,6.3,8.5,1642,98.4%
6,Batik,18,6906,5.9,6.5,558,98.4%
7,Trajan,17,95,7.8,9.0,14678,98.0%
8,Battle Line,16,224,7.4,8.5,15624,97.4%
9,Trambahn,15,1427,7.0,8.0,1874,96.8%
10,The Castles of Burgundy,12,15,8.1,8.7,46330,93.6%
11,7 Wonders,12,60,7.8,8.0,84104,93.6%
12,Trains,11,503,7.2,8.0,7653,92.0%
13,Suburbia,11,146,7.5,8.0,21531,92.0%
14,Keyflower,11,72,7.8,8.5,18952,92.0%
15,The Voyages of Marco Polo,10,55,7.9,10.0,20157,90.0%
16,Ingenious Challenges,10,-1,5.9,6.0,460,90.0%
17,Carcassonne: South Seas,9,971,7.1,7.75,3053,87.4%
18,Seeland,8,1474,6.9,7.5,1887,84.1%
19,"Run, Fight, or Die!",8,1640,6.9,7.5,1790,84.1%
20,Agricola,8,31,7.9,7.0,63367,84.1%
21,Targi,7,123,7.6,9.0,14453,80.0%
22,Star Realms,7,115,7.6,7.0,35855,80.0%
23,Patchwork,7,88,7.7,9.0,46298,80.0%
24,Orléans,7,25,8.1,8.0,22110,80.0%
25,Kingsburg,7,354,7.2,7.0,18324,80.0%
26,Hive,7,246,7.3,7.0,29494,80.0%
27,The Great Heartland Hauling Co.,7,1340,6.9,8.0,2339,80.0%
28,Four Tribes,7,6174,7.2,8.6,139,80.0%
29,Agricola: All Creatures Big and Small,7,279,7.4,9.0,12301,80.0%
30,7 Wonders Duel,7,17,8.1,8.0,59932,80.0%
31,Terra Mystica,6,16,8.1,8.0,39166,74.8%
32,Lords of Waterdeep,6,71,7.8,7.5,45819,74.8%
33,Livingstone,6,2690,6.5,7.0,1464,74.8%
34,Kalah,6,3728,5.9,6.1,5918,74.8%
35,Gonzaga,6,3135,6.6,7.0,830,74.8%
36,Dragonheart,6,1726,6.5,6.0,3258,74.8%
37,Dark Horse,6,5084,6.7,7.0,274,74.8%
38,Blueprints,6,944,6.8,7.0,6126,74.8%
39,Viceroy,5,1016,6.8,-1.0,5061,68.3%
40,Star Wars: X-Wing Miniatures Game,5,108,7.7,6.0,23036,68.3%
41,Shadows over Camelot,5,406,7.1,7.0,25418,68.3%
42,Perry Rhodan: The Cosmic League,5,1850,6.8,7.5,1627,68.3%
43,Israeli Independence: The First Arab-Israeli War,5,7489,6.3,6.0,248,68.3%
44,Le Havre,5,47,7.9,7.0,26395,68.3%
45,Grand Austria Hotel,5,87,7.8,7.0,12516,68.3%
46,Dungeon Roll,5,2578,6.1,6.0,7587,68.3%
47,Terraforming Mars,4,4,8.4,8.5,64485,60.1%
48,Survive: Escape from Atlantis!,4,285,7.3,6.0,20407,60.1%
49,Sorry! Revenge Card Game,4,17922,5.5,5.5,288,60.1%
50,Quoridor,4,1211,6.7,6.0,6372,60.1%
51,Power Grid,4,39,7.9,7.0,56129,60.1%
52,Medina (Second Edition),4,1197,7.2,7.0,1651,60.1%
53,Hornet,4,5692,6.2,7.0,534,60.1%
54,The Golden City,4,2407,6.6,7.5,1444,60.1%
55,Concordia,4,18,8.1,9.0,27940,60.1%
56,Citadels,4,403,7.1,6.0,48290,60.1%
57,Caverna: The Cave Farmers,4,30,8.0,7.0,28040,60.1%
58,Bruges,4,260,7.4,7.0,10254,60.1%
59,Thurn and Taxis,3,428,7.1,7.0,18091,49.8%
