,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Puerto Rico,67,28,8.0,9.0,63032,99.9%
1,Mythos,49,3156,6.6,10.0,809,99.9%
2,Dominion,46,98,7.6,9.0,77920,99.9%
3,Kingsburg,42,354,7.2,9.0,18324,99.9%
4,Race for the Galaxy,40,59,7.8,8.0,46293,99.9%
5,Race for the Galaxy: The Gathering Storm,37,-1,8.1,9.0,9575,99.9%
6,Pandemic,37,99,7.6,9.0,101865,99.9%
7,Fairy Tale,30,970,6.7,8.0,8457,99.9%
8,Magic Realm,29,1247,7.2,10.0,1976,99.8%
9,Arkham Horror,29,333,7.3,10.0,36754,99.8%
10,Patience,24,20102,4.8,5.0,377,99.6%
11,Merchant of Venus,23,996,7.1,9.0,2646,99.4%
12,Bohnanza,22,450,7.0,7.0,38186,99.3%
13,Gin Rummy,17,3506,6.3,5.0,1206,98.0%
14,Fangs,15,924,6.8,9.0,7995,96.8%
15,Friday the 13th,14,1852,6.4,7.0,3784,96.0%
16,The Downfall of Pompeii,14,541,7.1,8.0,7368,96.0%
17,Agricola,12,31,7.9,9.0,63367,93.6%
18,Dominion: Intrigue,11,84,7.7,9.0,30066,92.0%
19,Runebound: Second Edition,10,888,6.9,7.5,7749,90.0%
20,Colosseum,10,451,7.2,9.0,8436,90.0%
21,Galaxy Trucker,9,191,7.4,8.0,29437,87.4%
22,Blue Moon,9,1165,6.7,8.0,5497,87.4%
23,Age of Steam,9,118,7.8,10.0,8840,87.4%
24,Hansa,8,952,6.9,7.5,4937,84.1%
25,Arkham Horror: The King in Yellow Expansion,8,-1,7.6,8.0,4105,84.1%
26,Arkham Horror: Curse of the Dark Pharaoh Expansion,8,-1,7.3,9.0,3521,84.1%
27,Alhambra,8,468,7.0,7.0,28607,84.1%
28,UNO,7,20170,5.4,5.0,21129,80.0%
29,Power Grid: The New Power Plant Cards,7,-1,7.8,10.0,3448,80.0%
30,The Hanging Gardens,7,1574,6.8,9.0,2196,80.0%
31,Gulo Gulo,7,1311,6.8,7.0,2753,80.0%
32,Blue Moon City,7,632,7.0,8.0,7687,80.0%
33,Amun-Re,7,365,7.3,8.0,8554,80.0%
34,Through the Ages: A Story of Civilization,6,49,7.9,9.0,17986,74.8%
35,Power Grid: China/Korea,6,-1,8.0,9.0,2757,74.8%
36,Perudo,6,684,6.9,7.0,12572,74.8%
37,Neuland,6,2628,6.5,8.0,1387,74.8%
38,Masquerade,6,7134,6.1,7.0,381,74.8%
39,Dream Factory,6,745,7.1,7.0,5070,74.8%
40,Ticket to Ride,5,174,7.4,8.0,71408,68.3%
41,Power Grid,5,39,7.9,10.0,56129,68.3%
42,Perikles,5,1513,6.9,7.0,1842,68.3%
43,Le Havre,5,47,7.9,9.0,26395,68.3%
44,Battlestar Galactica: The Board Game,5,81,7.7,8.0,32861,68.3%
45,Arkham Horror: Kingsport Horror Expansion,5,-1,7.5,8.0,3017,68.3%
46,Yahtzee,4,20114,5.4,4.0,11803,60.1%
47,Wasabi!,4,1532,6.5,8.0,4734,60.1%
48,Ticket to Ride: Switzerland,4,-1,7.5,9.0,4602,60.1%
49,Steam,4,186,7.6,8.5,9546,60.1%
50,Small World,4,255,7.3,8.0,61593,60.1%
51,Owner's Choice,4,5162,6.2,6.0,597,60.1%
52,Give Me the Brain!,4,5382,5.8,8.0,2111,60.1%
53,Cleopatra and the Society of Architects,4,986,6.8,8.0,6252,60.1%
54,Brass: Lancashire,4,19,8.2,8.5,19333,60.1%
55,Toppo,3,11403,5.8,6.0,197,49.8%
56,Tichu,3,170,7.6,6.0,13267,49.8%
57,Royal Visit,3,3216,6.3,6.0,1190,49.8%
58,Power Grid: Benelux/Central Europe,3,-1,8.0,9.0,3082,49.8%
59,Hansa: Changing Winds,3,-1,7.1,8.0,80,49.8%
60,Ghost Stories,3,275,7.3,9.0,19378,49.8%
61,Blink,3,4707,5.9,5.0,1850,49.8%
62,Arkham Horror: Innsmouth Horror Expansion,3,-1,7.9,9.0,3306,49.8%
63,Arkham Horror: Dunwich Horror Expansion,3,-1,7.8,10.0,6201,49.8%
64,Aquarius,3,4106,6.0,6.0,1694,49.8%
65,Android,3,1302,6.7,8.0,3723,49.8%
66,Zooloretto,2,755,6.8,7.0,13881,36.9%
67,Tsuro,2,933,6.7,7.0,23277,36.9%
68,Ticket to Ride: USA 1910,2,-1,8.0,9.0,10064,36.9%
69,Ticket to Ride: Nordic Countries,2,154,7.6,9.0,11593,36.9%
70,Starship Catan,2,1072,6.8,7.0,4291,36.9%
71,Shogun,2,192,7.5,9.0,12819,36.9%
72,Race for the Galaxy: Rebel vs Imperium,2,-1,7.9,9.0,5715,36.9%
73,Money!,2,1868,6.5,7.0,2716,36.9%
74,Chase,2,4867,6.8,6.0,302,36.9%
75,Blokus Trigon,2,1207,6.9,7.5,2912,36.9%
76,Aquädukt,2,2606,6.4,6.0,1626,36.9%
77,Acquire,2,276,7.3,7.0,18189,36.9%
78,10 Days in Asia,2,2481,6.7,7.0,1113,36.9%
79,Zombie Fluxx,1,3519,6.0,7.0,6110,20.5%
80,Zig-Zag,1,13217,5.7,5.0,330,20.5%
81,Toledo,1,2797,6.3,7.0,1987,20.5%
82,Ticket to Ride: The Card Game,1,2747,6.1,6.0,3900,20.5%
83,Ticket to Ride: Europe,1,119,7.5,9.0,58364,20.5%
84,Thebes,1,500,7.1,7.0,9162,20.5%
85,"Surf's Up, Dude!",1,17111,5.5,6.0,222,20.5%
86,Roll Through the Ages: The Bronze Age,1,712,6.9,7.0,11484,20.5%
87,Risk 2210 A.D.,1,1290,6.7,7.0,6692,20.5%
88,Relationship Tightrope,1,3974,6.2,5.0,1010,20.5%
89,Red November,1,1860,6.3,6.0,7710,20.5%
90,The Princes of Florence,1,182,7.5,7.0,14549,20.5%
91,Pokémon Trading Card Game,1,2578,6.3,5.0,3441,20.5%
92,Kalah,1,3728,5.9,5.0,5918,20.5%
93,Junta,1,1253,6.7,8.0,5397,20.5%
94,"Hey, That's My Fish!",1,855,6.7,6.0,19341,20.5%
95,Hearts,1,1845,6.4,4.0,3815,20.5%
96,Galloping Pigs,1,7255,5.8,4.0,1006,20.5%
97,Galaxy Trucker: The Big Expansion,1,-1,8.0,8.0,3114,20.5%
98,Dominion: Seaside,1,-1,8.0,9.0,14447,20.5%
99,Cuba,1,531,7.1,7.0,7891,20.5%
100,Caylus Magna Carta,1,906,6.9,7.0,4825,20.5%
101,Caylus,1,75,7.8,8.0,26766,20.5%
102,Catan,1,395,7.2,8.0,101212,20.5%
103,Carcassonne: Expansion 2 – Traders & Builders,1,-1,7.6,8.0,15539,20.5%
104,El Capitán,1,1786,6.8,8.0,1748,20.5%
105,Beetlez,1,15259,5.7,6.0,196,20.5%
106,Arkham Horror: The Black Goat of the Woods Expansion,1,-1,7.5,8.0,2607,20.5%
107,10 Days in Europe,1,2082,6.6,7.0,1878,20.5%
108,Zooloretto: Three Extra Enclosures,0,-1,6.8,7.0,362,0.0%
109,Zooloretto: Three Additional Buildings,0,-1,6.6,7.0,327,0.0%
