,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Catan,43,395,7.2,7.0,101212,99.9%
1,Ticket to Ride,27,174,7.4,8.5,71408,99.8%
2,King of Tokyo,18,313,7.2,8.0,57483,98.4%
3,Catch Phrase!,18,2662,6.3,8.0,2307,98.4%
4,Pit,17,1665,6.4,8.0,8269,98.0%
5,Keltis,17,1690,6.4,7.5,5646,98.0%
6,No Thanks!,16,449,7.1,7.5,20289,97.4%
7,Bohnanza,16,450,7.0,7.0,38186,97.4%
8,Tumblin-Dice,14,716,7.2,9.0,3886,96.0%
9,Thurn and Taxis,12,428,7.1,8.0,18091,93.6%
10,Shadows over Camelot,11,406,7.1,7.5,25418,92.0%
11,The Lord of the Rings: Journeys in Middle-Earth,11,89,8.1,-1.0,8695,92.0%
12,Guillotine,11,1182,6.5,7.0,19362,92.0%
13,For Sale,11,301,7.2,8.0,23815,92.0%
14,Coloretto,11,542,7.0,8.0,17960,92.0%
15,Catan: Seafarers,11,-1,7.2,8.0,16346,92.0%
16,Carcassonne,10,181,7.4,8.0,101546,90.0%
17,Telestrations,8,258,7.4,8.0,12793,84.1%
18,Time's Up! Title Recall!,7,408,7.7,8.0,3114,80.0%
19,Loopin' Louie,7,922,6.8,-1.0,8390,80.0%
20,Carcassonne: The Castle,7,593,7.1,8.0,7556,80.0%
21,7 Wonders,7,60,7.8,8.0,84104,80.0%
22,Ticket to Ride: USA 1910,6,-1,8.0,8.0,10064,74.8%
23,Ticket to Ride: Europe,6,119,7.5,8.0,58364,74.8%
24,Through the Ages: A Story of Civilization,6,49,7.9,9.5,17986,74.8%
25,One Night Ultimate Werewolf,6,413,7.1,6.5,21419,74.8%
26,Heroscape Master Set: Swarm of the Marro,6,708,7.6,7.5,2263,74.8%
27,Rat-a-Tat Cat,5,2827,6.2,7.0,2857,68.3%
28,Hive,5,246,7.3,6.5,29494,68.3%
29,Burgoo,5,10216,5.7,-1.0,595,68.3%
30,7 Wonders Duel,5,17,8.1,8.5,59932,68.3%
31,1960: The Making of the President,5,204,7.6,9.0,8511,68.3%
32,Wits & Wagers,4,622,6.9,7.5,13343,60.1%
33,Ubongo,4,1052,6.7,7.0,7781,60.1%
34,Ticket to Ride: The Card Game,4,2747,6.1,7.0,3900,60.1%
35,Ticket to Ride: Switzerland,4,-1,7.5,8.0,4602,60.1%
36,Spyfall,4,639,6.9,-1.0,18191,60.1%
37,Say Anything,4,1098,6.7,7.5,5588,60.1%
38,Power Grid,4,39,7.9,8.5,56129,60.1%
39,Pandemic,4,99,7.6,7.5,101865,60.1%
40,New Mastermind,4,12188,5.8,7.0,209,60.1%
41,Medici,4,537,7.1,9.0,7133,60.1%
42,Kingsburg (Second Edition),4,916,7.5,-1.0,1808,60.1%
43,Kingdomino,4,217,7.4,8.5,32067,60.1%
44,I'm the Boss!,4,1237,6.8,7.5,3526,60.1%
45,Dominion,4,98,7.6,7.0,77920,60.1%
46,Dixit: Odyssey,4,212,7.5,8.0,16662,60.1%
47,Codenames,4,93,7.6,7.5,67424,60.1%
48,Citadels,4,403,7.1,7.0,48290,60.1%
49,Werewolf,3,1655,6.5,8.0,4359,49.8%
50,Welcome To...,3,126,7.6,-1.0,17195,49.8%
51,Wavelength,3,496,7.5,8.0,3645,49.8%
52,Qwirkle,3,796,6.8,6.0,16075,49.8%
53,Love Letter,3,282,7.2,7.0,55827,49.8%
54,Mini Chuck-it Chicken!,3,17595,5.3,-1.0,69,49.8%
55,Istanbul: The Dice Game,3,851,7.2,8.0,3143,49.8%
56,Heroica: Nathuz,3,7052,6.0,-1.0,453,49.8%
57,Giro Galoppo,3,3630,6.7,8.0,570,49.8%
58,Ghost Stories,3,275,7.3,8.0,19378,49.8%
59,Forbidden Island,3,721,6.8,8.0,41883,49.8%
