,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
118,Sentinels of the Multiverse: America's Greatest Legacy Promo Card,0,-1,8.4,-1.0,137,0.0%
119,Sentinels of the Multiverse: Ambuscade Villain Character,0,-1,7.7,7.0,892,0.0%
120,Scattergories,0,2336,6.2,6.0,8503,0.0%
121,Samurai,0,209,7.5,-1.0,14736,0.0%
122,Saint Petersburg: New Society & Banquet Expansion,0,-1,7.4,7.0,1493,0.0%
123,The Resistance,0,267,7.3,7.0,35861,0.0%
124,Quintillions,0,11863,7.0,-1.0,33,0.0%
125,Puerto Rico: Expansion I – New Buildings,0,-1,7.6,-1.0,2677,0.0%
126,Pathfinder Adventure Card Game: Skull & Shackles – Character Add-On Deck,0,-1,7.7,-1.0,337,0.0%
127,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,0,935,7.3,-1.0,2413,0.0%
128,"Pathfinder Adventure Card Game: Skull & Shackles – ""Ranzak"" Promo Character Card Set",0,-1,7.8,-1.0,88,0.0%
129,Pathfinder Adventure Card Game: Rise of the Runelords – Character Add-On Deck,0,-1,7.6,8.0,1694,0.0%
130,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,0,440,7.2,9.0,12015,0.0%
131,Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 2: The Skinsaw Murders,0,-1,7.6,-1.0,1364,0.0%
132,"Pathfinder Adventure Card Game: Rise of the Runelords – ""Tup"" Promo Character Card Set",0,-1,7.5,6.0,31,0.0%
133,"Pathfinder Adventure Card Game: Rise of the Runelords – ""Fire Sneeze"" Promo Card",0,-1,7.6,8.0,87,0.0%
134,Pathfinder Adventure Card Game: Class Deck – Sorcerer,0,-1,7.5,-1.0,94,0.0%
135,Pathfinder Adventure Card Game: Class Deck – Ranger,0,-1,7.5,-1.0,110,0.0%
136,Ninja Versus Ninja,0,4744,6.1,-1.0,954,0.0%
137,The New Easy to Master Dungeons & Dragons,0,5635,6.8,-1.0,240,0.0%
138,MindTrap,0,20236,4.8,-1.0,1743,0.0%
139,Lords of Waterdeep: Scoundrels of Skullport,0,-1,8.2,-1.0,11442,0.0%
140,Lords of Waterdeep: Rapid Expansion Promo Card,0,-1,7.6,-1.0,272,0.0%
141,Kingdom Death: Monster,0,37,8.7,10.0,7538,0.0%
142,Killer Bunnies and the Quest for the Magic Carrot: Wacky KHAKI Booster,0,-1,6.5,5.0,369,0.0%
143,Killer Bunnies and the Quest for the Magic Carrot: VIOLET Booster,0,-1,6.4,5.0,980,0.0%
144,Killer Bunnies and the Quest for the Magic Carrot: Twilight WHITE Booster,0,-1,6.5,5.0,524,0.0%
145,Killer Bunnies and the Quest for the Magic Carrot: Stainless STEEL Booster,0,-1,6.5,5.0,471,0.0%
146,Killer Bunnies and the Quest for the Magic Carrot: RED Booster,0,-1,6.4,6.0,1239,0.0%
147,Killer Bunnies and the Quest for the Magic Carrot: Perfectly PINK Booster,0,-1,6.4,6.0,458,0.0%
148,Killer Bunnies and the Quest for the Magic Carrot: ORANGE Booster,0,-1,6.5,5.0,822,0.0%
