,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Legendary: A Marvel Deck Building Game,12,175,7.6,8.0,19734,93.6%
1,Lords of Waterdeep,10,71,7.8,8.0,45819,90.0%
2,Quarriors!,7,886,6.8,7.0,13141,80.0%
3,Memoir '44,7,138,7.6,7.5,25667,80.0%
4,Machi Koro,7,987,6.6,-1.0,26165,80.0%
5,The Lord of the Rings: The Card Game,7,129,7.6,8.0,20755,80.0%
6,King of Tokyo,7,313,7.2,8.0,57483,80.0%
7,Friday,7,413,7.1,7.5,16438,80.0%
8,Sushi Go!,6,444,7.1,6.5,34649,74.8%
9,Space Hulk: Death Angel – The Card Game,6,614,7.0,7.5,12204,74.8%
10,Rise of Augustus,6,983,6.7,7.0,7564,74.8%
11,Dominion,6,98,7.6,7.5,77920,74.8%
12,The Castles of Burgundy,6,15,8.1,8.5,46330,74.8%
13,7 Wonders,6,60,7.8,8.0,84104,74.8%
14,Robinson Crusoe: Adventures on the Cursed Island,5,54,7.8,8.0,34031,68.3%
15,Mage Knight Board Game,5,26,8.1,9.0,27775,68.3%
16,Hanabi,5,391,7.1,7.0,38808,68.3%
17,Glass Road,5,270,7.4,8.0,9013,68.3%
18,Fairy Tale,5,970,6.7,6.0,8457,68.3%
19,Dixit: Journey,5,515,7.4,7.0,4189,68.3%
20,Dead of Winter: A Crossroads Game,5,121,7.6,8.0,39207,68.3%
21,Stone Age,4,111,7.6,7.5,44874,60.1%
22,Smash Up,4,865,6.8,6.5,23563,60.1%
23,Seasons,4,210,7.4,8.5,20745,60.1%
24,Roll Through the Ages: The Bronze Age,4,712,6.9,7.0,11484,60.1%
25,Morels,4,706,7.0,7.5,7266,60.1%
26,Love Letter,4,282,7.2,7.5,55827,60.1%
27,Legacy: The Testament of Duke de Crecy,4,737,7.2,8.0,4003,60.1%
28,King of New York,4,616,7.0,-1.0,14146,60.1%
29,Jaipur,4,135,7.5,7.0,37008,60.1%
30,Le Havre,4,47,7.9,9.0,26395,60.1%
31,Würfel Bohnanza,3,1880,6.7,6.5,1983,49.8%
32,Viceroy,3,1016,6.8,-1.0,5061,49.8%
33,Valley of the Kings,3,799,7.1,7.5,4235,49.8%
34,Tzolk'in: The Mayan Calendar,3,40,7.9,8.0,30663,49.8%
35,Trajan,3,95,7.8,8.5,14678,49.8%
36,Survive: Escape from Atlantis!,3,285,7.3,6.5,20407,49.8%
37,Steam Park,3,915,6.9,7.5,5492,49.8%
38,Small World,3,255,7.3,7.5,61593,49.8%
39,Mice and Mystics,3,325,7.3,7.0,16705,49.8%
40,Le Havre: The Inland Port,3,1129,6.9,8.0,3346,49.8%
41,Fleet,3,942,6.9,7.5,4556,49.8%
42,Escape: The Curse of the Temple,3,544,7.0,7.5,15459,49.8%
43,Catan,3,395,7.2,7.0,101212,49.8%
44,Castaways,3,1594,7.0,7.0,1678,49.8%
45,Bruges,3,260,7.4,8.0,10254,49.8%
46,Agricola,3,31,7.9,9.0,63367,49.8%
47,Urbion,2,2454,6.9,7.0,886,36.9%
48,Trains,2,503,7.2,8.0,7653,36.9%
49,Targi,2,123,7.6,8.0,14453,36.9%
50,Takenoko,2,280,7.3,7.0,35084,36.9%
51,Star Wars: X-Wing Miniatures Game,2,108,7.7,6.5,23036,36.9%
52,San Juan (Second Edition),2,318,7.5,-1.0,5814,36.9%
53,Rialto,2,1037,6.9,7.5,3746,36.9%
54,Pandemic,2,99,7.6,8.0,101865,36.9%
55,One Night Ultimate Werewolf,2,413,7.1,7.5,21419,36.9%
56,Mr. Jack Pocket,2,797,6.9,7.0,7558,36.9%
57,Freedom: The Underground Railroad,2,396,7.6,7.5,3860,36.9%
58,Five Tribes,2,65,7.8,8.0,32178,36.9%
59,Dungeons & Dragons: The Legend of Drizzt Board Game,2,627,7.3,7.5,5548,36.9%
60,Diamonds: Second Edition,2,892,6.9,7.5,4887,36.9%
61,Darkest Night,2,2020,7.1,7.0,983,36.9%
62,Codenames,2,93,7.6,-1.0,67424,36.9%
63,Coconuts,2,933,7.0,6.0,3702,36.9%
64,Tac Tac Jack,2,1962,6.4,5.0,3452,36.9%
65,Castles of Mad King Ludwig,2,133,7.6,8.0,22082,36.9%
66,Ca$h 'n Guns (Second Edition),2,688,6.9,6.0,12597,36.9%
67,Bohnanza,2,450,7.0,6.5,38186,36.9%
68,Belfort,2,513,7.2,9.0,5945,36.9%
69,Arkham Horror,2,333,7.3,7.5,36754,36.9%
70,Andean Abyss,2,951,7.6,8.0,1642,36.9%
71,6 nimmt!,2,597,6.9,6.5,20527,36.9%
72,Zooloretto,1,755,6.8,-1.0,13881,20.5%
73,Village,1,156,7.5,7.5,20214,20.5%
74,Ticket to Ride: Europe,1,119,7.5,7.5,58364,20.5%
75,Ticket to Ride,1,174,7.4,7.0,71408,20.5%
76,Thunderstone Advance: Numenera,1,1433,7.3,7.0,1287,20.5%
77,Spyrium,1,661,7.1,8.5,5766,20.5%
78,Splendor,1,167,7.5,7.0,58499,20.5%
79,Santiago de Cuba,1,993,6.9,7.0,4222,20.5%
80,Russian Railroads,1,90,7.8,9.0,14806,20.5%
81,Rhino Hero,1,722,6.9,-1.0,8330,20.5%
82,Relic Runners,1,1879,6.6,7.5,2171,20.5%
83,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,1,440,7.2,7.5,12015,20.5%
84,Panamax,1,622,7.3,8.0,3571,20.5%
85,Loopin' Louie,1,922,6.8,6.5,8390,20.5%
86,Legendary Encounters: An Alien Deck Building Game,1,113,7.8,8.0,11204,20.5%
87,Kingsburg,1,354,7.2,7.0,18324,20.5%
88,Kingdom Builder,1,545,7.0,7.0,19618,20.5%
89,JAB: Realtime Boxing,1,3869,6.2,5.0,1021,20.5%
90,La Isla,1,951,6.9,-1.0,4949,20.5%
91,Ghost Stories,1,275,7.3,7.5,19378,20.5%
92,Fresco: Big Box,1,-1,7.7,7.0,1479,20.5%
93,Fantastiqa: The Rucksack Edition,1,1991,7.0,6.0,1108,20.5%
94,Elder Sign,1,548,7.0,7.0,22122,20.5%
95,Dungeon Petz,1,208,7.5,7.5,12668,20.5%
96,Dixit,1,278,7.3,7.0,50499,20.5%
97,Descent: Journeys in the Dark (Second Edition),1,116,7.7,7.5,22661,20.5%
98,Android: Netrunner,1,53,7.9,8.0,26700,20.5%
99,Alien Frontiers,1,232,7.4,7.5,14122,20.5%
100,Agricola: All Creatures Big and Small,1,279,7.4,7.5,12301,20.5%
101,Zulus on the Ramparts!: The Battle of Rorke's Drift – Second Edition,0,1894,7.4,7.0,881,0.0%
102,Zooloretto: Catta,0,-1,6.6,-1.0,89,0.0%
103,Yedo,0,631,7.4,7.5,3468,0.0%
104,Walk the Plank! Ghost Meeple Mini-Expansion,0,-1,6.1,-1.0,56,0.0%
105,Walk the Plank!,0,2291,6.6,-1.0,1692,0.0%
106,Il Vecchio,0,1655,6.9,-1.0,1548,0.0%
107,Tzolk'in: The Mayan Calendar – Tribes & Prophecies – Mini Expansion 1,0,-1,7.6,-1.0,366,0.0%
108,Tzolk'in: The Mayan Calendar – Tribes & Prophecies,0,-1,8.1,-1.0,3283,0.0%
109,Troyes: Bonus Cards,0,-1,7.6,-1.0,764,0.0%
110,Troyes,0,83,7.8,-1.0,18847,0.0%
111,Trains: Map Pack 1 – Germany/Northeastern USA,0,-1,7.4,-1.0,264,0.0%
112,Tragedy Looper,0,707,7.2,-1.0,3965,0.0%
113,Toc Toc Woodman: Golden Core and Bark Promo,0,-1,6.8,-1.0,117,0.0%
114,Toc Toc Woodman: Golden Axe Expansion,0,-1,6.3,-1.0,129,0.0%
115,Ticket to Ride: USA 1910,0,-1,8.0,-1.0,10064,0.0%
116,Thebes: The Tomb Raiders,0,2582,6.9,-1.0,819,0.0%
117,Thebes,0,500,7.1,-1.0,9162,0.0%
118,Terra Mystica: 4 Town Tiles,0,-1,8.1,-1.0,842,0.0%
119,Terra Mystica,0,16,8.1,8.5,39166,0.0%
120,Sushi Go!: Soy Sauce Promo,0,-1,6.9,-1.0,767,0.0%
121,Survive: Escape from Atlantis! The Giant Squid Mini Expansion,0,-1,7.1,-1.0,1500,0.0%
122,Survive: Escape from Atlantis! Dolphins & Dive Dice Mini Expansion,0,-1,7.2,-1.0,878,0.0%
123,Survive: Escape from Atlantis! 5-6 Player Mini Expansion,0,-1,7.4,-1.0,1615,0.0%
124,Suburbia Inc,0,-1,8.0,-1.0,2725,0.0%
125,Suburbia,0,146,7.5,8.5,21531,0.0%
126,Star Realms: Promo Set Two,0,-1,7.3,-1.0,156,0.0%
127,Star Realms,0,115,7.6,7.0,35855,0.0%
128,Space Hulk: Death Angel – The Card Game: Space Marine Pack 1,0,-1,7.4,-1.0,1080,0.0%
129,Space Hulk: Death Angel – The Card Game – Mission Pack 1,0,-1,7.4,-1.0,1041,0.0%
130,Space Hulk: Death Angel – The Card Game – Deathwing Space Marine Pack,0,-1,7.4,-1.0,634,0.0%
131,Smash Up: The Obligatory Cthulhu Set,0,1371,6.8,-1.0,3260,0.0%
132,Smash Up: Science Fiction Double Feature,0,695,7.3,-1.0,3673,0.0%
133,Smash Up: Awesome Level 9000,0,523,7.3,-1.0,6489,0.0%
134,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,0,96,7.7,-1.0,17180,0.0%
135,Shadowrun: Crossfire – Oni Promo Card,0,-1,6.8,-1.0,42,0.0%
136,Shadowrun: Crossfire – Character Expansion Pack 1,0,-1,6.3,-1.0,154,0.0%
137,Shadowrun: Crossfire,0,867,7.2,-1.0,3372,0.0%
138,Sequence,0,3221,6.0,5.0,7464,0.0%
139,Sail to India,0,1537,6.7,-1.0,2444,0.0%
140,Roll for the Galaxy,0,94,7.7,-1.0,26342,0.0%
141,Rokoko: Fancy Dresses Promo,0,-1,7.5,-1.0,197,0.0%
142,Rococo,0,227,7.6,8.0,7494,0.0%
143,Rivals for Catan,0,829,7.0,7.0,5859,0.0%
144,The Resistance: Avalon Promo Cards,0,-1,7.3,-1.0,429,0.0%
145,The Resistance: Avalon,0,131,7.6,7.5,27053,0.0%
146,Terror in Meeple City,0,857,6.9,7.0,7117,0.0%
147,Quarriors! Quaxos Promo Cards,0,-1,6.5,-1.0,641,0.0%
148,Quarriors! Quarmageddon,0,-1,7.4,-1.0,2282,0.0%
149,Pathfinder Adventure Card Game: Rise of the Runelords – Character Add-On Deck,0,-1,7.6,-1.0,1694,0.0%
150,Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 6: Spires of Xin-Shalast,0,-1,7.7,-1.0,669,0.0%
151,Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 5: Sins of the Saviors,0,-1,7.6,-1.0,729,0.0%
152,Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 4: Fortress of the Stone Giants,0,-1,7.6,-1.0,842,0.0%
153,Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 3: The Hook Mountain Massacre,0,-1,7.6,-1.0,1095,0.0%
154,Pathfinder Adventure Card Game: Rise of the Runelords – Adventure Deck 2: The Skinsaw Murders,0,-1,7.6,-1.0,1364,0.0%
155,"Pathfinder Adventure Card Game: Rise of the Runelords – ""Poog of Zarongel"" Promo Card",0,-1,7.7,-1.0,158,0.0%
156,"Pathfinder Adventure Card Game: Rise of the Runelords – ""Grindylow"" Promo Card",0,-1,7.1,-1.0,102,0.0%
157,"Pathfinder Adventure Card Game: Rise of the Runelords – ""Blessing of Zarongel"" Promo Card",0,-1,7.2,-1.0,112,0.0%
158,Pandemic Legacy: Season 1,0,2,8.6,-1.0,41490,0.0%
159,Ora et Labora,0,136,7.7,9.0,9747,0.0%
160,Onirim,0,1188,6.7,7.0,5773,0.0%
161,One Night Ultimate Werewolf Daybreak,0,505,7.4,-1.0,4864,0.0%
162,Marvel Dice Masters: Avengers vs. X-Men,0,638,7.2,-1.0,5531,0.0%
163,The Manhattan Project: Nations Expansion,0,-1,7.5,-1.0,994,0.0%
164,The Manhattan Project,0,323,7.4,8.0,9100,0.0%
165,Maharani: Wild Card Tiles,0,-1,6.8,-1.0,45,0.0%
166,Maharani: Two-Colored Center Column Tiles,0,-1,6.8,-1.0,55,0.0%
167,Maharani,0,3019,6.6,-1.0,883,0.0%
168,Mage Knight Board Game: The Lost Legion Expansion,0,-1,8.8,-1.0,3503,0.0%
169,Mage Knight Board Game: Krang Character Expansion,0,-1,8.1,-1.0,1563,0.0%
170,Machi Koro: Gaming Mega Store,0,-1,6.0,-1.0,400,0.0%
171,Lords of Waterdeep: Scoundrels of Skullport,0,-1,8.2,-1.0,11442,0.0%
172,Lords of Vegas,0,408,7.3,7.0,6532,0.0%
173,The Lord of the Rings: The Card Game – The Watcher in the Water,0,-1,7.9,-1.0,649,0.0%
174,The Lord of the Rings: The Card Game – The Redhorn Gate,0,-1,7.8,-1.0,626,0.0%
