,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Magic: The Gathering,119,158,7.5,9.9,32365,99.9%
1,KeyForge: Call of the Archons,75,423,7.3,10.0,9308,99.9%
2,Traditional Card Games,61,2984,6.6,-1.0,883,99.9%
3,Wingspan,49,20,8.1,9.5,42672,99.9%
4,Stone Age,47,111,7.6,10.0,44874,99.9%
5,Puerto Rico,43,28,8.0,9.0,63032,99.9%
6,Fairy Tale,38,970,6.7,7.5,8457,99.9%
7,Lost Cities,36,322,7.2,8.0,37164,99.9%
8,Ticket to Ride,33,174,7.4,7.5,71408,99.9%
9,Biblios,32,366,7.2,9.5,14969,99.9%
10,Agricola,32,31,7.9,9.0,63367,99.9%
11,GiftTRAP,28,2273,6.4,7.5,2504,99.8%
12,Jungle Speed,26,1382,6.5,7.0,11283,99.7%
13,Can't Stop,24,739,6.8,7.0,13213,99.6%
14,Modern Art,23,221,7.4,7.0,16670,99.4%
15,Mystery of the Abbey,22,1339,6.5,10.0,7675,99.3%
16,Mr. Jack,20,530,7.0,6.5,15314,99.0%
17,Hive,20,246,7.3,7.0,29494,99.0%
18,Dracula's Feast,20,3968,6.9,9.5,409,99.0%
19,Afrikan tähti,20,20240,4.7,7.0,1277,99.0%
20,Animal Upon Animal,19,908,6.8,7.5,7101,98.7%
21,Finca,18,636,7.1,8.0,6811,98.4%
22,Dixit,18,278,7.3,7.5,50499,98.4%
23,Fauna,16,871,7.0,7.5,4009,97.4%
24,Carcassonne,16,181,7.4,7.5,101546,97.4%
25,Wits & Wagers,14,622,6.9,7.0,13343,96.0%
26,Gone Fishing!,14,18978,5.4,5.0,319,96.0%
27,Alhambra,14,468,7.0,7.5,28607,96.0%
28,Wingspan: Oceania Expansion,13,-1,8.6,9.5,1623,94.9%
29,Small World,13,255,7.3,8.0,61593,94.9%
30,One Zero One,13,4639,6.5,7.0,432,94.9%
31,Ticket to Ride: USA 1910,13,-1,8.0,7.5,10064,94.9%
32,Mysterium,12,256,7.3,8.0,31970,93.6%
33,Love Letter: The Hobbit – The Battle of the Five Armies,12,1444,7.1,7.5,1649,93.6%
34,KeyForge: Age of Ascension,12,1085,7.5,9.0,1676,93.6%
35,Zooloretto,11,755,6.8,6.5,13881,92.0%
36,BANG!,11,1270,6.5,7.0,26411,92.0%
