,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,10 Days in Africa,383,2178,6.6,8.0,1912,100.0%
1,Monopoly Deal Card Game,172,2088,6.3,7.0,8703,100.0%
2,Loopin' Louie,118,922,6.8,8.0,8390,99.9%
3,Race for the Galaxy,97,59,7.8,10.0,46293,99.9%
4,Spot it!,90,1109,6.6,7.0,12801,99.9%
5,Blockers!,86,1810,6.7,8.0,1922,99.9%
6,10 Days in Europe,86,2082,6.6,7.5,1878,99.9%
7,Pickomino,83,1252,6.6,7.0,8983,99.9%
8,Dominion,79,98,7.6,7.5,77920,99.9%
9,Rise of Augustus,78,983,6.7,8.0,7564,99.9%
10,Beep! Beep!,75,11974,5.7,6.5,258,99.9%
11,Splendor,69,167,7.5,9.0,58499,99.9%
12,The Mind,67,618,6.9,8.5,19186,99.9%
13,Love Letter,66,282,7.2,8.0,55827,99.9%
14,7 Wonders,65,60,7.8,8.0,84104,99.9%
15,Macao,60,328,7.4,10.0,6953,99.9%
16,Diamant,60,718,6.8,7.0,17037,99.9%
17,ZÈRTZ,59,653,7.3,9.0,3909,99.9%
18,The Game,58,1013,6.7,7.0,8452,99.9%
19,Roll Through the Ages: The Bronze Age,56,712,6.9,7.5,11484,99.9%
20,Take it Easy!,56,1695,6.6,7.0,2751,99.9%
21,Qwixx,54,764,6.9,7.5,9443,99.9%
22,Encore!,54,1017,7.0,8.0,3233,99.9%
23,Sushizock im Gockelwok,52,2205,6.5,8.0,2202,99.9%
24,The Castles of Burgundy,52,15,8.1,10.0,46330,99.9%
25,Pandemic,49,99,7.6,9.0,101865,99.9%
26,Ubongo,48,1052,6.7,8.0,7781,99.9%
27,Timeline: Inventions,48,1059,6.7,7.0,7245,99.9%
28,Ingenious,48,426,7.1,9.0,15617,99.9%
29,Timeline: Discoveries,45,1341,6.7,7.0,3501,99.9%
30,Ticket to Ride: Nordic Countries,45,154,7.6,9.0,11593,99.9%
31,Puerto Rico,45,28,8.0,9.5,63032,99.9%
32,Notre Dame,44,289,7.3,9.0,12221,99.9%
33,Fauna,43,871,7.0,8.0,4009,99.9%
34,Agricola,42,31,7.9,8.0,63367,99.9%
35,Ghost Stories,41,275,7.3,8.0,19378,99.9%
36,FITS,40,1646,6.6,7.0,3085,99.9%
37,Keltis,39,1690,6.4,8.0,5646,99.9%
38,Fairy Tale,39,970,6.7,9.0,8457,99.9%
39,Sorry! Sliders,38,2004,6.4,8.0,3647,99.9%
40,Tzolk'in: The Mayan Calendar,36,40,7.9,9.0,30663,99.9%
41,Thurn and Taxis,36,428,7.1,8.0,18091,99.9%
42,Pack & Stack,35,2016,6.4,8.0,2901,99.9%
43,Carcassonne,35,181,7.4,7.0,101546,99.9%
44,For Sale,34,301,7.2,8.0,23815,99.9%
45,Sequence,33,3221,6.0,5.0,7464,99.9%
46,"Hey, That's My Fish!",33,855,6.7,8.0,19341,99.9%
47,Crokinole,33,66,7.9,8.0,12136,99.9%
48,Bruges,33,260,7.4,9.0,10254,99.9%
49,Tsuro,32,933,6.7,7.5,23277,99.9%
50,Charly,32,10393,5.8,7.0,265,99.9%
51,Catan,32,395,7.2,7.5,101212,99.9%
52,Azul,32,50,7.8,9.0,53207,99.9%
53,Mr. Jack,31,530,7.0,8.0,15314,99.9%
54,10 Days in Asia,30,2481,6.7,7.5,1113,99.9%
55,SET,28,1438,6.5,6.0,10813,99.8%
56,Ricochet Robots,28,686,7.0,9.5,7998,99.8%
57,Oregon,28,1309,6.8,8.0,3218,99.8%
58,Factory Fun,28,1175,6.8,8.0,3403,99.8%
59,7 Wonders Duel,28,17,8.1,9.0,59932,99.8%
60,Qwirkle,27,796,6.8,7.5,16075,99.8%
61,Ubongo 3D,26,1455,7.1,9.0,1493,99.7%
62,Trajan,26,95,7.8,10.0,14678,99.7%
63,Om Nom Nom,26,4591,6.3,7.5,576,99.7%
64,Kingdomino,26,217,7.4,8.0,32067,99.7%
65,Amerigo,26,360,7.5,9.5,5492,99.7%
66,In the Year of the Dragon,25,297,7.4,8.5,10759,99.6%
67,Tigris & Euphrates,24,92,7.7,7.0,25297,99.6%
68,Tajemnicze Domostwo,24,633,7.2,9.0,4875,99.6%
69,Age of Steam,24,118,7.8,9.0,8840,99.6%
70,Saint Petersburg,23,303,7.3,8.0,14518,99.4%
71,Mamma Mia!,23,1566,6.5,8.0,5678,99.4%
72,Lords of Waterdeep,23,71,7.8,8.5,45819,99.4%
73,Castle Panic,23,1033,6.7,7.5,14252,99.4%
74,Ubongo Extreme,22,2080,6.8,9.0,1296,99.3%
75,Troyes,22,83,7.8,9.0,18847,99.3%
76,Qwinto,22,1105,7.1,7.0,2480,99.3%
77,Old Maid,22,20273,3.6,4.0,1397,99.3%
78,La Isla,22,951,6.9,9.0,4949,99.3%
79,Fluxx,22,8877,5.7,6.0,15803,99.3%
80,Cartagena,22,1078,6.7,7.5,7477,99.3%
81,Alhambra,22,468,7.0,7.5,28607,99.3%
82,Pelican Cove,21,2339,6.7,8.0,1131,99.2%
83,Fresh Fish,21,2648,6.7,9.0,917,99.2%
84,Codenames,21,93,7.6,7.5,67424,99.2%
85,Blokus Duo,21,1008,6.8,7.0,5093,99.2%
86,10 Days in the Americas,21,3623,6.7,7.0,542,99.2%
87,Terraforming Mars,20,4,8.4,9.0,64485,99.0%
88,Telestrations,20,258,7.4,7.0,12793,99.0%
89,Super Circles,20,10225,6.0,6.0,168,99.0%
90,Straw,20,3976,6.2,7.0,977,99.0%
91,Power Grid: Factory Manager,20,920,6.9,7.0,5793,99.0%
92,Potion Explosion,20,437,7.2,9.0,13355,99.0%
93,Lost Cities,20,322,7.2,8.0,37164,99.0%
94,It's Alive!,20,3579,6.3,8.0,1051,99.0%
95,Istanbul,20,117,7.6,9.0,25157,99.0%
96,Can't Stop,20,739,6.8,6.0,13213,99.0%
97,Ghost Blitz,20,1099,6.7,8.0,6841,99.0%
98,Vikings,19,432,7.3,8.0,7930,98.7%
99,TransAmerica,19,1104,6.7,8.0,7688,98.7%
100,Trails of Tucana,19,1106,7.5,8.0,1462,98.7%
