,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Codenames,39,93,7.6,10.0,67424,99.9%
1,Majesty: For the Realm,25,821,7.0,9.0,5063,99.6%
2,Azul,24,50,7.8,9.0,53207,99.6%
3,Scrabble,22,1807,6.3,10.0,26658,99.3%
4,Twin It!,21,3522,6.9,9.0,475,99.2%
5,Loot,21,1982,6.3,8.0,5922,99.2%
6,Animals on Board,19,2075,6.6,8.0,1903,98.7%
7,Magic Maze,18,497,7.1,9.0,15564,98.4%
8,Splendor,17,167,7.5,10.0,58499,98.0%
9,Kingdomino,16,217,7.4,9.5,32067,97.4%
10,Star Realms,15,115,7.6,8.0,35855,96.8%
11,Qwirkle,15,796,6.8,9.0,16075,96.8%
12,Evolution,15,461,7.1,10.0,13581,96.8%
13,Kanagawa,14,625,7.1,9.0,7003,96.0%
14,Deep Sea Adventure,14,619,7.0,9.5,10690,96.0%
15,Decrypto,14,104,7.8,10.0,11595,96.0%
16,Ab in den Pool!,13,6390,6.4,9.5,251,94.9%
17,Coloretto,13,542,7.0,9.5,17960,94.9%
18,Point Salad,12,384,7.3,9.0,7896,93.6%
19,NMBR 9,12,869,6.9,8.0,5682,93.6%
20,Rise of Augustus,12,983,6.7,9.0,7564,93.6%
21,Ticket to Ride: New York,11,861,7.0,8.0,4487,92.0%
22,We Are The Word,10,11340,6.9,9.0,41,90.0%
23,Legendary Inventors,10,3183,6.4,8.0,1173,90.0%
24,Takenoko,9,280,7.3,9.5,35084,87.4%
25,Puerto Rico (with two expansions),9,-1,8.5,9.0,4448,87.4%
26,Machi Koro,9,987,6.6,8.0,26165,87.4%
27,CuBirds,9,1317,7.2,9.0,1782,87.4%
28,Scarabya,8,2828,6.7,9.0,922,84.1%
29,Micropolis,8,2074,6.9,8.0,1255,84.1%
30,Crossing,8,2674,6.6,8.0,1137,84.1%
31,Century: Spice Road,8,250,7.4,9.0,18492,84.1%
32,ARGH,8,5027,6.9,9.0,264,84.1%
33,Schotten Totten,7,394,7.3,9.0,7585,80.0%
34,Raptor,7,379,7.3,9.0,7861,80.0%
35,Loot N Run,7,4668,6.5,9.0,449,80.0%
36,Little Town,7,1119,7.3,10.0,1851,80.0%
37,Tales & Games: Jack & the Beanstalk,7,8388,6.6,8.0,112,80.0%
38,River Dragons,7,1872,6.5,8.0,3241,80.0%
39,Downforce,7,356,7.4,9.0,7828,80.0%
40,Dicycle Race,7,11453,6.6,8.0,53,80.0%
41,Star Wars: X-Wing Miniatures Game,6,108,7.7,7.0,23036,74.8%
42,Whozit?,6,4725,6.8,8.0,282,74.8%
43,Mysteries?,6,6502,7.0,10.0,132,74.8%
44,Word on the Street,6,1856,6.6,9.0,2288,74.8%
45,Love Letter,6,925,7.7,9.0,1648,74.8%
46,Jaipur,6,135,7.5,8.0,37008,74.8%
47,Diamant,6,718,6.8,9.0,17037,74.8%
48,Cryptid,6,272,7.5,9.0,7446,74.8%
49,Concept,6,756,6.8,9.0,15389,74.8%
50,Black Fleet,6,814,7.0,8.0,4921,74.8%
51,Barony,6,1155,7.1,10.0,2336,74.8%
52,BANG!,6,1270,6.5,6.0,26411,74.8%
53,World of Tanks: Rush,5,6436,5.9,7.0,794,68.3%
54,Photosynthesis,5,431,7.1,8.0,16677,68.3%
55,Memoarrr!,5,1580,6.9,8.0,1706,68.3%
56,Isle of Skye: From Chieftain to King,5,195,7.4,9.0,20353,68.3%
57,Formula D,5,520,7.0,8.0,17119,68.3%
58,Final Touch,5,6805,6.0,8.0,399,68.3%
59,Dr. Eureka,5,1573,6.6,9.0,3172,68.3%
60,Deus,5,388,7.3,9.5,7272,68.3%
61,Poule Poule,4,6191,6.9,8.0,183,60.1%
62,Mia London and the Case of the 625 Scoundrels,4,12382,6.6,7.0,42,60.1%
63,Iquazú,4,3336,6.8,9.0,542,60.1%
64,Rent a Hero,4,2835,6.3,8.0,1581,60.1%
65,Draftosaurus,4,676,7.2,8.0,4546,60.1%
66,Catch the Moon,4,2515,6.7,7.0,1051,60.1%
67,Colt Express,4,392,7.1,9.0,24660,60.1%
