,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Tsuro of the Seas,14,1466,6.5,7.0,5716,96.0%
1,Roll for the Galaxy,12,94,7.7,9.0,26342,93.6%
2,Le Fantôme de l'Opéra,12,2023,7.0,7.9,1047,93.6%
3,Imperial Settlers,10,212,7.4,9.5,21043,90.0%
4,Robinson Crusoe: Adventures on the Cursed Island,8,54,7.8,9.5,34031,84.1%
5,Pandemic Legacy: Season 1,8,2,8.6,9.8,41490,84.1%
6,Agent Hunter,8,8421,5.7,7.3,834,84.1%
7,Zombie Dice,7,2090,6.2,7.2,16146,80.0%
8,Walk the Plank!,7,2291,6.6,8.0,1692,80.0%
9,The Mind,7,618,6.9,-1.0,19186,80.0%
10,Martian Dice,7,2528,6.2,7.3,3169,80.0%
11,Love Letter,7,282,7.2,8.7,55827,80.0%
12,King of Tokyo,7,313,7.2,8.0,57483,80.0%
13,VOLT: Robot Battle Arena,6,3594,7.0,9.0,412,74.8%
14,Pandemic,6,99,7.6,8.9,101865,74.8%
15,Hostage Negotiator,6,1035,6.9,8.7,4182,74.8%
16,Guillotine,6,1182,6.5,7.5,19362,74.8%
17,Dimension,6,1794,6.9,8.2,1582,74.8%
18,Biblios,6,366,7.2,7.9,14969,74.8%
19,Terraforming Mars,5,4,8.4,9.0,64485,68.3%
20,Star Wars: X-Wing Miniatures Game,5,108,7.7,9.0,23036,68.3%
21,Roll Through the Ages: The Bronze Age,5,712,6.9,7.8,11484,68.3%
22,Potion Explosion,5,437,7.2,8.6,13355,68.3%
23,Pandemic: The Cure,5,361,7.3,9.0,9373,68.3%
24,One Night Ultimate Werewolf,5,413,7.1,8.3,21419,68.3%
25,Kittens in a Blender,5,8213,5.7,7.9,1979,68.3%
26,Hanabi,5,391,7.1,8.0,38808,68.3%
27,Five Tribes,5,65,7.8,9.1,32178,68.3%
28,Ca$h 'n Gun$,5,1154,6.6,8.4,9760,68.3%
29,Start Player,4,3587,6.3,8.0,888,60.1%
30,Small World,4,255,7.3,8.7,61593,60.1%
31,Terror in Meeple City,4,857,6.9,9.1,7117,60.1%
32,Marvel Dice Masters: Avengers vs. X-Men,4,638,7.2,9.3,5531,60.1%
33,King of Tokyo: Power Up!,4,-1,7.6,8.0,10407,60.1%
34,Gloomhaven: Jaws of the Lion,4,7,8.9,-1.0,7952,60.1%
35,Glass Road,4,270,7.4,8.7,9013,60.1%
36,Codenames,4,93,7.6,9.0,67424,60.1%
37,Cockroach Poker,4,1027,6.7,9.0,8610,60.1%
38,Ca$h 'n Guns (Second Edition),4,688,6.9,8.9,12597,60.1%
39,Blueprints,4,944,6.8,8.5,6126,60.1%
40,Alien Frontiers,4,232,7.4,9.3,14122,60.1%
41,7 Wonders,4,60,7.8,9.0,84104,60.1%
42,"Win, Lose, or Banana",3,19699,5.4,9.0,835,49.8%
43,Welcome to the Dungeon,3,1086,6.6,8.0,11699,49.8%
44,Tiny Epic Galaxies,3,271,7.4,9.1,15645,49.8%
45,Takenoko,3,280,7.3,8.2,35084,49.8%
46,Sushi Go!,3,444,7.1,7.2,34649,49.8%
47,Star Wars: Imperial Assault,3,43,8.0,8.8,20456,49.8%
48,Splendor,3,167,7.5,8.4,58499,49.8%
49,Silver & Gold,3,601,7.4,8.2,3612,49.8%
50,Sentinels of the Multiverse,3,398,7.2,8.3,14738,49.8%
51,Scoville,3,657,7.2,9.2,4756,49.8%
52,Ninja Dice,3,5196,6.0,8.0,962,49.8%
53,Mint Works,3,804,7.0,8.0,4905,49.8%
54,Lords of Waterdeep,3,71,7.8,8.5,45819,49.8%
55,Libertalia,3,418,7.2,8.8,12390,49.8%
56,Las Vegas,3,502,7.1,7.8,9208,49.8%
57,"Hey, That's My Fish!",3,855,6.7,7.0,19341,49.8%
58,Galaxy Trucker: Anniversary Edition,3,-1,8.2,9.6,2755,49.8%
59,Formula D,3,520,7.0,7.5,17119,49.8%
60,Dungeon Roll,3,2578,6.1,6.5,7587,49.8%
61,Dragon Slayer,3,10961,5.6,8.0,1648,49.8%
62,Coup,3,501,7.0,7.9,35884,49.8%
63,Coin Age,3,3815,6.1,6.5,1809,49.8%
64,Chrononauts: The Gore Years,3,-1,6.5,6.5,490,49.8%
65,Betrayal at House on the Hill,3,519,7.1,8.7,36940,49.8%
66,Wingspan,2,20,8.1,-1.0,42672,36.9%
67,Twice as Clever!,2,373,7.5,-1.0,4866,36.9%
68,Tiny Epic Western,2,1455,6.7,7.9,3624,36.9%
69,That's Pretty Clever!,2,130,7.6,-1.0,14225,36.9%
70,T.I.M.E Stories,2,143,7.6,-1.0,23672,36.9%
71,Suspend,2,3660,6.3,9.0,1076,36.9%
72,Stone Age,2,111,7.6,8.7,44874,36.9%
73,Spyfall,2,639,6.9,8.9,18191,36.9%
74,Specter Ops,2,540,7.2,9.0,5621,36.9%
75,Pillage / Burn,2,-1,6.4,8.5,2,36.9%
76,oddball Äeronauts,2,7388,5.9,7.4,633,36.9%
77,NMBR 9,2,869,6.9,-1.0,5682,36.9%
78,Mutant Meeples,2,3171,6.6,8.3,773,36.9%
79,Kingsburg,2,354,7.2,8.0,18324,36.9%
80,King of Tokyo: Halloween,2,-1,7.2,8.0,4476,36.9%
81,Imperial Settlers: Roll & Write,2,2722,6.5,7.6,1444,36.9%
82,Ice Team,2,6860,6.9,-1.0,149,36.9%
83,Harbour,2,1533,6.5,7.3,4562,36.9%
84,Friday,2,413,7.1,8.5,16438,36.9%
85,Freedom: The Underground Railroad,2,396,7.6,8.4,3860,36.9%
86,Flip City,2,2164,6.3,8.0,3630,36.9%
87,Escape The Plank,2,-1,7.3,8.5,2,36.9%
88,Dungeon Petz,2,208,7.5,9.8,12668,36.9%
89,Dominion,2,98,7.6,7.0,77920,36.9%
90,Dead of Winter: A Crossroads Game,2,121,7.6,9.5,39207,36.9%
91,Cypher,2,6217,5.9,7.0,651,36.9%
92,Clank! In! Space!: A Deck-Building Adventure,2,105,7.9,9.5,9123,36.9%
93,Burgle Bros.,2,238,7.5,8.5,8386,36.9%
94,Zombie Dice 2: Double Feature,1,-1,6.6,7.0,2480,20.5%
95,Yokohama,1,104,7.9,7.7,8829,20.5%
96,Yamataï,1,558,7.2,8.7,5428,20.5%
97,Wiz-War (Eighth Edition),1,805,7.1,8.2,4642,20.5%
98,VOLT,1,4158,7.0,-1.0,341,20.5%
99,Tokaido Collector's Edition,1,-1,7.7,9.0,1243,20.5%
100,Tiny Epic Mechs,1,1827,6.9,8.2,1571,20.5%
101,Tiny Epic Dinosaurs: Deluxe Edition,1,-1,7.6,-1.0,255,20.5%
102,Terzetto,1,15004,5.9,-1.0,46,20.5%
103,Steampunk Rally,1,554,7.2,8.7,5718,20.5%
104,Start Player Express,1,9016,6.5,8.9,107,20.5%
105,Star Realms,1,115,7.6,8.6,35855,20.5%
106,Sentinels of the Multiverse: Shattered Timelines,1,-1,8.2,8.3,1888,20.5%
107,Sagrada,1,147,7.5,-1.0,25897,20.5%
108,Quadropolis,1,350,7.3,8.9,11027,20.5%
109,Penny Press,1,3097,6.5,8.9,898,20.5%
110,One Zero One,1,4639,6.5,7.0,432,20.5%
111,Ninja Dice: Location Cards,1,-1,6.6,8.5,180,20.5%
112,Mystery Express,1,1877,6.6,7.8,2504,20.5%
113,Mage Knight Board Game: Krang Character Expansion,1,-1,8.1,9.2,1563,20.5%
114,Lost Cities,1,322,7.2,7.9,37164,20.5%
115,Lords of Xidit,1,643,7.1,9.0,5245,20.5%
116,Lords of Waterdeep: Scoundrels of Skullport,1,-1,8.2,8.5,11442,20.5%
117,Lap Dance,1,13980,5.6,8.3,365,20.5%
118,Junk Art,1,412,7.4,-1.0,5426,20.5%
119,Imperial Settlers: Empires of the North,1,416,7.6,8.9,3836,20.5%
120,The Great Heartland Hauling Co.,1,1340,6.9,7.3,2339,20.5%
121,Gloom: TableTop Promo Expansion,1,-1,7.1,-1.0,108,20.5%
122,Gloom,1,1776,6.3,7.5,13569,20.5%
123,Ghost Stories,1,275,7.3,8.5,19378,20.5%
124,Formula D: Circuits 3 – Singapore & The Docks,1,-1,7.5,7.5,539,20.5%
125,Formula D: Circuits 1 – Sebring & Chicago,1,-1,7.4,7.5,842,20.5%
126,Five Seals of Magic,1,9508,6.1,7.8,204,20.5%
127,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre – Haggatha the Heffer's Crushazorian Godstorm Promo Cards,1,-1,7.1,6.5,80,20.5%
128,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,1,1676,6.5,6.5,5536,20.5%
129,Divide The Booty,1,-1,7.3,8.5,2,20.5%
130,Dice City,1,1128,6.8,-1.0,4549,20.5%
131,Detective: A Modern Crime Board Game,1,152,7.9,10.0,6965,20.5%
132,Deception: Murder in Hong Kong,1,191,7.5,-1.0,15932,20.5%
133,Chrononauts: Lost Identities,1,-1,6.7,6.5,747,20.5%
134,Castle Panic: Feather Promo,1,-1,6.5,-1.0,154,20.5%
135,Castle Panic: Any Color Hero Promo,1,-1,7.3,-1.0,247,20.5%
136,Azul,1,50,7.8,-1.0,53207,20.5%
137,Among the Stars,1,603,7.1,7.9,6669,20.5%
138,7 Wonders: Wonder Pack,1,-1,7.6,8.9,5176,20.5%
139,7 Wonders: Leaders – Stevie,1,-1,6.9,-1.0,1044,20.5%
140,7 Wonders: Leaders,1,-1,7.8,9.0,13462,20.5%
141,7 Wonders: Cities,1,-1,7.8,9.0,9838,20.5%
142,7 Wonders Duel,1,17,8.1,8.5,59932,20.5%
143,Zombicide: Black Plague – Ice Blast Promo Card,0,-1,7.5,-1.0,35,0.0%
144,"XenoShyft: Onslaught – R.O.D. ""Ravage Or Detonate""",0,-1,7.3,-1.0,16,0.0%
145,XenoShyft: Oathkeeper Promo Card,0,-1,7.5,-1.0,21,0.0%
146,Witch's Brew,0,928,7.0,8.4,3652,0.0%
147,Who Stole the Cookie?,0,13116,6.0,-1.0,84,0.0%
148,Wanted: The Outlaws,0,-1,6.9,7.0,22,0.0%
149,Velociraptor! Cannibalism!,0,19518,5.2,-1.0,173,0.0%
150,Unlock!: Secret Adventures – A Noside Story,0,1895,7.1,-1.0,1016,0.0%
151,Tzolk'in: The Mayan Calendar – Tribes & Prophecies – Mini Expansion 1,0,-1,7.6,-1.0,366,0.0%
152,Tzolk'in: The Mayan Calendar – Mini Expansion 2,0,-1,7.6,-1.0,491,0.0%
153,Tzolk'in: The Mayan Calendar – Mini Expansion 1,0,-1,7.5,-1.0,601,0.0%
154,Tzolk'in: The Mayan Calendar,0,40,7.9,8.5,30663,0.0%
155,Twister,0,20263,4.5,5.0,3936,0.0%
156,Tsuro of the Seas: Veterans of the Seas,0,-1,6.9,7.1,429,0.0%
157,Tokaido: Felicia Promo Card,0,-1,6.7,-1.0,69,0.0%
158,Tiny Epic Zombies,0,1024,7.0,8.2,3673,0.0%
159,Tiny Epic Western: The Tycoon,0,-1,6.7,-1.0,77,0.0%
160,Tiny Epic Western: Kickstarter Deluxe Promo Pack,0,-1,7.0,-1.0,215,0.0%
161,Tiny Epic Quest,0,725,7.1,-1.0,6075,0.0%
162,Tiny Epic Kingdoms,0,1278,6.6,-1.0,7035,0.0%
163,Tiny Epic Galaxies: Satellites & Super Weapons Mini Expansion,0,-1,7.1,-1.0,523,0.0%
164,Tiny Epic Galaxies: Beyond the Black,0,-1,7.8,-1.0,1815,0.0%
165,Tiny Epic Dinosaurs: Laboratory Mini Expansion,0,-1,6.9,-1.0,79,0.0%
166,Tash-Kalar: Arena of Legends – Legendary Summoner Promo,0,-1,7.5,-1.0,112,0.0%
167,Tales of the Arabian Nights,0,435,7.2,9.1,11564,0.0%
168,T.I.M.E Stories: Under the Mask,0,-1,7.3,-1.0,3465,0.0%
169,T.I.M.E Stories: The Marcy Case,0,-1,7.6,-1.0,6072,0.0%
170,T.I.M.E Stories: Beacon Promo,0,-1,6.0,-1.0,93,0.0%
171,T.I.M.E Stories: A Prophecy of Dragons,0,-1,7.6,-1.0,4731,0.0%
172,Sushi Go!: Soy Sauce Promo,0,-1,6.9,-1.0,767,0.0%
173,Superfight: The Red Deck,0,-1,6.2,9.0,188,0.0%
174,Superfight: The Purple Deck,0,-1,6.5,9.0,167,0.0%
175,Superfight: The Orange Deck,0,-1,6.7,9.0,214,0.0%
176,Superfight: The Hero Machine Deck,0,-1,6.0,9.0,30,0.0%
177,Superfight: The Blue Deck,0,-1,6.5,9.0,162,0.0%
178,Superfight,0,5289,5.9,8.7,2109,0.0%
179,Stronghold: 2nd edition,0,1087,7.5,-1.0,1444,0.0%
180,Stone Age: The Expansion,0,-1,7.4,-1.0,2771,0.0%
181,Star Wars: X-Wing Miniatures Game – Z-95 Headhunter Expansion Pack,0,-1,7.7,-1.0,638,0.0%
182,Star Wars: X-Wing Miniatures Game – YT-2400 Freighter Expansion Pack,0,-1,8.0,-1.0,543,0.0%
183,Star Wars: X-Wing Miniatures Game – Y-Wing Expansion Pack,0,-1,7.8,-1.0,1816,0.0%
184,Star Wars: X-Wing Miniatures Game – X-Wing Expansion Pack,0,-1,7.9,-1.0,1605,0.0%
185,Star Wars: X-Wing Miniatures Game – TIE Phantom Expansion Pack,0,-1,8.1,-1.0,782,0.0%
186,Star Wars: X-Wing Miniatures Game – TIE Defender Expansion Pack,0,-1,7.8,-1.0,709,0.0%
187,Star Wars: X-Wing Miniatures Game – TIE Advanced Expansion Pack,0,-1,7.8,-1.0,1965,0.0%
188,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,0,442,7.8,9.3,2809,0.0%
189,Star Wars: X-Wing Miniatures Game – Slave I Expansion Pack,0,-1,8.0,-1.0,1661,0.0%
190,Star Wars: X-Wing Miniatures Game – Rebel Aces Expansion Pack,0,-1,8.0,-1.0,772,0.0%
191,Star Wars: X-Wing Miniatures Game – Most Wanted Expansion Pack,0,-1,8.1,-1.0,521,0.0%
192,Star Wars: X-Wing Miniatures Game – Millennium Falcon Expansion Pack,0,-1,8.1,-1.0,2060,0.0%
193,Star Wars: X-Wing Miniatures Game – M3-A Interceptor Expansion Pack,0,-1,7.4,-1.0,338,0.0%
194,Star Wars: X-Wing Miniatures Game – ARC-170 Expansion Pack,0,-1,7.8,-1.0,210,0.0%
195,Star Wars: X-Wing Miniatures Game – A-Wing Expansion Pack,0,-1,7.8,-1.0,1510,0.0%
196,Star Wars: Imperial Assault – Twin Shadows,0,-1,8.2,-1.0,1323,0.0%
197,Star Wars: Imperial Assault – The Grand Inquisitor Villain Pack,0,-1,8.2,-1.0,293,0.0%
198,Star Wars: Imperial Assault – The Bespin Gambit,0,-1,8.3,-1.0,694,0.0%
199,Star Wars: Imperial Assault – Royal Guard Champion Villain Pack,0,-1,7.9,-1.0,651,0.0%
200,Star Wars: Imperial Assault – Return to Hoth,0,-1,8.4,-1.0,1174,0.0%
201,Star Wars: Imperial Assault – Rebel Troopers Ally Pack,0,-1,7.8,-1.0,611,0.0%
202,Star Wars: Imperial Assault – Rebel Saboteurs Ally Pack,0,-1,7.9,-1.0,594,0.0%
203,Star Wars: Imperial Assault – R2-D2 and C-3PO Ally Pack,0,-1,8.0,-1.0,620,0.0%
204,Star Wars: Imperial Assault – Obi-Wan Kenobi Ally Pack,0,-1,8.2,-1.0,344,0.0%
205,Star Wars: Imperial Assault – Leia Organa Ally Pack,0,-1,8.0,-1.0,437,0.0%
206,Star Wars: Imperial Assault – Lando Calrissian Ally Pack,0,-1,8.1,-1.0,309,0.0%
207,Star Wars: Imperial Assault – Jabba the Hutt Villain Pack,0,-1,8.1,-1.0,296,0.0%
208,Star Wars: Imperial Assault – IG-88 Villain Pack,0,-1,7.9,-1.0,707,0.0%
209,Star Wars: Imperial Assault – Hired Guns Villain Pack,0,-1,7.8,-1.0,388,0.0%
210,Star Wars: Imperial Assault – Han Solo Ally Pack,0,-1,8.0,-1.0,831,0.0%
211,Star Wars: Imperial Assault – Greedo Villain Pack,0,-1,8.1,-1.0,293,0.0%
212,Star Wars: Imperial Assault – Dengar Villain Pack,0,-1,7.7,-1.0,375,0.0%
213,Star Wars: Imperial Assault – Chewbacca Ally Pack,0,-1,8.0,-1.0,815,0.0%
214,Star Wars: Imperial Assault – Bossk Villain Pack,0,-1,8.1,-1.0,321,0.0%
215,Star Wars: Imperial Assault – Boba Fett Villain Pack,0,-1,8.2,-1.0,641,0.0%
216,Star Wars: Imperial Assault – Bantha Rider Villain Pack,0,-1,8.1,-1.0,360,0.0%
217,Star Wars: Episode I – Battle for Naboo 3-D Action Game,0,19839,4.0,-1.0,84,0.0%
218,Star Realms: Gambit Set,0,-1,7.2,-1.0,1863,0.0%
219,Star Realms: Crisis – Heroes,0,-1,7.0,-1.0,1894,0.0%
220,Star Realms: Crisis – Fleets & Fortresses,0,-1,7.7,-1.0,1845,0.0%
221,Star Realms: Crisis – Events,0,-1,7.1,-1.0,1933,0.0%
222,Star Realms: Crisis – Bases & Battleships,0,-1,7.7,-1.0,2005,0.0%
223,Spyfall: Gaming Convention promo cards,0,-1,7.2,-1.0,102,0.0%
224,Specter Ops: Pre-Order Promo Cards,0,-1,7.5,-1.0,79,0.0%
225,Space Cadets: Dice Duel – Die Fighter,0,-1,7.4,-1.0,174,0.0%
226,Soccer Sonic,0,-1,5.9,-1.0,27,0.0%
227,Small World: Necromancer Island,0,-1,6.7,-1.0,1521,0.0%
228,Small World: Grand Dames of Small World,0,-1,7.4,-1.0,5551,0.0%
229,Small World: Cursed!,0,-1,7.5,8.7,5720,0.0%
230,Small World: Be Not Afraid...,0,-1,7.6,8.7,5286,0.0%
231,Small World: A Spider's Web,0,-1,7.6,-1.0,1095,0.0%
232,Sleuth,0,1205,6.9,-1.0,2734,0.0%
233,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,0,96,7.7,9.9,17180,0.0%
234,Sheriff of Nottingham: Gen Con Promo Set,0,-1,7.3,-1.0,198,0.0%
235,Sheriff of Nottingham: Dice Tower Promo Pack,0,-1,7.3,-1.0,120,0.0%
236,Sheriff of Nottingham,0,368,7.1,-1.0,29544,0.0%
237,Sentinels of the Multiverse: Wrath of the Cosmos,0,-1,8.3,-1.0,940,0.0%
238,Sentinels of the Multiverse: Wager Master Villain Character,0,-1,7.5,-1.0,387,0.0%
239,Sentinels of the Multiverse: Unity Hero Character,0,-1,8.0,8.3,970,0.0%
240,Sentinels of the Multiverse: The Scholar Hero Character,0,-1,7.9,8.3,862,0.0%
241,Sentinels of the Multiverse: The Prime Wardens Promo Pack,0,-1,8.2,-1.0,158,0.0%
242,Sentinels of the Multiverse: The Final Wasteland Environment,0,-1,7.9,8.3,756,0.0%
243,"Sentinels of the Multiverse: Silver Gulch, 1883 Environment",0,-1,7.8,8.3,803,0.0%
244,Sentinels of the Multiverse: Omnitron IV Environment,0,-1,7.9,-1.0,387,0.0%
245,Sentinels of the Multiverse: Miss Information Villain Character,0,-1,7.8,8.3,792,0.0%
246,Sentinels of the Multiverse: KNYFE Rogue Agent Promo Card,0,-1,8.1,-1.0,142,0.0%
247,Sentinels of the Multiverse: Guise Hero Character,0,-1,7.9,-1.0,512,0.0%
248,Sentinels of the Multiverse: Ambuscade Villain Character,0,-1,7.7,8.3,892,0.0%
249,Secret Hitler,0,185,7.6,-1.0,18104,0.0%
250,Scoville: Labs,0,-1,7.5,-1.0,403,0.0%
251,Samurai Spirit: The 8th Boss,0,-1,6.7,-1.0,81,0.0%
252,Roll for the Galaxy: Bountiful Gaming Grid Promo Tile,0,-1,7.4,-1.0,190,0.0%
253,Roll for the Galaxy: Ambition,0,-1,8.1,-1.0,3144,0.0%
254,Rockwell: Diamond Cards,0,-1,6.7,-1.0,30,0.0%
255,Robinson Crusoe: Adventures on the Cursed Island – Trait Cards II,0,-1,7.3,-1.0,161,0.0%
256,Robinson Crusoe: Adventures on the Cursed Island – Trait Cards I,0,-1,6.9,-1.0,324,0.0%
257,Robinson Crusoe: Adventures on the Cursed Island – Spyglass of Illusory Hope,0,-1,6.2,-1.0,215,0.0%
258,Robinson Crusoe: Adventures on the Cursed Island – Searching the Beach,0,-1,7.4,-1.0,278,0.0%
259,Robinson Crusoe: Adventures on the Cursed Island – Sailor Character,0,-1,7.7,-1.0,284,0.0%
260,Robinson Crusoe: Adventures on the Cursed Island – Additional Beast Cards,0,-1,7.8,-1.0,414,0.0%
261,"Robinson Crusoe: Adventures on the Cursed Island – ""King Kong"" Scenario",0,-1,7.7,-1.0,266,0.0%
262,The Resistance: Avalon Promo Cards,0,-1,7.3,-1.0,429,0.0%
263,"Rattle, Battle, Grab the Loot: Port Scuffle",0,-1,6.8,-1.0,21,0.0%
264,"Rattle, Battle, Grab the Loot",0,4276,6.2,7.5,1013,0.0%
265,Terror in Meeple City: The Space Cowboys,0,-1,6.8,-1.0,105,0.0%
266,Qwirkle,0,796,6.8,7.0,16075,0.0%
267,Quadropolis: High-Tech Factory,0,-1,7.2,-1.0,89,0.0%
268,The Quacks of Quedlinburg,0,67,7.8,-1.0,22044,0.0%
269,Punderdome: A Card Game for Pun Lovers,0,19949,4.8,-1.0,219,0.0%
270,Puerto Rico (with two expansions),0,-1,8.5,-1.0,4448,0.0%
271,Prêt-à-Porter,0,612,7.4,-1.0,3334,0.0%
272,Power Grid: Supply Contract,0,-1,7.1,-1.0,255,0.0%
273,Power Grid: Oracle & Industrial Espionage,0,-1,6.8,-1.0,191,0.0%
274,Panic on Wall Street!,0,1707,7.0,-1.0,1387,0.0%
275,Pandemic: On the Brink,0,-1,8.1,9.0,16131,0.0%
276,Pandemic: In the Lab,0,-1,7.9,-1.0,4736,0.0%
277,One Night Ultimate Werewolf Daybreak,0,505,7.4,8.3,4864,0.0%
278,New Dawn: Exodai,0,-1,7.2,-1.0,20,0.0%
279,Mystic Market,0,4182,7.3,-1.0,284,0.0%
280,Monopoly Millionaire Deal Card Game,0,8240,5.9,5.0,449,0.0%
281,Marvel Dice Masters: Uncanny X-Men,0,761,7.2,9.3,3692,0.0%
282,Marvel Dice Masters: Age of Ultron,0,1459,7.3,-1.0,1301,0.0%
283,Mall of Horror,0,1653,6.6,8.5,2917,0.0%
284,Magic: The Gathering,0,158,7.5,9.0,32365,0.0%
285,Machi Koro: Gaming Mega Store,0,-1,6.0,7.0,400,0.0%
286,Lords of Xidit: Bonus Titans Promo,0,-1,7.0,-1.0,111,0.0%
287,Lords of Waterdeep: Rapid Expansion Promo Card,0,-1,7.6,-1.0,272,0.0%
288,Lap Dance Kickstarter Stretch Rewards and 5th Player Expansion,0,-1,6.6,-1.0,44,0.0%
289,Kingsburg: To Forge a Realm,0,-1,7.9,8.5,4148,0.0%
290,Kill Doctor Lucky,0,2530,6.2,7.2,6496,0.0%
291,Kalevi kaardimängud,0,-1,4.3,-1.0,9,0.0%
292,Jump Gate,0,8615,6.2,-1.0,173,0.0%
293,Island Dice,0,14063,6.8,-1.0,53,0.0%
294,Imperial Settlers: Why Can't We Be Friends,0,-1,7.6,9.5,1892,0.0%
295,Imperial Settlers: We Didn't Start The Fire,0,-1,7.3,-1.0,197,0.0%
296,Imperial Settlers: The Watchers Guild,0,-1,7.5,-1.0,38,0.0%
297,Imperial Settlers: The Dice Tower Inn,0,-1,7.1,-1.0,36,0.0%
298,Imperial Settlers: Storage Box Plus,0,-1,8.4,-1.0,9,0.0%
299,Imperial Settlers: Expedition Tokens,0,-1,7.3,-1.0,245,0.0%
300,Imperial Settlers: Empires of the North – Treasure Islands,0,-1,7.2,-1.0,35,0.0%
301,Imperial Settlers: Empires of the North – Solo Scenarios,0,-1,7.9,-1.0,34,0.0%
302,Imperial Settlers: Empires of the North – Roman Banners,0,-1,8.2,-1.0,233,0.0%
303,Imperial Settlers: Empires of the North – Japanese Islands,0,-1,8.1,-1.0,306,0.0%
304,Imperial Settlers: Empires of the North – Islands Set I,0,-1,7.7,-1.0,30,0.0%
305,Imperial Settlers: Council Promo,0,-1,6.9,-1.0,74,0.0%
306,Imperial Settlers: Aztecs,0,-1,7.6,-1.0,753,0.0%
307,Imperial Settlers: Atlanteans,0,-1,7.4,-1.0,1573,0.0%
