,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Coup,55,501,7.0,6.5,35884,99.9%
1,The Resistance: Avalon,49,131,7.6,8.0,27053,99.9%
2,Carcassonne,41,181,7.4,6.0,101546,99.9%
3,Agricola,41,31,7.9,9.0,63367,99.9%
4,Unpublished Prototype,33,2844,6.9,-1.0,802,99.9%
5,BANG! The Dice Game,32,567,7.0,5.0,19765,99.9%
6,Dominion,25,98,7.6,8.0,77920,99.6%
7,Codenames,22,93,7.6,6.5,67424,99.3%
8,Magic: The Gathering,18,158,7.5,6.5,32365,98.4%
9,Sushi Go!,17,444,7.1,6.5,34649,98.0%
10,Loopin' Louie,17,922,6.8,4.5,8390,98.0%
11,King of Tokyo,17,313,7.2,6.0,57483,98.0%
12,Diamant,17,718,6.8,6.5,17037,98.0%
13,Jenga,16,10810,5.6,6.0,11678,97.4%
14,Taluva,15,507,7.2,9.0,7779,96.8%
15,Sushi Dice,15,6715,5.9,4.0,782,96.8%
16,Coconuts,15,933,7.0,4.5,3702,96.8%
17,Quarriors!,14,886,6.8,5.5,13141,96.0%
18,Mice and Mystics,13,325,7.3,6.0,16705,94.9%
19,Pick Picknic,12,1836,6.6,5.0,2533,93.6%
20,Magic Maze,12,497,7.1,7.5,15564,93.6%
21,Love Letter,12,282,7.2,6.0,55827,93.6%
22,Gobblet Gobblers,12,4665,6.2,6.5,705,93.6%
23,Colt Express,12,392,7.1,7.5,24660,93.6%
24,Battle Sheep,12,1453,6.6,5.0,3825,93.6%
25,Terrible Monster,11,6983,6.6,9.0,214,92.0%
26,Sheriff of Nottingham,11,368,7.1,6.5,29544,92.0%
27,Callisto: The Game,11,4815,6.2,6.0,632,92.0%
28,Happy Salmon,9,1227,6.8,6.0,4035,87.4%
29,Great Western Trail,9,11,8.3,9.0,29290,87.4%
30,Fast Forward: FEAR,9,3920,6.1,7.0,1190,87.4%
31,Avanti mare!,9,13200,5.8,3.0,130,87.4%
