,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Qwixx,40,764,6.9,-1.0,9443,99.9%
1,Splendor,35,167,7.5,8.6,58499,99.9%
2,Love Letter,34,282,7.2,8.0,55827,99.9%
3,The City,32,2035,6.5,-1.0,2091,99.9%
4,Flowerpower,23,3407,6.6,7.3,698,99.4%
5,Red7,21,657,6.9,-1.0,12645,99.2%
6,Mystery Rummy: Jack the Ripper,21,1074,6.9,6.7,3316,99.2%
7,Rummikub,20,1638,6.4,-1.0,13147,99.0%
8,King of Tokyo,20,313,7.2,9.1,57483,99.0%
9,Chicago Stock Exchange,17,10846,6.0,-1.0,128,98.0%
10,Battle Line,16,224,7.4,6.8,15624,97.4%
11,Coup,15,501,7.0,-1.0,35884,96.8%
12,Spot it!,14,1109,6.6,6.5,12801,96.0%
13,Carcassonne,14,181,7.4,6.6,101546,96.0%
14,Agricola: All Creatures Big and Small,13,279,7.4,-1.0,12301,94.9%
15,7 Wonders,12,60,7.8,8.8,84104,93.6%
16,Seven Dragons,11,3109,6.3,6.3,1711,92.0%
17,Piepmatz,11,1413,7.2,-1.0,1486,92.0%
18,No Thanks!,11,449,7.1,6.5,20289,92.0%
19,Mosaix,11,3645,6.5,7.1,626,92.0%
20,Roll Through the Ages: The Bronze Age,10,712,6.9,7.1,11484,90.0%
21,Patchwork,10,88,7.7,-1.0,46298,90.0%
22,Jambo,10,642,7.0,6.8,7958,90.0%
23,Jaipur,10,135,7.5,7.9,37008,90.0%
24,Qwirkle,9,796,6.8,-1.0,16075,87.4%
25,Lost Cities,9,322,7.2,7.1,37164,87.4%
26,King of Tokyo: Power Up!,9,-1,7.6,-1.0,10407,87.4%
27,Keltis,9,1690,6.4,-1.0,5646,87.4%
28,Fleet,9,942,6.9,-1.0,4556,87.4%
29,Balloon Cup,9,1143,6.7,7.2,5751,87.4%
30,Azul,9,50,7.8,-1.0,53207,87.4%
31,Tantrix,8,2806,6.3,6.5,1870,84.1%
32,Mystery Rummy: Murders in the Rue Morgue,8,2837,6.7,6.8,805,84.1%
33,Long Shot,8,1727,6.7,8.3,2098,84.1%
34,Las Vegas,8,502,7.1,-1.0,9208,84.1%
35,King of Tokyo: Halloween,8,-1,7.2,-1.0,4476,84.1%
36,How Many?,8,14530,6.1,-1.0,49,84.1%
37,Haggis,8,929,7.0,7.2,3910,84.1%
38,Zombie Dice,7,2090,6.2,-1.0,16146,80.0%
39,Yardmaster Express,7,5928,5.8,-1.0,1185,80.0%
40,Wildlife Safari,7,1603,6.6,6.6,2802,80.0%
41,L.L.A.M.A.,7,1725,6.5,-1.0,3764,80.0%
42,Tichu,6,170,7.6,6.3,13267,74.8%
43,Thurn and Taxis,6,428,7.1,7.4,18091,74.8%
44,Sorry! Sliders,6,2004,6.4,6.3,3647,74.8%
45,Risk Express,6,3743,6.3,-1.0,987,74.8%
46,Machi Koro,6,987,6.6,8.7,26165,74.8%
47,Kobayakawa,6,2703,6.3,-1.0,1792,74.8%
48,Glastonbury,6,4742,6.5,-1.0,385,74.8%
49,Five Tribes,6,65,7.8,-1.0,32178,74.8%
50,Sushi Draft,5,15758,5.6,-1.0,237,68.3%
51,San Juan,5,293,7.3,7.1,22214,68.3%
52,Lost Legacy,5,-1,6.5,-1.0,1124,68.3%
53,Kanagawa,5,625,7.1,-1.0,7003,68.3%
54,Imperial Settlers,5,212,7.4,-1.0,21043,68.3%
55,Dice Town,5,868,6.9,8.1,6778,68.3%
56,Carcassonne: The Discovery,5,2219,6.5,6.3,2161,68.3%
57,BraveRats,5,2202,6.5,-1.0,2156,68.3%
58,Biblios,5,366,7.2,7.1,14969,68.3%
59,Agricola: All Creatures Big and Small – More Buildings Big and Small,5,-1,7.7,-1.0,1870,68.3%
60,Ticket to Ride: Switzerland,4,-1,7.5,-1.0,4602,60.1%
61,Schotten Totten,4,394,7.3,-1.0,7585,60.1%
62,The Rose King,4,1282,6.8,6.6,3149,60.1%
63,Reef,4,611,7.1,-1.0,6776,60.1%
64,Railways of the World: The Card Game,4,2733,6.7,6.7,895,60.1%
65,Quietville,4,4171,6.2,-1.0,934,60.1%
66,Parade,4,800,7.0,7.7,5914,60.1%
67,Morels,4,706,7.0,7.5,7266,60.1%
68,Monza,4,2108,6.6,-1.0,1820,60.1%
69,Kingdom Builder,4,545,7.0,-1.0,19618,60.1%
70,King of Tokyo: Promo Cards,4,-1,7.5,-1.0,1072,60.1%
71,Ingenious: Travel Edition,4,1256,7.1,6.4,1912,60.1%
72,Get Bit!,4,2435,6.2,-1.0,6007,60.1%
73,Construction Zone,4,12744,5.9,-1.0,128,60.1%
74,Cherry Picking,4,7546,6.5,-1.0,147,60.1%
75,Caverna: The Cave Farmers,4,30,8.0,-1.0,28040,60.1%
76,Carcassonne: Hunters and Gatherers,4,490,7.1,6.4,11093,60.1%
77,Arboretum,4,254,7.4,-1.0,13034,60.1%
78,7 Wonders Duel,4,17,8.1,-1.0,59932,60.1%
79,Songbirds,3,2367,6.9,-1.0,968,49.8%
80,Xanadú,3,4415,6.5,-1.0,483,49.8%
81,Winner's Circle,3,834,7.0,-1.0,5048,49.8%
82,Von 0 auf 100,3,10331,6.7,-1.0,62,49.8%
83,Uruk: Wiege der Zivilisation,3,3256,6.7,6.9,633,49.8%
84,Tybor the Builder,3,2017,7.0,-1.0,1036,49.8%
85,Ticket to Ride: Nordic Countries,3,154,7.6,-1.0,11593,49.8%
86,Ticket to Ride Map Collection: Volume 1 – Team Asia & Legendary Asia,3,-1,7.7,-1.0,5150,49.8%
87,Terraforming Mars,3,4,8.4,-1.0,64485,49.8%
88,Tally Ho!,3,2995,6.1,-1.0,2713,49.8%
89,Seven7s,3,5202,6.2,-1.0,511,49.8%
90,Saint Petersburg,3,303,7.3,-1.0,14518,49.8%
91,Royal Visit,3,3216,6.3,6.5,1190,49.8%
92,Power Grid,3,39,7.9,8.9,56129,49.8%
93,Pick Picknic,3,1836,6.6,-1.0,2533,49.8%
94,King of New York,3,616,7.0,-1.0,14146,49.8%
95,Kahuna,3,1127,6.6,6.3,8402,49.8%
96,Innovation,3,334,7.2,-1.0,14811,49.8%
97,Glory to Rome,3,200,7.5,-1.0,12957,49.8%
98,Friday the 13th,3,1852,6.4,-1.0,3784,49.8%
99,Through the Desert,3,499,7.1,7.6,12705,49.8%
100,Can't Stop,3,739,6.8,6.6,13213,49.8%
101,Animal Upon Animal,3,908,6.8,7.2,7101,49.8%
102,Agricola,3,31,7.9,9.2,63367,49.8%
103,The Werewolves of Miller's Hollow,2,1010,6.7,-1.0,9865,36.9%
104,Treasure Island,2,669,7.3,-1.0,3711,36.9%
105,Trans Europa,2,1528,6.6,6.9,3228,36.9%
106,Shanghaien,2,2670,6.6,6.2,1213,36.9%
107,Sagrada,2,147,7.5,-1.0,25897,36.9%
108,Saboteur,2,1075,6.6,6.4,25602,36.9%
109,Road to the Palace,2,-1,6.4,-1.0,28,36.9%
110,Rallyman,2,1003,7.2,6.7,2402,36.9%
111,R-Eco,2,1876,6.6,-1.0,2116,36.9%
112,Quarto,2,956,6.9,-1.0,5849,36.9%
113,Mystery Rummy: Jekyll & Hyde,2,2472,6.6,6.6,1238,36.9%
114,Knapp daneben,2,-1,6.1,-1.0,26,36.9%
115,Heave Ho!,2,3910,6.3,6.5,904,36.9%
116,Le Havre,2,47,7.9,8.6,26395,36.9%
117,Guillotine,2,1182,6.5,-1.0,19362,36.9%
118,Groo: The Game,2,4082,6.3,-1.0,820,36.9%
119,The Great Heartland Hauling Co.,2,1340,6.9,-1.0,2339,36.9%
120,Gloria Picktoria,2,3300,6.4,6.0,1046,36.9%
121,Forum Romanum,2,3831,6.8,6.8,449,36.9%
122,Formula D,2,520,7.0,7.1,17119,36.9%
123,Fleet: Inuit Fisherman,2,-1,7.3,-1.0,109,36.9%
124,Fleet: Arctic Bounty,2,-1,7.6,-1.0,670,36.9%
125,Fleet Wharfside,2,3334,6.9,-1.0,494,36.9%
126,Donburiko,2,9367,6.4,-1.0,108,36.9%
127,Dicke Dämonen,2,7902,6.6,-1.0,120,36.9%
128,Cheaty Mages!,2,2843,6.3,-1.0,1909,36.9%
129,Change Horses,2,19173,5.3,6.1,431,36.9%
130,Bluff in Zoo,2,9305,6.3,-1.0,117,36.9%
131,At the Gates of Loyang,2,296,7.4,-1.0,9745,36.9%
132,7 Wonders: Leaders,2,-1,7.8,-1.0,13462,36.9%
133,You're Bluffing!,1,1618,6.6,-1.0,3677,20.5%
134,Yardmaster Express: Caboose Expansion,1,-1,6.3,-1.0,229,20.5%
135,Xanadu: Promo Card – Colección de Arte de Palacio / Palace Art Collection,1,-1,7.5,-1.0,15,20.5%
136,Wyatt Earp,1,1116,6.8,-1.0,3886,20.5%
137,Villa Paletti,1,1789,6.4,-1.0,4030,20.5%
138,Um Reifenbreite,1,1521,6.8,-1.0,2190,20.5%
139,The Twits Card Game,1,-1,4.9,-1.0,23,20.5%
140,TurfMaster,1,1883,7.2,-1.0,957,20.5%
141,Ticket to Ride Map Collection: Volume 3 – The Heart of Africa,1,-1,7.4,-1.0,2708,20.5%
142,That's Pretty Clever!,1,130,7.6,-1.0,14225,20.5%
143,Targi,1,123,7.6,8.0,14453,20.5%
144,The Speicherstadt,1,788,7.0,-1.0,4750,20.5%
145,Smash Up: Science Fiction Double Feature,1,695,7.3,-1.0,3673,20.5%
146,Smash Up,1,865,6.8,-1.0,23563,20.5%
147,Die Siedler von Catan: Kartenspiel – Handel & Wandel,1,-1,7.0,-1.0,669,20.5%
148,Scrabble,1,1807,6.3,-1.0,26658,20.5%
149,Saboteur 2 (expansion-only editions),1,-1,7.0,-1.0,4553,20.5%
150,Russian Railroads,1,90,7.8,-1.0,14806,20.5%
151,RRR,1,5036,6.8,-1.0,256,20.5%
152,RoboRally,1,441,7.1,8.0,22444,20.5%
153,Reef Encounter,1,650,7.1,8.7,4966,20.5%
154,Power Grid: China/Korea,1,-1,8.0,-1.0,2757,20.5%
155,Pickomino,1,1252,6.6,-1.0,8983,20.5%
156,Piccobello,1,-1,6.4,-1.0,17,20.5%
157,Perry Rhodan: The Cosmic League,1,1850,6.8,-1.0,1627,20.5%
158,Penguin Party,1,3098,6.4,-1.0,1051,20.5%
159,Pax Porfiriana,1,464,7.7,-1.0,2981,20.5%
160,Palastgeflüster,1,1570,6.8,-1.0,2202,20.5%
161,Ora et Labora,1,136,7.7,-1.0,9747,20.5%
162,One Night Werewolf,1,5950,6.1,-1.0,484,20.5%
163,Oh My Goods!,1,630,7.0,-1.0,9332,20.5%
164,Northwest Passage Adventure,1,10732,6.2,-1.0,120,20.5%
165,Naschkatze,1,-1,6.1,-1.0,7,20.5%
166,Mr. Jack,1,530,7.0,6.0,15314,20.5%
167,Mow,1,3494,6.2,3.0,1372,20.5%
168,Maximum Throwdown,1,15790,5.6,-1.0,445,20.5%
169,Mascarade,1,1151,6.6,-1.0,9204,20.5%
170,Mamma Mia!,1,1566,6.5,-1.0,5678,20.5%
171,Mahjong,1,760,7.0,-1.0,6439,20.5%
172,Louis XIV,1,711,7.1,-1.0,5339,20.5%
173,Loopin' Louie,1,922,6.8,-1.0,8390,20.5%
174,Kingdom Builder: Caves,1,-1,7.0,-1.0,330,20.5%
175,King of New York: Monster Idol,1,-1,7.0,-1.0,104,20.5%
176,Keythedral,1,983,7.1,7.1,2965,20.5%
