,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Magic: The Gathering,872,158,7.5,10.0,32365,100.0%
1,San Juan,275,293,7.3,8.0,22214,100.0%
2,Ascension: Deckbuilding Game,136,598,7.0,8.0,11777,99.9%
3,Warhammer Age of Sigmar: Champions Trading Card Game,125,3498,7.5,8.0,347,99.9%
4,Spades,113,1704,6.8,6.0,2091,99.9%
5,Cthulhu Realms,106,1552,6.7,8.0,2840,99.9%
6,Skip-Bo,95,19922,5.5,7.0,6071,99.9%
7,Dungeons & Dragons Miniatures,95,3081,6.5,9.0,1062,99.9%
8,Poker,90,1030,6.7,10.0,9254,99.9%
9,Hearts,81,1845,6.4,7.0,3815,99.9%
10,Star Realms,76,115,7.6,7.0,35855,99.9%
11,Guillotine,70,1182,6.5,9.0,19362,99.9%
12,Ticket to Ride,61,174,7.4,9.0,71408,99.9%
13,Scrabble,60,1807,6.3,8.0,26658,99.9%
14,10 Days in Africa,52,2178,6.6,7.0,1912,99.9%
15,Warlord: Saga of the Storm,50,4425,6.8,5.0,394,99.9%
16,Risk,49,19446,5.6,5.0,30178,99.9%
17,Hive,45,246,7.3,8.0,29494,99.9%
18,Ticket to Ride: Europe,44,119,7.5,7.0,58364,99.9%
19,Krosmaster: Arena,43,1343,6.8,9.0,3436,99.9%
20,Citadels,43,403,7.1,8.0,48290,99.9%
21,Magic: The Gathering Challenge Deck – Battle the Horde,41,-1,7.1,-1.0,83,99.9%
22,Fairy Tale,41,970,6.7,5.0,8457,99.9%
23,10 Days in Europe,41,2082,6.6,8.0,1878,99.9%
24,Saint Petersburg,40,303,7.3,8.0,14518,99.9%
25,HeroClix,38,2267,6.5,6.0,2400,99.9%
26,Puerto Rico,37,28,8.0,9.0,63032,99.9%
27,Citadels: The Dark City,37,-1,7.0,7.0,6393,99.9%
28,Vegas Showdown,36,549,7.2,7.0,6077,99.9%
29,Ticket to Ride: Europa 1912,33,-1,7.6,8.0,4752,99.9%
30,Acquire,33,276,7.3,9.0,18189,99.9%
31,Lost Cities,30,322,7.2,8.0,37164,99.9%
32,Button Men,30,3951,6.3,8.0,798,99.9%
33,Blokus Duo,29,1008,6.8,7.0,5093,99.8%
34,Regular Show Fluxx,28,7193,6.2,7.0,297,99.8%
35,Memoir '44,25,138,7.6,9.0,25667,99.6%
36,Dungeons & Dragons Basic Game,25,2888,6.8,7.0,807,99.6%
37,6 nimmt!,25,597,6.9,7.0,20527,99.6%
38,10 Days in Asia,25,2481,6.7,8.0,1113,99.6%
39,Star Trek: Attack Wing,24,1357,7.5,8.0,1802,99.6%
40,Mag·Blast (Third Edition),24,3907,6.0,7.0,1924,99.6%
41,Blokus,24,646,6.9,7.0,22840,99.6%
42,Onitama,21,247,7.4,9.0,15071,99.2%
43,Loonacy,21,5044,6.3,7.0,512,99.2%
44,Carcassonne: Hunters and Gatherers,21,490,7.1,8.0,11093,99.2%
45,Attika,21,746,7.0,8.0,6328,99.2%
46,Three-Dragon Ante,20,2650,6.5,7.0,1558,99.0%
47,Give Me the Brain!,19,5382,5.8,8.0,2111,98.7%
48,The Rose King,18,1282,6.8,7.0,3149,98.4%
49,Thurn and Taxis,15,428,7.1,7.0,18091,96.8%
50,Starship Catan,15,1072,6.8,8.0,4291,96.8%
51,Ra,14,177,7.5,8.0,19077,96.0%
52,For Sale,14,301,7.2,8.0,23815,96.0%
53,Fluxx,14,8877,5.7,5.0,15803,96.0%
54,Strat-O-Matic Baseball,13,1417,7.8,8.0,1069,94.9%
55,Star Fluxx,13,2155,6.4,7.0,4929,94.9%
56,Dominion,13,98,7.6,7.0,77920,94.9%
57,BattleLore,13,358,7.4,9.0,9091,94.9%
58,Ticket to Ride: USA 1910,12,-1,8.0,8.0,10064,93.6%
59,Splendor,12,167,7.5,6.0,58499,93.6%
60,Phoenix,12,4024,6.4,6.0,672,93.6%
61,Magic: The Gathering Challenge Deck – Defeat a God,12,-1,7.0,-1.0,71,93.6%
62,Wildlife Safari,11,1603,6.6,6.0,2802,92.0%
63,Star Wars Customizable Card Game,11,1834,6.7,7.0,2277,92.0%
64,Deadlands: Doomtown,11,2505,7.2,7.0,636,92.0%
65,Carcassonne: The Castle,11,593,7.1,7.0,7556,92.0%
66,Battle Cry,11,849,7.2,8.0,3422,92.0%
67,Backgammon,11,1277,6.5,6.0,11651,92.0%
68,Aquarius,11,4106,6.0,6.0,1694,92.0%
69,Vampire: The Eternal Struggle,10,1158,7.2,7.0,2268,90.0%
70,Onirim (Second Edition),10,580,7.1,7.0,8087,90.0%
71,The Lord of the Rings: The Fellowship of the Ring Deck-Building Game,10,2100,6.8,7.0,1399,90.0%
72,Elasund: The First City,10,1556,6.6,7.0,3201,90.0%
73,Cardline: Animals,10,2150,6.6,8.0,1818,90.0%
74,Arkham Horror: The Card Game,10,22,8.2,9.0,28406,90.0%
75,World of Warcraft Trading Card Game,9,2058,6.7,6.0,1871,87.4%
76,TransAmerica,9,1104,6.7,8.0,7688,87.4%
77,Ticket to Ride: Märklin,9,309,7.4,7.0,8709,87.4%
78,Talisman (Revised 4th Edition),9,1476,6.5,8.0,13215,87.4%
79,Scythe,9,14,8.2,9.0,57625,87.4%
80,Nuclear War,9,2901,6.2,6.0,2810,87.4%
81,Catan,9,395,7.2,6.0,101212,87.4%
82,Zero!,8,3010,6.9,7.0,593,84.1%
83,Vs System,8,2922,6.8,7.0,808,84.1%
84,Sagrada,8,147,7.5,8.0,25897,84.1%
85,Onitama: Sensei's Path,8,-1,7.8,9.0,1265,84.1%
86,Kingdomino,8,217,7.4,8.0,32067,84.1%
87,Catan Dice Game,8,6377,5.7,7.0,5143,84.1%
88,Android: Netrunner,8,53,7.9,8.0,26700,84.1%
89,Yahtzee,7,20114,5.4,5.0,11803,80.0%
90,WWE Raw Deal,7,6722,6.8,7.0,173,80.0%
91,Queen's Necklace,7,2265,6.4,7.0,2395,80.0%
92,Power Grid,7,39,7.9,10.0,56129,80.0%
93,Pandemic,7,99,7.6,7.0,101865,80.0%
94,Lunch Money,7,12939,5.6,8.0,2565,80.0%
95,Krosmaster: Arena – Exp #3 – Percimol Rules,7,-1,7.3,-1.0,150,80.0%
96,Chainsaw Warrior,7,7203,5.9,9.0,714,80.0%
97,Cards Against Humanity,7,4284,5.9,8.0,23175,80.0%
98,Canasta,7,3259,6.4,6.0,1163,80.0%
99,BANG!,7,1270,6.5,8.0,26411,80.0%
