,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Dominion,55,98,7.6,8.0,77920,99.9%
1,Greed,40,1787,6.7,9.0,2121,99.9%
2,Azul,38,50,7.8,8.0,53207,99.9%
3,Splendor,37,167,7.5,7.0,58499,99.9%
4,聖杯サクセション (Throne and the Grail),36,5270,7.1,9.0,191,99.9%
5,"Hey, That's My Fish!",31,855,6.7,8.0,19341,99.9%
6,Eggs of Ostrich,28,5275,6.8,9.0,240,99.8%
7,ZÈRTZ,27,653,7.3,9.0,3909,99.8%
8,Carcassonne,25,181,7.4,8.0,101546,99.6%
9,Rhino Hero,21,722,6.9,8.0,8330,99.2%
10,Pax Porfiriana,21,464,7.7,10.0,2981,99.2%
11,Habitats,21,1404,7.4,6.0,1193,99.2%
12,Taluva,19,507,7.2,7.0,7779,98.7%
13,Love Letter,19,282,7.2,5.0,55827,98.7%
14,Happy Salmon,19,1227,6.8,8.0,4035,98.7%
15,My City,18,770,7.9,8.0,1578,98.4%
16,Glory to Rome,18,200,7.5,9.0,12957,98.4%
17,Terraforming Mars,17,4,8.4,6.0,64485,98.0%
18,Lost Cities,17,322,7.2,9.0,37164,98.0%
19,Patchwork,16,88,7.7,7.0,46298,97.4%
20,Breitseite,16,-1,6.8,8.0,15,97.4%
21,The King of Frontier,15,5176,6.9,7.0,224,96.8%
22,Dead Man's Draw,15,1092,6.9,8.0,4451,96.8%
23,Coup,15,501,7.0,7.0,35884,96.8%
24,Neolithic,14,3992,7.2,7.0,299,96.0%
25,The Duke,14,561,7.4,8.0,3773,96.0%
26,KLASK,13,261,7.7,7.0,5624,94.9%
27,Codenames,13,93,7.6,6.0,67424,94.9%
28,Push It,12,3589,7.1,7.0,355,93.6%
29,Clank!: A Deck-Building Adventure,12,63,7.8,5.0,27731,93.6%
30,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",11,885,7.7,9.0,1649,92.0%
31,Saint Petersburg,11,303,7.3,8.0,14518,92.0%
32,BraveRats,11,2202,6.5,9.0,2156,92.0%
33,Pairs,11,2578,6.4,7.0,2064,92.0%
34,Wir sind das Volk!,10,586,7.8,8.0,1977,90.0%
35,Troyes,10,83,7.8,8.0,18847,90.0%
36,New York 1901,10,989,6.8,7.0,5438,90.0%
37,Koi-Koi,10,4681,6.7,7.0,368,90.0%
38,Ticket to Ride: Nordic Countries,9,154,7.6,6.0,11593,87.4%
39,YINSH,8,189,7.7,7.0,7320,84.1%
40,Star Wars: X-Wing (Second Edition),8,559,8.3,8.0,1674,84.1%
41,Medina (Second Edition),8,1197,7.2,9.0,1651,84.1%
42,London,8,389,7.4,8.0,6275,84.1%
43,Lancaster,8,345,7.4,8.0,6661,84.1%
44,Can't Stop,8,739,6.8,7.0,13213,84.1%
45,Bohnanza,8,450,7.0,7.0,38186,84.1%
46,Tigris & Euphrates,7,92,7.7,8.0,25297,80.0%
47,Small City,7,2282,7.5,9.0,564,80.0%
48,Scythe,7,14,8.2,6.0,57625,80.0%
49,Puerto Rico,7,28,8.0,8.0,63032,80.0%
50,Mandala,7,579,7.7,8.0,2296,80.0%
51,Bluff in Zoo,7,9305,6.3,8.0,117,80.0%
52,American Megafauna,7,4123,6.9,8.0,342,80.0%
53,Tzolk'in: The Mayan Calendar,6,40,7.9,7.0,30663,74.8%
54,Stick 'Em,6,1012,7.0,9.0,2921,74.8%
55,Elements,6,3307,6.8,8.0,540,74.8%
56,Import / Export,6,2330,7.3,8.0,667,74.8%
57,IKI,6,1468,7.6,7.0,967,74.8%
58,Formosa Tea,6,4009,7.6,7.0,234,74.8%
59,Everdell,6,36,8.1,7.0,19285,74.8%
60,Dicke Dämonen,6,7902,6.6,9.0,120,74.8%
61,Crisis,6,1011,7.6,8.0,1517,74.8%
62,Amazons,6,4128,7.2,7.0,295,74.8%
63,Sheep & Garden,6,-1,6.7,7.0,10,74.8%
64,ドキッと！アイス (Dokitto! Ice),5,-1,7.2,8.0,12,68.3%
65,Tash-Kalar: Arena of Legends,5,563,7.2,7.0,6054,68.3%
66,Samurai,5,209,7.5,8.0,14736,68.3%
67,PitchCar,5,386,7.3,7.0,9625,68.3%
68,Obsession,5,506,8.2,8.0,1785,68.3%
69,Nuclear War,5,2901,6.2,5.0,2810,68.3%
70,Keyflower,5,72,7.8,8.0,18952,68.3%
71,Evolution: Climate,5,283,7.6,8.0,6063,68.3%
72,Cosmogenesis,5,2623,7.5,8.0,515,68.3%
73,American Book Shop,5,9396,7.7,9.0,40,68.3%
74,Vivaldi,4,11746,6.6,8.0,46,60.1%
