,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Race for the Galaxy,46,59,7.8,9.0,46293,99.9%
1,Race for the Galaxy: The Gathering Storm,41,-1,8.1,9.5,9575,99.9%
2,Race for the Galaxy: Rebel vs Imperium,34,-1,7.9,9.0,5715,99.9%
3,Carcassonne,27,181,7.4,8.0,101546,99.8%
4,Ticket to Ride,24,174,7.4,8.0,71408,99.6%
5,Kingdomino,17,217,7.4,8.0,32067,98.0%
6,Carcassonne: Expansion 2 – Traders & Builders,17,-1,7.6,8.0,15539,98.0%
7,Bohnanza,17,450,7.0,9.0,38186,98.0%
8,Carcassonne: Hunters and Gatherers,16,490,7.1,9.5,11093,97.4%
9,Carcassonne: Expansion 1 – Inns & Cathedrals,16,-1,7.6,8.0,19773,97.4%
10,Lost Cities,15,322,7.2,8.0,37164,96.8%
11,Loopin' Louie,14,922,6.8,6.0,8390,96.0%
12,Bohnanza Erweiterungs-Set,14,-1,7.0,9.5,826,96.0%
13,NMBR 9,13,869,6.9,8.0,5682,94.9%
14,Ingenious,13,426,7.1,8.0,15617,94.9%
15,Power Grid,12,39,7.9,9.0,56129,93.6%
16,Animal Upon Animal,12,908,6.8,7.0,7101,93.6%
17,6 nimmt!,11,597,6.9,9.0,20527,92.0%
18,Splendor,10,167,7.5,9.0,58499,90.0%
19,Coconuts,10,933,7.0,4.0,3702,90.0%
20,Agricola,10,31,7.9,9.0,63367,90.0%
21,Steam,9,186,7.6,9.0,9546,87.4%
22,Qwixx,8,764,6.9,7.0,9443,84.1%
23,PitchCar,8,386,7.3,7.5,9625,84.1%
24,Memo+,8,-1,4.5,4.0,6,84.1%
25,The Mind,7,618,6.9,8.0,19186,80.0%
26,El Grande,7,78,7.8,8.5,23511,80.0%
27,Attika,7,746,7.0,8.0,6328,80.0%
28,Advanced Squad Leader: Starter Kit #1,7,554,7.8,9.0,2375,80.0%
29,Twilight Struggle,6,10,8.3,8.0,40694,74.8%
30,Sleeping Queens,6,2115,6.5,4.0,3160,74.8%
31,San Juan,6,293,7.3,8.5,22214,74.8%
32,Roll for the Galaxy,6,94,7.7,9.5,26342,74.8%
33,EastFront: The War in Russia 1941-45 – Second Edition,6,1815,8.1,9.0,569,74.8%
34,Notre Dame,5,289,7.3,9.0,12221,68.3%
35,Kingdom Builder,5,545,7.0,8.0,19618,68.3%
36,Gang of Four,5,1955,6.6,8.0,2250,68.3%
37,Galaxy Trucker,5,191,7.4,8.0,29437,68.3%
38,Advanced Squad Leader: Starter Kit #2,5,1063,7.9,8.0,1145,68.3%
39,Ticket to Ride: Märklin,4,309,7.4,9.0,8709,60.1%
40,Spot it!,4,1109,6.6,6.0,12801,60.1%
41,Pharaoh's Gulo Gulo,4,4750,6.8,6.0,285,60.1%
42,Honshū,4,896,7.0,7.0,4301,60.1%
43,Azul,4,50,7.8,9.0,53207,60.1%
44,Advanced Squad Leader,4,316,8.0,8.0,3486,60.1%
45,Scotland Yard,3,1259,6.5,4.0,14291,49.8%
46,Rise of Augustus,3,983,6.7,8.0,7564,49.8%
47,Power Grid: China/Korea,3,-1,8.0,9.0,2757,49.8%
48,Combo Color,3,7135,6.5,7.0,196,49.8%
49,Century: Eastern Wonders,3,578,7.2,8.0,5519,49.8%
50,Carcassonne Junior,3,1478,6.7,6.0,3305,49.8%
51,Unlock!: Mystery Adventures,2,-1,7.5,7.5,2444,36.9%
52,Tigris & Euphrates,2,92,7.7,8.0,25297,36.9%
53,Tichu,2,170,7.6,7.0,13267,36.9%
54,Through the Ages: A Story of Civilization,2,49,7.9,9.0,17986,36.9%
55,This War of Mine: The Board Game,2,149,7.8,-1.0,8487,36.9%
56,Take 5!,2,2317,6.5,7.0,1890,36.9%
57,Rattus: Pied Piper,2,-1,7.3,7.5,862,36.9%
58,Mare Balticum,2,6330,6.3,6.0,297,36.9%
59,Magnum Sal,2,1704,7.0,8.0,1441,36.9%
60,Kingsburg,2,354,7.2,8.0,18324,36.9%
61,Goa,2,180,7.6,7.0,10921,36.9%
62,The Game of Ladybirds,2,-1,4.6,1.0,28,36.9%
63,Brass: Lancashire,2,19,8.2,8.0,19333,36.9%
64,7 Wonders: Leaders,2,-1,7.8,9.0,13462,36.9%
65,White Eagle Defiant: Poland 1939,1,9973,8.1,6.5,31,20.5%
66,Second Chance,1,2257,6.7,-1.0,1294,20.5%
67,Rommel in the Desert,1,1483,7.5,-1.0,988,20.5%
68,Neuland,1,2628,6.5,6.0,1387,20.5%
69,Kyoto Protocol,1,9342,6.6,7.0,86,20.5%
70,In the Year of the Dragon,1,297,7.4,8.0,10759,20.5%
71,Imperial,1,207,7.6,-1.0,8243,20.5%
72,Galaxy Trucker: Rough Road Ahead,1,-1,7.6,8.0,286,20.5%
73,Power Grid: France/Italy,1,-1,7.9,8.0,3081,20.5%
74,Freezing Death: Finnish Winter War,1,8901,7.5,7.5,53,20.5%
75,Exploding Kittens,1,3303,6.0,-1.0,21428,20.5%
76,Europe Engulfed: WWII European Theatre Block Game,1,1376,7.5,8.0,1265,20.5%
77,Carcassonne: King & Scout,1,-1,6.6,5.0,3802,20.5%
78,Carcassonne: The Count of Carcassonne,1,-1,6.0,-1.0,3200,20.5%
79,Battle Line,1,224,7.4,7.5,15624,20.5%
80,"Age of Steam Expansion: 1867 Georgia Reconstruction, South Carolina & Oklahoma Land Rush",1,-1,7.6,8.0,72,20.5%
81,7 Wonders: Manneken Pis,1,-1,6.8,8.0,2051,20.5%
82,7 Wonders: Cities,1,-1,7.8,-1.0,9838,20.5%
83,Wizard,0,759,6.9,-1.0,8341,0.0%
84,A Victory Lost: Crisis in Ukraine 1942-1943,0,1349,7.7,-1.0,1027,0.0%
85,Tornio '44,0,9611,7.7,-1.0,44,0.0%
86,Super Farmer,0,9945,5.7,-1.0,1325,0.0%
87,Struggle for Catan,0,3100,6.2,-1.0,2394,0.0%
88,Rise and Decline of the Third Reich,0,1799,6.9,-1.0,1862,0.0%
89,Rage,0,3356,6.2,-1.0,1675,0.0%
90,Pokémon TCG: Sun & Moon Theme Deck,0,-1,7.1,-1.0,12,0.0%
91,Naval War,0,4729,6.2,-1.0,776,0.0%
92,Na Sygnale,0,19894,4.5,-1.0,133,0.0%
93,Magnum Sal: Muria,0,-1,7.5,-1.0,206,0.0%
94,Luftwaffe: The Game of Aerial Combat Over Germany 1943-45,0,14626,5.6,-1.0,857,0.0%
95,JAMES BOND 007 Agenttipeli,0,-1,3.8,-1.0,14,0.0%
96,Hakkaa Päälle!: ASL Module 14,0,-1,8.3,-1.0,98,0.0%
97,ESSEN The Game: SPIEL'13,0,4096,6.7,-1.0,416,0.0%
98,ESSEN the Game: Goodies,0,-1,6.5,-1.0,30,0.0%
99,Eclipse: Supernova,0,-1,7.5,-1.0,1018,0.0%
100,Eclipse: Rise of the Ancients,0,-1,8.4,-1.0,3631,0.0%
101,Eclipse: Pulsar,0,-1,7.7,-1.0,695,0.0%
102,Eclipse,0,51,7.9,9.0,26127,0.0%
103,The Eagle and The Star,0,5843,7.6,-1.0,111,0.0%
104,Decision at Elst: An Advanced Squad Leader Starter Kit Historical Module,0,4135,8.5,-1.0,177,0.0%
105,Counties of England,0,-1,3.0,-1.0,1,0.0%
106,Colonial Diplomacy,0,4770,6.6,-1.0,379,0.0%
107,Beyond Valor: ASL Module 1,0,-1,8.6,-1.0,1162,0.0%
108,Beyond the Beaches: ASL Starter Kit Bonus Pack #1,0,-1,7.8,7.0,188,0.0%
109,Agricola: NL-Deck,0,-1,7.2,-1.0,373,0.0%
110,Advanced Squad Leader: Starter Kit #3,0,1153,8.0,-1.0,1006,0.0%
111,7 Wonders: Leaders – Stevie,0,-1,6.9,-1.0,1044,0.0%
112,7 Wonders: Leaders – Louis,0,-1,7.0,-1.0,921,0.0%
