,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,One Night Ultimate Werewolf,135,413,7.1,7.0,21419,99.9%
1,The Resistance: Avalon,131,131,7.6,10.0,27053,99.9%
2,Through the Ages: A New Story of Civilization,86,6,8.4,10.0,22963,99.9%
3,Agricola: All Creatures Big and Small,52,279,7.4,8.0,12301,99.9%
4,Codenames,44,93,7.6,8.0,67424,99.9%
5,Splendor,33,167,7.5,7.0,58499,99.9%
6,Race for the Galaxy,32,59,7.8,7.0,46293,99.9%
7,Crokinole,32,66,7.9,6.0,12136,99.9%
8,Mage Knight Board Game,21,26,8.1,9.0,27775,99.2%
9,Coloretto,20,542,7.0,7.0,17960,99.0%
10,Azul,20,50,7.8,7.0,53207,99.0%
11,Roll for the Galaxy,19,94,7.7,7.0,26342,98.7%
12,Glory to Rome,19,200,7.5,7.0,12957,98.7%
13,Biblios,18,366,7.2,7.0,14969,98.4%
14,Agricola,18,31,7.9,8.0,63367,98.4%
15,Gulo Gulo,17,1311,6.8,7.0,2753,98.0%
16,For Sale,17,301,7.2,7.0,23815,98.0%
17,YINSH,16,189,7.7,7.0,7320,97.4%
18,Animal Upon Animal,16,908,6.8,6.0,7101,97.4%
19,7 Wonders Duel,16,17,8.1,8.0,59932,97.4%
20,The Castles of Burgundy,15,15,8.1,8.0,46330,96.8%
21,Spyfall,14,639,6.9,7.0,18191,96.0%
22,Cosmic Encounter,14,144,7.5,9.0,27327,96.0%
23,Terra Mystica,13,16,8.1,8.0,39166,94.9%
24,Tash-Kalar: Arena of Legends,13,563,7.2,8.0,6054,94.9%
25,Santiago,12,700,7.1,8.0,4817,93.6%
26,Railways of the World,12,128,7.7,8.0,11028,93.6%
27,Las Vegas,12,502,7.1,7.0,9208,93.6%
28,Dungeon Petz,12,208,7.5,9.0,12668,93.6%
29,Tak,11,809,7.7,8.0,2064,92.0%
30,Scoville,11,657,7.2,7.0,4756,92.0%
31,Puerto Rico (with two expansions),11,-1,8.5,8.0,4448,92.0%
32,Blokus,11,646,6.9,6.0,22840,92.0%
33,Rhino Hero,10,722,6.9,6.0,8330,90.0%
34,Ginkgopolis,10,412,7.4,8.0,4963,90.0%
35,Finca,10,636,7.1,7.0,6811,90.0%
36,Dominant Species,10,64,7.8,8.0,17989,90.0%
37,Wits & Wagers,9,622,6.9,6.0,13343,87.4%
38,Spirit Island,9,13,8.3,8.0,25448,87.4%
39,Taluva,8,507,7.2,8.0,7779,84.1%
40,Hive,8,246,7.3,7.0,29494,84.1%
41,Gloomhaven,8,1,8.8,5.0,41815,84.1%
42,Galaxy Trucker,8,191,7.4,7.0,29437,84.1%
43,Chicago Express,8,453,7.2,9.0,7392,84.1%
44,Caverna: The Cave Farmers,8,30,8.0,7.0,28040,84.1%
45,Carson City: Big Box,8,-1,8.1,8.0,1602,84.1%
46,Carcassonne,8,181,7.4,7.0,101546,84.1%
47,At the Gates of Loyang,8,296,7.4,7.0,9745,84.1%
48,TZAAR,7,425,7.7,7.0,3215,80.0%
49,Time's Up! Title Recall!,7,408,7.7,7.0,3114,80.0%
50,Nexus Ops,7,454,7.2,6.0,8480,80.0%
51,New Frontiers,7,683,7.6,7.0,2177,80.0%
52,Glass Road,7,270,7.4,7.0,9013,80.0%
53,Concordia,7,18,8.1,8.0,27940,80.0%
54,China,7,860,7.0,7.0,4330,80.0%
55,Animals on Board,7,2075,6.6,7.0,1903,80.0%
56,ZÈRTZ,6,653,7.3,8.0,3909,74.8%
57,Viva Topo!,6,2107,6.8,5.0,1238,74.8%
58,New Haven,6,4575,6.5,7.0,433,74.8%
59,Kraftwagen,6,1002,7.3,8.0,2083,74.8%
60,Ca$h 'n Guns (Second Edition),6,688,6.9,7.0,12597,74.8%
