,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Wizard,90,759,6.9,10.0,8341,99.9%
1,Age of Steam,63,118,7.8,8.0,8840,99.9%
2,Race for the Galaxy,55,59,7.8,10.0,46293,99.9%
3,Tichu,43,170,7.6,3.0,13267,99.9%
4,Ra: The Dice Game,40,1447,6.8,9.0,2446,99.9%
5,Notre Dame,39,289,7.3,10.0,12221,99.9%
6,Ra,29,177,7.5,10.0,19077,99.8%
7,Attika,27,746,7.0,10.0,6328,99.8%
8,The Castles of Burgundy,24,15,8.1,9.0,46330,99.6%
9,Goa,23,180,7.6,8.5,10921,99.4%
10,Agricola,23,31,7.9,8.0,63367,99.4%
11,Puerto Rico,21,28,8.0,10.0,63032,99.2%
12,DVONN,21,472,7.4,10.0,4440,99.2%
13,Tigris & Euphrates,18,92,7.7,10.0,25297,98.4%
14,Thurn and Taxis,18,428,7.1,8.0,18091,98.4%
15,Gyges,17,4677,6.7,9.0,355,98.0%
16,Macao,15,328,7.4,8.0,6953,96.8%
17,Ingenious,15,426,7.1,8.0,15617,96.8%
18,Brass: Lancashire,15,19,8.2,9.0,19333,96.8%
19,Santiago,14,700,7.1,8.0,4817,96.0%
20,Le Havre,14,47,7.9,8.5,26395,96.0%
21,Egizia,14,404,7.4,9.0,5126,96.0%
22,DOG,14,3050,6.4,7.5,1370,96.0%
23,TZAAR,13,425,7.7,10.0,3215,94.9%
24,Yspahan,12,576,7.1,8.0,7744,93.6%
25,Antiquity,12,239,7.9,8.0,3825,93.6%
26,Power Grid,11,39,7.9,9.0,56129,92.0%
27,The Mind,11,618,6.9,-1.0,19186,92.0%
28,Medici,11,537,7.1,8.5,7133,92.0%
29,Louis XIV,11,711,7.1,8.5,5339,92.0%
30,Caylus,11,75,7.8,10.0,26766,92.0%
31,1889: History of Shikoku Railways,11,889,8.0,-1.0,1138,92.0%
32,1848: Australia,11,3557,8.0,-1.0,217,92.0%
33,Kingdom Builder,10,545,7.0,8.0,19618,90.0%
34,Keyflower,10,72,7.8,10.0,18952,90.0%
35,China,10,860,7.0,8.0,4330,90.0%
36,Blokus,10,646,6.9,8.5,22840,90.0%
