,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Dominion,203,98,7.6,10.0,77920,100.0%
1,Dixit,167,278,7.3,8.0,50499,100.0%
2,The Castles of Burgundy,164,15,8.1,10.0,46330,100.0%
3,Lost Cities,156,322,7.2,8.0,37164,99.9%
4,Yspahan,111,576,7.1,8.0,7744,99.9%
5,Can't Stop,96,739,6.8,6.0,13213,99.9%
6,Stone Age,89,111,7.6,6.0,44874,99.9%
7,Roll Through the Ages: The Bronze Age,70,712,6.9,6.0,11484,99.9%
8,En Garde,67,2485,6.5,8.0,1576,99.9%
9,To Court the King,50,1806,6.5,6.0,3870,99.9%
10,R-Eco,50,1876,6.6,6.0,2116,99.9%
11,Shanghaien,48,2670,6.6,6.0,1213,99.9%
12,Zooloretto: The Dice Game,44,2512,6.4,6.0,1842,99.9%
13,Codenames,41,93,7.6,8.0,67424,99.9%
14,Balloon Cup,40,1143,6.7,8.0,5751,99.9%
15,Rattus,38,1020,6.8,8.0,5669,99.9%
16,Guildhall,31,1006,6.9,6.0,3911,99.9%
17,Qwixx,29,764,6.9,6.0,9443,99.8%
18,Crokinole,28,66,7.9,8.0,12136,99.8%
19,Ticket to Ride,26,174,7.4,8.0,71408,99.7%
20,Targi,26,123,7.6,8.0,14453,99.7%
21,Call to Glory,26,4095,6.5,6.0,536,99.7%
22,Time's Up! Title Recall!,25,408,7.7,10.0,3114,99.6%
23,Telestrations,25,258,7.4,6.0,12793,99.6%
24,König von Siam,23,1351,6.9,6.0,2158,99.4%
25,Las Vegas,22,502,7.1,6.0,9208,99.3%
26,Carcassonne,21,181,7.4,8.0,101546,99.2%
27,Hanabi,18,391,7.1,8.0,38808,98.4%
28,Würfel Bohnanza,17,1880,6.7,6.0,1983,98.0%
29,Loopin' Louie,17,922,6.8,6.0,8390,98.0%
30,Kingdom Builder,16,545,7.0,8.0,19618,97.4%
31,Age of Steam,16,118,7.8,8.0,8840,97.4%
32,San Juan,15,293,7.3,8.0,22214,96.8%
33,Le Passe-Trappe Grande,14,6405,7.0,6.0,134,96.0%
34,Kamisado,14,1409,6.9,6.0,2115,96.0%
35,Diamant,14,718,6.8,6.0,17037,96.0%
36,Ticket to Ride: Switzerland,13,-1,7.5,6.0,4602,94.9%
37,Red7,13,657,6.9,6.0,12645,94.9%
38,The Resistance,12,267,7.3,6.0,35861,93.6%
39,Machi Koro,12,987,6.6,6.0,26165,93.6%
40,Scrabble,11,1807,6.3,8.0,26658,92.0%
41,Forbidden Island,11,721,6.8,6.0,41883,92.0%
42,Chronology,11,3517,6.5,6.0,822,92.0%
43,Five Tribes,10,65,7.8,8.0,32178,90.0%
44,Star Realms,9,115,7.6,8.0,35855,87.4%
45,The Game,8,1013,6.7,8.0,8452,84.1%
46,Decrypto,8,104,7.8,10.0,11595,84.1%
47,Coloretto,8,542,7.0,6.0,17960,84.1%
48,Qwinto,7,1105,7.1,6.0,2480,80.0%
49,Ticket to Ride: Nordic Countries,6,154,7.6,8.0,11593,74.8%
50,Ticket to Ride: Europe,6,119,7.5,8.0,58364,74.8%
51,Paris Connection,6,1518,6.7,6.0,2448,74.8%
52,Pairs,6,2578,6.4,6.0,2064,74.8%
53,Loony Quest,6,843,6.9,6.0,5492,74.8%
54,Wildlife Safari,6,1603,6.6,6.0,2802,74.8%
55,Nine Tiles Panic,5,2447,7.1,6.0,732,68.3%
56,Love Letter,5,282,7.2,6.0,55827,68.3%
57,Just One,5,163,7.6,6.0,11621,68.3%
58,Circle the Wagons,5,1150,7.2,6.0,1920,68.3%
59,Bohnanza,5,450,7.0,6.0,38186,68.3%
60,Schotten Totten,4,394,7.3,8.0,7585,60.1%
61,Patchwork,4,88,7.7,8.0,46298,60.1%
62,Neue Heimat,4,1974,7.3,6.0,777,60.1%
63,Expedition,4,2237,6.8,8.0,1086,60.1%
64,The Mind,4,618,6.9,6.0,19186,60.1%
65,Haggis,4,929,7.0,8.0,3910,60.1%
66,Fluxx,4,8877,5.7,6.0,15803,60.1%
67,A Fake Artist Goes to New York,4,656,7.2,6.0,4768,60.1%
68,Codenames: Pictures,4,319,7.3,8.0,16964,60.1%
69,Codenames: Duet,4,160,7.6,6.0,13865,60.1%
70,6 nimmt!,4,597,6.9,6.0,20527,60.1%
71,Timeline: Music & Cinema,3,1395,6.8,8.0,3081,49.8%
72,Stick 'Em,3,1012,7.0,8.0,2921,49.8%
73,Startups,3,1388,7.1,6.0,1653,49.8%
74,Rolling Japan,3,5008,6.2,6.0,514,49.8%
75,BraveRats,3,2202,6.5,6.0,2156,49.8%
76,Quiddler,3,3396,6.1,6.0,3109,49.8%
77,Level X,3,4673,6.3,6.0,561,49.8%
78,Kingdomino,3,217,7.4,6.0,32067,49.8%
79,High Society,3,566,7.1,6.0,8875,49.8%
80,Escape from the Aliens in Outer Space,3,1022,6.9,6.0,3864,49.8%
81,Doodle City,3,3776,6.3,6.0,813,49.8%
82,Blueprints,3,944,6.8,6.0,6126,49.8%
83,Friday the 13th,3,1852,6.4,6.0,3784,49.8%
84,11 nimmt!,3,3057,6.3,6.0,1462,49.8%
85,Word Slam,2,2242,7.0,8.0,896,36.9%
86,That's Pretty Clever!,2,130,7.6,6.0,14225,36.9%
87,Sluff Off!,2,1407,6.9,8.0,2257,36.9%
88,Qwixx gemixxt,2,-1,6.7,6.0,604,36.9%
89,Point Salad,2,384,7.3,6.0,7896,36.9%
90,Perudo,2,684,6.9,6.0,12572,36.9%
