,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,That's Pretty Clever!,67,130,7.6,9.0,14225,99.9%
1,Smash Up,43,865,6.8,7.0,23563,99.9%
2,Warhammer Age of Sigmar (Second Edition),38,4795,7.8,10.0,155,99.9%
3,Warhammer Underworlds: Nightvault,35,1473,7.9,8.0,811,99.9%
4,Perudo,35,684,6.9,8.0,12572,99.9%
5,NMBR 9,34,869,6.9,-1.0,5682,99.9%
6,Dream Home,33,906,6.9,7.0,5505,99.9%
7,Unusual Suspects,29,2204,6.4,6.0,2370,99.8%
8,Chess,29,439,7.1,9.0,28655,99.8%
9,Red7,28,657,6.9,7.0,12645,99.8%
10,Okiya,28,2211,6.6,7.0,1743,99.8%
11,Stone Age,26,111,7.6,8.0,44874,99.7%
12,Ascension: Deckbuilding Game,25,598,7.0,10.0,11777,99.6%
13,Hive,24,246,7.3,8.0,29494,99.6%
14,7 Wonders,23,60,7.8,9.0,84104,99.4%
15,UNO,22,20170,5.4,7.0,21129,99.3%
16,Quarto,20,956,6.9,9.0,5849,99.0%
17,Arkham Horror: The Card Game,20,22,8.2,8.0,28406,99.0%
18,Summoner Wars: Master Set,19,226,7.5,7.5,10344,98.7%
19,Splendor,18,167,7.5,8.0,58499,98.4%
20,Pandemic,18,99,7.6,10.0,101865,98.4%
21,Onirim (Second Edition),18,580,7.1,8.0,8087,98.4%
22,Rummy,16,6791,5.8,6.0,1448,97.4%
23,The Little Prince: Make Me a Planet,16,1097,6.9,7.0,3455,97.4%
24,Dixit,15,278,7.3,8.0,50499,96.8%
25,Roam,14,1085,7.5,8.0,1488,96.0%
26,The Lord of the Rings: The Card Game,14,129,7.6,8.0,20755,96.0%
27,Pandemic Legacy: Season 2,12,35,8.2,9.0,12031,93.6%
28,Fairy Tale,12,970,6.7,7.0,8457,93.6%
29,Cartographers,12,122,7.8,8.5,10489,93.6%
30,Malifaux (Second Edition),11,2438,8.1,5.0,408,92.0%
31,Kingdomino,11,217,7.4,7.0,32067,92.0%
32,Ghost Stories,11,275,7.3,8.0,19378,92.0%
33,Friday,11,413,7.1,7.0,16438,92.0%
34,Codenames,10,93,7.6,7.0,67424,90.0%
35,Blood Bowl (2016 Edition),10,471,8.1,7.0,2215,90.0%
36,Tzolk'in: The Mayan Calendar,9,40,7.9,8.0,30663,87.4%
37,Tanto Cuore,9,1736,6.9,8.0,1902,87.4%
38,Tales & Games: The Hare & the Tortoise,9,850,7.1,6.5,3635,87.4%
39,Star Realms,9,115,7.6,8.0,35855,87.4%
40,Patchwork,9,88,7.7,7.0,46298,87.4%
41,Clank!: A Deck-Building Adventure,9,63,7.8,8.0,27731,87.4%
42,Caverna: The Cave Farmers,9,30,8.0,8.0,28040,87.4%
43,Ascension: Storm of Souls,9,710,7.3,7.0,3375,87.4%
44,Orléans,8,25,8.1,9.0,22110,84.1%
45,Mate,8,10961,6.7,6.0,53,84.1%
46,K2,8,568,7.1,7.5,9050,84.1%
47,Hyperborea,8,678,7.2,8.5,4379,84.1%
48,GOSU,8,1988,6.5,8.0,2499,84.1%
49,Dragon Castle,8,575,7.2,9.0,5593,84.1%
50,Seikatsu,7,1731,7.2,9.0,1178,80.0%
51,Saint Petersburg,7,303,7.3,8.0,14518,80.0%
52,Quarriors!,7,886,6.8,8.0,13141,80.0%
53,Puerto Rico,7,28,8.0,8.0,63032,80.0%
54,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,7,1676,6.5,8.0,5536,80.0%
55,Dream On!,7,5022,6.8,7.0,296,80.0%
56,Small World,6,255,7.3,8.0,61593,74.8%
57,Pandemic Legacy: Season 1,6,2,8.6,9.0,41490,74.8%
58,Middle-earth,6,1220,7.3,9.0,1860,74.8%
59,Kaleidos,6,2949,6.7,7.0,799,74.8%
60,Historia,6,1383,6.9,7.5,2244,74.8%
61,Evo (Second Edition),6,1360,7.0,7.0,2119,74.8%
62,Dead Man's Draw,6,1092,6.9,8.0,4451,74.8%
63,Cryptid,6,272,7.5,9.0,7446,74.8%
64,Coal Baron,6,583,7.3,9.0,4295,74.8%
65,Blood Bowl (Third Edition),6,378,7.5,9.0,5260,74.8%
66,Azul,6,50,7.8,7.5,53207,74.8%
67,Arkham Horror: The Card Game – The Dunwich Legacy: Expansion,6,-1,8.5,8.0,2759,74.8%
68,Villages of Valeria,5,1060,7.1,8.0,2758,68.3%
69,Trajan,5,95,7.8,7.5,14678,68.3%
70,Ticket to Ride: Europe,5,119,7.5,7.0,58364,68.3%
71,Through the Ages: A New Story of Civilization,5,6,8.4,10.0,22963,68.3%
72,Terraforming Mars,5,4,8.4,8.0,64485,68.3%
73,Santorini,5,166,7.5,8.0,27705,68.3%
74,Russian Railroads,5,90,7.8,9.0,14806,68.3%
75,One Deck Dungeon,5,636,7.1,7.0,7994,68.3%
76,Noctiluca,5,1958,7.1,8.0,974,68.3%
