,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Star Realms,201,115,7.6,7.5,35855,100.0%
1,Dominion,167,98,7.6,7.0,77920,100.0%
2,Pandemic,147,99,7.6,6.5,101865,99.9%
3,Fluxx,136,8877,5.7,6.5,15803,99.9%
4,Codenames,131,93,7.6,7.5,67424,99.9%
5,Magic: The Gathering,122,158,7.5,6.0,32365,99.9%
6,Dominion: Prosperity,117,-1,8.3,7.5,13433,99.9%
7,Dominion: Intrigue,113,84,7.7,7.0,30066,99.9%
8,Carcassonne,108,181,7.4,6.0,101546,99.9%
9,Pandemic: In the Lab,106,-1,7.9,7.0,4736,99.9%
10,Star Realms: Crisis – Events,104,-1,7.1,6.5,1933,99.9%
11,Dominion: Hinterlands,103,-1,8.0,7.0,5757,99.9%
12,Star Realms: Crisis – Fleets & Fortresses,102,-1,7.7,7.0,1845,99.9%
13,Star Realms: Colony Wars,102,164,7.9,6.0,6040,99.9%
14,Roll Through the Ages: The Bronze Age,102,712,6.9,7.0,11484,99.9%
15,Pandemic: On the Brink,101,-1,8.1,7.0,16131,99.9%
16,Star Realms: Crisis – Heroes,100,-1,7.0,6.5,1894,99.9%
17,Star Realms: Crisis – Bases & Battleships,100,-1,7.7,7.0,2005,99.9%
18,Dominion: Adventures,99,-1,8.2,7.5,2594,99.9%
19,Ticket to Ride: Europe,97,119,7.5,7.0,58364,99.9%
20,Pandemic: State of Emergency,88,-1,7.6,7.0,1478,99.9%
21,Kingdom Builder,86,545,7.0,8.0,19618,99.9%
22,Dominion: Seaside,86,-1,8.0,7.0,14447,99.9%
23,King of Tokyo,84,313,7.2,7.0,57483,99.9%
24,Ticket to Ride: Europa 1912,83,-1,7.6,6.0,4752,99.9%
25,Pirate Fluxx,82,3218,6.2,6.5,2469,99.9%
26,Alhambra: Big Box,78,-1,7.5,7.0,4193,99.9%
27,Lords of Waterdeep,77,71,7.8,7.0,45819,99.9%
28,Codenames: Pictures,76,319,7.3,7.5,16964,99.9%
29,Splendor,71,167,7.5,7.0,58499,99.9%
30,Kingdom Builder: Nomads,69,-1,7.4,7.0,2173,99.9%
31,Firefly: The Game,59,343,7.4,8.0,10507,99.9%
32,Carcassonne: Expansion 1 – Inns & Cathedrals,59,-1,7.6,6.5,19773,99.9%
33,Ticket to Ride,52,174,7.4,6.5,71408,99.9%
34,Nexus Ops,52,454,7.2,9.0,8480,99.9%
35,Love Letter,51,282,7.2,7.0,55827,99.9%
36,Firefly: The Game – Wash's Lucky Dinosaurs Promo Card,51,-1,7.6,6.0,297,99.9%
37,Lords of Waterdeep: Scoundrels of Skullport,49,-1,8.2,7.0,11442,99.9%
38,Star Realms: The Ark Promo Card,42,-1,7.3,-1.0,96,99.9%
39,Star Realms: Starmarket Promo Card,42,-1,7.3,-1.0,94,99.9%
40,Firefly: The Game – Breakin' Atmo,42,-1,7.8,7.0,1643,99.9%
41,The Resistance,41,267,7.3,6.5,35861,99.9%
42,Connect 4x4,40,13524,5.8,5.5,136,99.9%
43,Firefly: The Game – Blue Sun,38,-1,8.1,7.5,1523,99.9%
44,Ticket to Ride: USA 1910,37,-1,8.0,6.0,10064,99.9%
45,Star Realms: Frontiers,36,359,8.0,7.0,2614,99.9%
46,Star Realms: Promo Pack I,35,-1,7.8,-1.0,403,99.9%
47,Blueprints,35,944,6.8,7.0,6126,99.9%
48,Star Realms: Command Deck – The Pact,34,-1,7.7,7.0,196,99.9%
49,Dixit,34,278,7.3,7.0,50499,99.9%
50,Star Realms: Scenarios,33,-1,7.7,-1.0,257,99.9%
51,Cacao,32,555,7.1,7.0,8276,99.9%
52,Lost Cities,30,322,7.2,7.0,37164,99.9%
53,King of Tokyo: Power Up!,29,-1,7.6,7.0,10407,99.8%
54,Legendary Encounters: An Alien Deck Building Game,28,113,7.8,6.5,11204,99.8%
55,Concept,27,756,6.8,7.0,15389,99.8%
56,Firefly: The Game – Kalidasa,26,-1,8.2,7.0,941,99.7%
57,Firefly Fluxx,26,2767,6.7,6.5,1062,99.7%
58,Virus the Card Game,24,18534,4.7,6.0,35,99.6%
59,Splendor: Cities of Splendor,21,-1,7.4,-1.0,3010,99.2%
60,Chemistry Fluxx,20,6544,6.3,6.0,301,99.0%
61,Takenoko,19,280,7.3,7.0,35084,98.7%
62,Honshū,19,896,7.0,7.0,4301,98.7%
63,Star Realms: United – Command,18,-1,7.8,-1.0,433,98.4%
64,Star Realms: United – Assault,18,-1,7.8,-1.0,440,98.4%
65,Star Realms: Stellar Allies Pack,18,-1,7.9,-1.0,133,98.4%
66,Star Realms: United – Heroes,17,-1,7.3,-1.0,436,98.0%
67,Istanbul,17,117,7.6,7.0,25157,98.0%
68,Ginkgopolis,17,412,7.4,7.0,4963,98.0%
69,Dominion: Walled Village Promo Card,17,-1,7.5,7.0,1418,98.0%
70,"Dixit: ""The Dragon"" Promo Card",15,-1,7.7,7.0,153,96.8%
71,Star Realms: United – Missions,13,-1,7.3,-1.0,415,94.9%
72,Dixit: Daydreams,13,-1,7.7,7.0,2008,94.9%
73,7 Wonders Duel,13,17,8.1,6.5,59932,94.9%
74,Scrabble,12,1807,6.3,6.0,26658,93.6%
75,Star Realms: Frontiers – Kickstarter Promos,11,-1,7.6,-1.0,87,92.0%
76,Star Realms: Command Deck – The Alliance,11,-1,7.6,-1.0,207,92.0%
77,Samurai: The Card Game,11,5176,6.3,7.0,454,92.0%
78,King of Tokyo: Halloween,11,-1,7.2,7.0,4476,92.0%
79,Gloom,11,1776,6.3,7.0,13569,92.0%
80,Dixit: Quest,11,-1,7.7,7.0,6616,92.0%
81,Dixit: Odyssey (expansion),11,-1,7.6,7.0,743,92.0%
82,Castle Panic,11,1033,6.7,6.0,14252,92.0%
83,Revolution!,10,1289,6.7,7.5,4098,90.0%
84,Star Realms: Command Deck – The Coalition,9,-1,7.7,7.0,199,87.4%
85,Qwirkle,9,796,6.8,6.0,16075,87.4%
86,"Dixit: Odyssey – ""Bunny"" Promo Card",9,-1,7.3,7.0,367,87.4%
87,Dixit: 2012 Asmodee Special Cards,9,-1,7.5,7.0,330,87.4%
88,UNO,8,20170,5.4,5.5,21129,84.1%
89,Star Realms: Command Deck – The Union,8,-1,7.7,-1.0,189,84.1%
90,Azul,8,50,7.8,7.0,53207,84.1%
91,Small World,6,255,7.3,6.0,61593,74.8%
92,Scotland Yard,6,1259,6.5,5.5,14291,74.8%
93,Pandemic: Contagion,6,1985,6.4,7.5,3094,74.8%
94,Star Realms: Command Deck – The Alignment,5,-1,7.6,-1.0,207,68.3%
95,My First Rummikub,5,18123,5.2,4.0,62,68.3%
96,Lord of the Rings: The Confrontation,5,533,7.2,7.0,6534,68.3%
97,Jenga,5,10810,5.6,5.0,11678,68.3%
98,Dixit: Origins,5,-1,7.8,7.0,2316,68.3%
99,Battle Line,5,224,7.4,6.5,15624,68.3%
100,Tzolk'in: The Mayan Calendar,4,40,7.9,7.0,30663,60.1%
101,Gloom: Unhappy Homes,4,-1,6.6,7.0,1489,60.1%
102,Dungeon Mayhem,4,1940,7.0,7.0,1500,60.1%
103,Castle Panic: The Wizard's Tower,4,-1,7.5,7.0,3213,60.1%
104,At the Gates of Loyang,4,296,7.4,7.0,9745,60.1%
105,Tides of Time,3,1135,6.7,6.0,6670,49.8%
106,Star Realms: Command Deck – The Unity,3,-1,7.7,-1.0,201,49.8%
107,Space Empires: 4X,3,492,7.7,7.5,3020,49.8%
108,Revolution! The Palace,3,-1,7.3,7.0,482,49.8%
109,Kahuna,3,1127,6.6,6.0,8402,49.8%
110,Firefly: The Game – Pirates & Bounty Hunters,3,-1,7.8,5.5,1609,49.8%
111,Firefly: The Game – Esmeralda,3,-1,7.8,5.0,623,49.8%
112,Dominion: Intrigue – Update Pack,3,-1,8.1,6.0,376,49.8%
113,Cards Against Humanity: Third Expansion,3,-1,6.7,6.5,1631,49.8%
114,"Cards Against Humanity: The Bigger, Blacker Box",3,-1,6.6,6.5,1100,49.8%
115,Cards Against Humanity: Second Expansion,3,-1,6.7,6.5,2173,49.8%
116,Cards Against Humanity: Reject Pack,3,-1,6.1,6.5,105,49.8%
117,Cards Against Humanity: House of Cards Pack,3,-1,6.0,6.5,64,49.8%
118,Cards Against Humanity: Fourth Expansion,3,-1,6.7,6.5,1173,49.8%
119,Cards Against Humanity: First Expansion,3,-1,6.6,6.5,2693,49.8%
120,Cards Against Humanity: Fifth Expansion,3,-1,6.8,6.5,759,49.8%
121,Cards Against Humanity: 90s Nostalgia Pack,3,-1,6.8,6.5,552,49.8%
122,Cards Against Humanity: 12 Days of Holiday Bullshit,3,-1,6.7,6.5,453,49.8%
123,Cards Against Humanity: 2012 Holiday Pack,3,-1,6.6,6.5,714,49.8%
124,Cards Against Humanity,3,4284,5.9,6.5,23175,49.8%
125,Trains: Rising Sun,2,955,7.5,6.5,1719,36.9%
126,Sunda to Sahul,2,7753,6.0,6.0,301,36.9%
127,Star Realms: Command Deck – Lost Fleet,2,-1,7.8,-1.0,126,36.9%
128,Innovation,2,334,7.2,7.0,14811,36.9%
129,Firefly: The Game – Jetwash,2,-1,7.8,5.0,644,36.9%
130,Dominion: Update Pack,2,-1,8.1,6.0,495,36.9%
131,CO₂,2,786,7.2,5.0,3693,36.9%
132,Suspend,1,3660,6.3,5.0,1076,20.5%
133,Red7,1,657,6.9,6.5,12645,20.5%
134,Gonzaga,1,3135,6.6,7.5,830,20.5%
135,Carcassonne: The River,1,-1,7.0,3.0,9925,20.5%
136,Tzolk'in: The Mayan Calendar – Tribes & Prophecies,0,-1,8.1,-1.0,3283,0.0%
137,Traditional Card Games,0,2984,6.6,6.0,883,0.0%
138,Star Realms: Year Two Promo Cards,0,-1,7.8,-1.0,87,0.0%
139,Star Realms: Gambit Set,0,-1,7.2,-1.0,1863,0.0%
140,Star Realms: Cosmic Gambit Set,0,-1,7.3,-1.0,739,0.0%
141,Space Empires: Close Encounters,0,-1,8.3,-1.0,522,0.0%
142,Small World: Tales and Legends,0,-1,7.2,-1.0,3266,0.0%
143,Small World: Grand Dames of Small World,0,-1,7.4,-1.0,5551,0.0%
144,Caribbean,0,3366,6.2,6.0,1492,0.0%
145,Istanbul: Letters & Seals,0,-1,7.8,6.0,1166,0.0%
146,Innovation: Echoes of the Past,0,-1,7.6,-1.0,1627,0.0%
147,Gloom: Unwelcome Guests,0,-1,6.7,-1.0,1086,0.0%
148,Gloom: Unquiet Dead,0,-1,7.0,-1.0,281,0.0%
149,Gloom: Unfortunate Expeditions,0,-1,6.7,-1.0,737,0.0%
150,Epic Card Game,0,1909,6.5,-1.0,4292,0.0%
151,Dungeon Mayhem: Battle for Baldur's Gate,0,-1,7.4,-1.0,376,0.0%
152,Dominoes,0,19721,5.5,-1.0,5874,0.0%
153,Bring Your Own Book,0,2898,6.9,6.5,667,0.0%
154,Anima: Shadow of Omega,0,6888,5.8,6.5,1212,0.0%
155,6 nimmt!,0,597,6.9,-1.0,20527,0.0%
