,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Dominion,1107,98,7.6,9.0,77920,100.0%
1,Hanabi,677,391,7.1,10.0,38808,100.0%
2,Dominion: Adventures,294,-1,8.2,8.0,2594,100.0%
3,Dominion: Renaissance,290,-1,8.4,10.0,703,100.0%
4,Dominion: Hinterlands,236,-1,8.0,8.0,5757,100.0%
5,Dominion: Empires,224,-1,8.5,9.0,1822,100.0%
6,Dominion: Prosperity,206,-1,8.3,8.0,13433,100.0%
7,Dominion (Second Edition),182,234,7.9,10.0,4212,100.0%
8,Race for the Galaxy,174,59,7.8,9.0,46293,100.0%
9,Lost Cities,151,322,7.2,8.0,37164,99.9%
10,Dominion: Intrigue (Second Edition),141,-1,8.2,9.0,993,99.9%
11,Dominion: Seaside,139,-1,8.0,8.0,14447,99.9%
12,Dominion: Guilds,118,-1,7.9,9.0,2817,99.9%
13,Android: Netrunner,101,53,7.9,9.0,26700,99.9%
14,Dominion: Cornucopia,86,-1,7.7,6.0,5662,99.9%
15,Dominion: Menagerie,81,-1,8.5,8.0,312,99.9%
16,BattleCON: War of Indines,79,795,7.7,10.0,1760,99.9%
17,Dominion: Alchemy,56,-1,6.9,7.0,8092,99.9%
18,Circus Flohcati,56,1751,6.6,7.0,2542,99.9%
19,Bourré,56,16033,5.8,7.0,46,99.9%
20,Can't Stop,54,739,6.8,10.0,13213,99.9%
21,Patchwork,53,88,7.7,10.0,46298,99.9%
22,Magic: The Gathering,50,158,7.5,7.0,32365,99.9%
23,Jump Drive,50,1001,7.0,7.0,3209,99.9%
24,Strike,47,1562,6.8,7.0,2155,99.9%
25,Dominion: Intrigue,47,84,7.7,7.0,30066,99.9%
26,Tempel des Schreckens,44,1553,7.1,8.0,1446,99.9%
27,Dominion: Nocturne,43,-1,7.9,7.0,892,99.9%
28,The Game,42,1013,6.7,7.0,8452,99.9%
29,NMBR 9,38,869,6.9,7.0,5682,99.9%
30,Codenames,38,93,7.6,9.0,67424,99.9%
31,FUSE,37,645,7.1,7.0,7016,99.9%
32,Dominion: Dark Ages,34,-1,8.0,6.0,5506,99.9%
33,Insider,33,1040,7.1,8.0,2675,99.9%
34,Star Realms,32,115,7.6,6.0,35855,99.9%
35,Love Letter,32,282,7.2,7.0,55827,99.9%
36,Tumult,30,-1,7.1,8.0,9,99.9%
37,Sentinels of the Multiverse,27,398,7.2,8.0,14738,99.8%
38,Race for the Galaxy: Alien Artifacts,27,-1,7.5,-1.0,1496,99.8%
39,Fabled Fruit,27,770,7.0,8.0,5045,99.8%
40,Concordia,27,18,8.1,10.0,27940,99.8%
41,The Mind,25,618,6.9,8.0,19186,99.6%
42,Hex,25,3359,6.7,8.0,699,99.6%
43,Tac Tac Jack,20,1962,6.4,7.0,3452,99.0%
44,Take it Easy!,19,1695,6.6,9.0,2751,98.7%
45,The Resistance: Avalon,19,131,7.6,8.0,27053,98.7%
46,The Resistance,19,267,7.3,8.0,35861,98.7%
47,Go,19,171,7.6,10.0,14810,98.7%
48,Stroop,18,6532,6.4,7.0,248,98.4%
49,Kingdom Builder,18,545,7.0,7.0,19618,98.4%
50,Fuji Flush,18,1887,6.6,6.0,2348,98.4%
51,The Game of Y,17,6915,7.1,6.0,108,98.0%
52,Qwixx,15,764,6.9,7.0,9443,96.8%
53,Not Alone,15,685,7.0,9.0,7924,96.8%
54,Las Vegas,15,502,7.1,7.0,9208,96.8%
55,Splendor,14,167,7.5,7.0,58499,96.0%
56,Flash Point: Fire Rescue,14,344,7.2,7.0,20894,96.0%
57,Time's Up! Title Recall!,13,408,7.7,9.0,3114,94.9%
58,Roll to the Top!,13,2533,6.9,8.0,859,94.9%
59,Magic Maze,13,497,7.1,8.0,15564,94.9%
60,Linko!,13,895,7.0,7.0,4099,94.9%
61,For Sale,13,301,7.2,8.0,23815,94.9%
62,Coup,13,501,7.0,7.0,35884,94.9%
63,Spangles,12,13279,6.5,7.0,52,93.6%
64,Discoveries: The Journals of Lewis and Clark,12,762,7.1,8.0,4421,93.6%
65,Concept,12,756,6.8,8.0,15389,93.6%
66,6 nimmt!,12,597,6.9,6.0,20527,93.6%
67,Traders of Osaka,11,1198,6.8,-1.0,3208,92.0%
68,Embers of Memory: A Throne of Glass Game,11,12250,6.7,-1.0,48,92.0%
69,Deception: Murder in Hong Kong,11,191,7.5,8.0,15932,92.0%
70,Antike Duellum,11,1405,7.1,9.0,1631,92.0%
71,Catan Card Game,10,960,6.7,7.0,13003,90.0%
72,Escape: The Curse of the Temple,10,544,7.0,-1.0,15459,90.0%
73,Cartographers,10,122,7.8,9.0,10489,90.0%
74,Team Play,9,2876,7.0,8.0,600,87.4%
75,Tales & Games: The Hare & the Tortoise,9,850,7.1,-1.0,3635,87.4%
76,Sushi Go!,9,444,7.1,-1.0,34649,87.4%
77,Rise of Augustus,9,983,6.7,6.0,7564,87.4%
78,Onitama,9,247,7.4,-1.0,15071,87.4%
79,Oh My Goods!,9,630,7.0,-1.0,9332,87.4%
80,Eminent Domain: Microcosm,9,2629,6.5,-1.0,1469,87.4%
81,Blokus Duo,9,1008,6.8,-1.0,5093,87.4%
82,Beyond Baker Street,9,1500,6.9,8.0,1898,87.4%
83,Ticket to Ride,8,174,7.4,8.0,71408,84.1%
84,Summoner Wars: Master Set,8,226,7.5,-1.0,10344,84.1%
85,Pickomino,8,1252,6.6,7.0,8983,84.1%
86,Don't Turn Your Back,8,4637,7.0,-1.0,279,84.1%
87,Century: Spice Road,8,250,7.4,-1.0,18492,84.1%
88,World's Fair 1893,7,820,7.2,-1.0,3170,80.0%
89,No Thanks!,7,449,7.1,-1.0,20289,80.0%
90,Machi Koro,7,987,6.6,5.0,26165,80.0%
91,Kingdomino,7,217,7.4,-1.0,32067,80.0%
92,Jaipur,7,135,7.5,6.0,37008,80.0%
93,Core Worlds,7,713,7.2,-1.0,3962,80.0%
94,Xenon Profiteer,6,2007,7.2,-1.0,820,74.8%
95,Trickster: Champions of Time,6,5414,6.5,-1.0,323,74.8%
96,Spirit Island,6,13,8.3,-1.0,25448,74.8%
97,Samurai Spirit,6,1324,6.7,-1.0,4351,74.8%
98,Roll for the Galaxy,6,94,7.7,-1.0,26342,74.8%
99,Qwixx Deluxe,6,2409,7.2,-1.0,707,74.8%
100,Mascarade,6,1151,6.6,-1.0,9204,74.8%
101,Loot,6,1982,6.3,-1.0,5922,74.8%
102,Legendary: A Marvel Deck Building Game,6,175,7.6,-1.0,19734,74.8%
103,Keltis: Der Weg der Steine Mitbringspiel,6,2920,6.4,-1.0,1154,74.8%
104,Flip City,6,2164,6.3,-1.0,3630,74.8%
105,Fleet Wharfside,6,3334,6.9,-1.0,494,74.8%
106,Evil High Priest,6,4771,7.2,-1.0,232,74.8%
107,Dixit,6,278,7.3,-1.0,50499,74.8%
108,ConHex,6,4609,6.8,-1.0,313,74.8%
109,BANG! The Dice Game,6,567,7.0,-1.0,19765,74.8%
110,Andantino,6,-1,6.8,-1.0,22,74.8%
111,Agricola: All Creatures Big and Small,6,279,7.4,-1.0,12301,74.8%
112,Tides of Time,5,1135,6.7,-1.0,6670,68.3%
113,PÜNCT,5,1842,6.8,-1.0,1659,68.3%
114,Power Grid,5,39,7.9,-1.0,56129,68.3%
115,Lost Cities: Rivals,5,2465,6.8,-1.0,995,68.3%
116,Letter Jam,5,881,7.3,-1.0,2368,68.3%
117,Keltis: Das Kartenspiel,5,2084,6.7,-1.0,1573,68.3%
118,Gold West,5,781,7.4,-1.0,2348,68.3%
119,Codex: Card-Time Strategy – Deluxe Set,5,1232,8.1,-1.0,963,68.3%
120,Celestia,5,689,7.0,-1.0,8356,68.3%
121,Camel Up,5,477,7.0,-1.0,22756,68.3%
122,Bohnanza,5,450,7.0,-1.0,38186,68.3%
123,Between Two Cities,5,588,7.0,-1.0,9466,68.3%
124,Aeon's End,5,70,8.0,-1.0,10796,68.3%
125,Urbion,4,2454,6.9,-1.0,886,60.1%
126,Temporum,4,3366,6.4,-1.0,1002,60.1%
127,Rhino Hero,4,722,6.9,-1.0,8330,60.1%
128,Small World,4,255,7.3,-1.0,61593,60.1%
129,SET,4,1438,6.5,7.0,10813,60.1%
130,Race for the Galaxy: The Gathering Storm,4,-1,8.1,-1.0,9575,60.1%
131,The Princes of Florence,4,182,7.5,10.0,14549,60.1%
132,Pit Crew,4,4099,6.5,-1.0,561,60.1%
133,Patronize,4,6589,6.1,-1.0,368,60.1%
134,Lost Cities: The Board Game,4,1178,6.8,-1.0,3857,60.1%
