,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Dominion,451,98,7.6,10.0,77920,100.0%
1,StreetSoccer,56,2380,6.5,9.0,1593,99.9%
2,Commands & Colors: Ancients,54,142,7.8,10.0,7975,99.9%
3,Up Front,51,552,7.9,10.0,2154,99.9%
4,Race for the Galaxy,51,59,7.8,10.0,46293,99.9%
5,Wrasslin',50,7884,5.9,8.0,380,99.9%
6,Magic: The Gathering,50,158,7.5,7.5,32365,99.9%
7,The Napoleonic Wars (Second Edition),41,1754,7.5,9.0,874,99.9%
8,Through the Ages: A New Story of Civilization,35,6,8.4,10.0,22963,99.9%
9,Backgammon,35,1277,6.5,10.0,11651,99.9%
10,1830: Railways & Robber Barons,30,196,7.9,10.0,4680,99.9%
11,Can't Stop,27,739,6.8,8.0,13213,99.8%
12,Catan,25,395,7.2,7.0,101212,99.6%
13,DungeonQuest,22,1657,6.7,7.5,2655,99.3%
14,Arkham Horror,20,333,7.3,9.0,36754,99.0%
15,Enemy in Sight,19,4517,6.2,7.0,655,98.7%
16,Memoir '44,18,138,7.6,9.0,25667,98.4%
17,Battle Cry,16,849,7.2,9.0,3422,97.4%
18,Fluxx,14,8877,5.7,7.5,15803,96.0%
19,Elder Sign,13,548,7.0,9.0,22122,94.9%
20,We the People,12,1578,7.3,8.0,1118,93.6%
21,Magic Realm,11,1247,7.2,10.0,1976,92.0%
22,Eldritch Horror,11,82,7.8,10.0,29279,92.0%
23,Civilization,11,312,7.5,9.0,7103,92.0%
24,Trax,10,4265,6.5,-1.0,531,90.0%
25,Falling,10,18330,5.5,7.0,1381,90.0%
26,Air Baron,10,3956,6.4,8.0,750,90.0%
27,Advanced Civilization,10,-1,8.0,8.0,3206,90.0%
28,No Thanks!,9,449,7.1,7.0,20289,87.4%
29,Wizard's Quest,8,3788,6.2,6.0,1412,84.1%
30,Coyote,7,2352,6.6,7.5,1360,80.0%
31,Spank the Monkey,6,5406,5.9,7.0,1406,74.8%
32,Wings of War: Watch Your Back!,5,1547,7.0,-1.0,1765,68.3%
33,Tally Ho!,5,2995,6.1,8.0,2713,68.3%
34,Risk 2210 A.D.,5,1290,6.7,8.0,6692,68.3%
35,A House Divided: War Between the States 1861-65,5,1313,7.1,8.0,1910,68.3%
36,Elfenland,5,1036,6.7,6.0,8062,68.3%
37,The 7th Continent,5,32,8.2,9.0,16777,68.3%
38,Turning Point: Stalingrad,4,2366,7.3,8.0,704,60.1%
39,Talisman,4,2256,6.4,8.0,5116,60.1%
40,Roll for the Galaxy,4,94,7.7,9.0,26342,60.1%
41,Mansions of Madness: Second Edition,4,33,8.1,9.0,24995,60.1%
42,King Up!,4,2478,6.4,7.7,2084,60.1%
43,Galaxy Trucker,4,191,7.4,7.0,29437,60.1%
44,Cosmic Encounter,4,144,7.5,10.0,27327,60.1%
45,Battlestar Galactica: The Board Game,4,81,7.7,9.0,32861,60.1%
46,Amphipolis,4,9974,6.2,7.0,131,60.1%
47,Alibi,4,18998,5.5,5.0,689,60.1%
48,Twilight Struggle,3,10,8.3,9.0,40694,49.8%
49,Trendy,3,5097,6.2,6.0,522,49.8%
50,Terraforming Mars,3,4,8.4,8.0,64485,49.8%
51,Streetcar,3,2635,6.5,5.0,1480,49.8%
52,Robinson Crusoe: Adventures on the Cursed Island,3,54,7.8,9.0,34031,49.8%
53,The Republic of Rome,3,494,7.5,9.0,3922,49.8%
54,PitchCar,3,386,7.3,8.0,9625,49.8%
55,Galaxy: The Dark Ages,3,4708,6.3,-1.0,585,49.8%
56,Combat Commander: Europe,3,156,7.9,10.0,5376,49.8%
57,Circus Maximus,3,2061,6.7,6.0,1579,49.8%
58,Black Orchestra,3,451,7.5,8.0,4224,49.8%
59,Bios:Genesis,3,1687,7.2,-1.0,1239,49.8%
60,B-17: Queen of the Skies,3,1539,7.1,8.0,1908,49.8%
61,Western Legends,2,243,7.7,9.0,6540,36.9%
62,Wellington: The Peninsula War 1812-1814,2,2884,6.9,8.0,632,36.9%
63,Wallenstein,2,532,7.5,8.0,3497,36.9%
64,Um Reifenbreite,2,1521,6.8,8.0,2190,36.9%
65,Tales of the Arabian Nights,2,435,7.2,8.0,11564,36.9%
66,Star Wars: The Queen's Gambit,2,773,7.6,8.5,2096,36.9%
67,Silverton,2,1908,7.1,8.0,1024,36.9%
68,Return of the Heroes,2,2247,6.5,8.0,2022,36.9%
69,Puerto Rico,2,28,8.0,6.0,63032,36.9%
70,Prophecy,2,2001,6.7,8.0,1882,36.9%
71,Paranoia Mandatory Bonus Fun! Card Game,2,7236,6.0,4.0,455,36.9%
72,Pandemic: Reign of Cthulhu,2,374,7.4,8.0,7857,36.9%
73,Modern Art,2,221,7.4,7.0,16670,36.9%
74,Merchants & Marauders,2,268,7.4,9.0,12712,36.9%
75,Merchant of Venus,2,996,7.1,9.0,2646,36.9%
76,Lost Cities,2,322,7.2,8.0,37164,36.9%
77,Gunslinger,2,2028,7.1,8.0,993,36.9%
78,Fury of Dracula (Second Edition),2,536,7.1,8.0,8973,36.9%
79,Formula Motor Racing,2,2469,6.4,7.0,1895,36.9%
80,Formula Dé,2,-1,7.0,7.0,7632,36.9%
81,Diplomacy,2,605,7.0,6.0,12083,36.9%
82,Dinosaurs of the Lost World,2,4700,6.6,9.0,400,36.9%
83,Chess,2,439,7.1,8.0,28655,36.9%
84,Carcassonne,2,181,7.4,6.0,101546,36.9%
85,BANG!,2,1270,6.5,8.0,26411,36.9%
86,Arkham Horror (Third Edition),2,325,7.8,9.0,4830,36.9%
87,Agricola,2,31,7.9,7.0,63367,36.9%
88,Age of Steam,2,118,7.8,8.0,8840,36.9%
89,Way Out West,1,4805,6.1,7.0,683,20.5%
90,Valley of the Mammoths,1,3194,6.4,7.0,1129,20.5%
91,Undaunted: North Africa,1,1301,8.1,8.0,828,20.5%
92,TurfMaster,1,1883,7.2,8.0,957,20.5%
93,Tsuro,1,933,6.7,6.0,23277,20.5%
94,Tigris & Euphrates,1,92,7.7,-1.0,25297,20.5%
95,Ticket to Ride: Europe,1,119,7.5,-1.0,58364,20.5%
96,Thunder at Cassino,1,3618,7.0,7.0,409,20.5%
97,Through the Ages: A Story of Civilization,1,49,7.9,8.0,17986,20.5%
98,Talisman (Revised 4th Edition),1,1476,6.5,9.0,13215,20.5%
99,Successors (Third Edition),1,1275,7.5,8.0,1189,20.5%
100,Storm over Arnhem,1,2099,7.2,7.0,869,20.5%
101,SpaceCorp,1,828,7.7,7.0,1692,20.5%
102,Scythe,1,14,8.2,9.0,57625,20.5%
103,San Juan,1,293,7.3,9.0,22214,20.5%
104,Primordial Soup,1,913,6.9,7.5,4539,20.5%
105,Mississippi Queen,1,2070,6.3,7.0,3837,20.5%
106,Middle-earth,1,1220,7.3,9.0,1860,20.5%
107,Manhattan,1,1152,6.7,-1.0,4929,20.5%
108,Die Macher,1,286,7.6,9.0,5222,20.5%
109,Lunch Money,1,12939,5.6,6.0,2565,20.5%
110,The Lord of the Rings,1,876,6.8,9.0,14258,20.5%
111,Kings & Things,1,2498,6.5,8.0,1608,20.5%
112,I'm the Boss!,1,1237,6.8,7.0,3526,20.5%
113,"Hey, That's My Fish!",1,855,6.7,7.0,19341,20.5%
114,Heimlich & Co.,1,1911,6.4,7.0,3368,20.5%
115,Hannibal: Rome vs. Carthage,1,237,7.8,9.0,4780,20.5%
116,Friedrich,1,670,7.6,9.0,2506,20.5%
117,Express,1,4894,6.2,-1.0,624,20.5%
118,Evo,1,1029,6.9,7.0,4372,20.5%
119,Dominant Species,1,64,7.8,7.0,17989,20.5%
120,Commands & Colors: Napoleonics,1,371,8.0,-1.0,2627,20.5%
121,Civilization West Extension Map,1,-1,7.8,-1.0,768,20.5%
122,Civilization Expansion Trade Cards Set,1,-1,7.8,-1.0,178,20.5%
123,Carcassonne: Star Wars,1,1798,6.7,7.0,2072,20.5%
124,Canyon,1,4180,6.2,7.5,769,20.5%
125,Blue Moon City,1,632,7.0,7.5,7687,20.5%
126,Bios:Origins (Second Edition),1,1864,8.1,8.0,547,20.5%
127,Betrayal at House on the Hill,1,519,7.1,8.0,36940,20.5%
128,Arkham Horror: Dunwich Horror Expansion,1,-1,7.8,-1.0,6201,20.5%
129,American Megafauna,1,4123,6.9,8.0,342,20.5%
130,Age of Napoleon,1,2387,6.8,7.0,1103,20.5%
131,Acquire,1,276,7.3,6.0,18189,20.5%
132,Zooloretto,0,755,6.8,-1.0,13881,0.0%
133,Yellowstone,0,13058,5.7,4.0,220,0.0%
134,Wyatt Earp,0,1116,6.8,7.0,3886,0.0%
