,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Spirit Island,841,13,8.3,10.0,25448,100.0%
1,Hanabi & Ikebana,524,-1,7.4,10.0,634,100.0%
2,Legendary: A Marvel Deck Building Game,460,175,7.6,7.0,19734,100.0%
3,Fangs,326,924,6.8,8.0,7995,100.0%
4,The Crew: The Quest for Planet Nine,296,41,8.0,8.0,14567,100.0%
5,Space Alert,281,219,7.4,10.0,14751,100.0%
6,Quarriors!,200,886,6.8,6.0,13141,100.0%
7,Magic: The Gathering,190,158,7.5,6.0,32365,100.0%
8,Factory Fun,176,1175,6.8,9.0,3403,100.0%
9,Encore!,153,1017,7.0,7.0,3233,99.9%
10,Ghost Stories,150,275,7.3,9.0,19378,99.9%
11,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,139,440,7.2,6.0,12015,99.9%
12,Terraforming Mars,134,4,8.4,8.0,64485,99.9%
13,Roll for the Galaxy,127,94,7.7,10.0,26342,99.9%
14,Space Base,124,214,7.6,8.0,8287,99.9%
15,BraveRats,124,2202,6.5,7.0,2156,99.9%
16,Loopin' Louie,123,922,6.8,6.0,8390,99.9%
17,Fighting Fantasy Battle Cards,121,18628,4.8,4.0,46,99.9%
18,HeroQuest,120,574,7.1,6.0,10977,99.9%
19,Race for the Galaxy,119,59,7.8,8.0,46293,99.9%
20,"Warhammer Epic 40,000",116,3804,6.6,6.0,582,99.9%
21,Tajemnicze Domostwo,109,633,7.2,10.0,4875,99.9%
22,Dragon Storm,105,17112,5.6,6.0,39,99.9%
23,Witch of Salem,99,2050,6.6,7.0,1818,99.9%
24,Pandemic,98,99,7.6,8.0,101865,99.9%
25,Sentinels of the Multiverse,94,398,7.2,8.0,14738,99.9%
26,Fairy Tale,94,970,6.7,8.0,8457,99.9%
27,Crokinole,90,66,7.9,9.0,12136,99.9%
28,Dominion,89,98,7.6,7.0,77920,99.9%
29,Galaxy Trucker,85,191,7.4,8.0,29437,99.9%
30,Codenames,84,93,7.6,8.0,67424,99.9%
31,Pickomino,83,1252,6.6,7.0,8983,99.9%
32,Codenames: Duet,82,160,7.6,8.0,13865,99.9%
33,The Quacks of Quedlinburg,80,67,7.8,8.0,22044,99.9%
34,Alhambra,79,468,7.0,8.0,28607,99.9%
