,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,Dominion,136,98,7.6,9.0,77920,99.9%
1,Race for the Galaxy,129,59,7.8,9.0,46293,99.9%
2,Carcassonne,117,181,7.4,9.0,101546,99.9%
3,Kingdom Builder,54,545,7.0,8.0,19618,99.9%
4,Catan,54,395,7.2,8.0,101212,99.9%
5,7 Wonders,50,60,7.8,9.0,84104,99.9%
6,Race for the Galaxy: The Gathering Storm,45,-1,8.1,8.0,9575,99.9%
7,Dominion: Seaside,42,-1,8.0,8.0,14447,99.9%
8,San Juan,32,293,7.3,8.0,22214,99.9%
9,Dominion: Intrigue,28,84,7.7,8.0,30066,99.8%
10,Dominion: Prosperity,27,-1,8.3,8.5,13433,99.8%
11,Cheese Chasers,26,10738,6.2,6.0,133,99.7%
12,Terraforming Mars,25,4,8.4,10.0,64485,99.6%
13,Pentago,25,2166,6.4,7.0,3095,99.6%
14,Love Letter,25,282,7.2,9.0,55827,99.6%
15,King of Tokyo,25,313,7.2,8.0,57483,99.6%
16,Splendor,23,167,7.5,8.0,58499,99.4%
17,The Resistance,23,267,7.3,-1.0,35861,99.4%
18,Race for the Galaxy: Rebel vs Imperium,22,-1,7.9,7.0,5715,99.3%
19,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,22,440,7.2,7.0,12015,99.3%
20,Dominion: Cornucopia,22,-1,7.7,8.0,5662,99.3%
21,Dominion: Alchemy,21,-1,6.9,6.5,8092,99.2%
22,D-Day Dice,21,1184,6.8,8.0,3425,99.2%
23,Battle Line,21,224,7.4,9.0,15624,99.2%
24,Agricola,21,31,7.9,7.0,63367,99.2%
25,Pandemic,20,99,7.6,8.0,101865,99.0%
26,Lost Cities,20,322,7.2,8.0,37164,99.0%
27,Lord of the Rings: The Confrontation,20,533,7.2,7.0,6534,99.0%
28,Legendary: A Marvel Deck Building Game,20,175,7.6,7.5,19734,99.0%
29,Jump Drive,20,1001,7.0,8.0,3209,99.0%
30,Dobble Free Demo Version,20,4124,6.5,7.0,743,99.0%
31,Roll for the Galaxy,19,94,7.7,9.0,26342,98.7%
32,7 Wonders Duel,19,17,8.1,9.0,59932,98.7%
33,Dungeon Roll,18,2578,6.1,6.0,7587,98.4%
34,Ticket to Ride,17,174,7.4,8.0,71408,98.0%
35,Race for the Galaxy: The Brink of War,17,-1,7.8,7.0,3439,98.0%
36,Carcassonne: Expansion 1 – Inns & Cathedrals,16,-1,7.6,8.0,19773,97.4%
37,Small World,15,255,7.3,7.0,61593,96.8%
