,Game,Plays,BGG Rank,BGG Rating,Your Rating,Users Rating,Utilisation
0,UNO Junior,81,11100,5.8,6.0,279,99.9%
1,Fabled Fruit,42,770,7.0,8.0,5045,99.9%
2,Loopin' Louie,24,922,6.8,7.0,8390,99.6%
3,Coconuts,19,933,7.0,8.0,3702,98.7%
4,The Ladybug's Costume Party,18,4956,6.5,9.0,366,98.4%
5,Spot it!,16,1109,6.6,7.0,12801,97.4%
6,Shephy,16,4117,6.8,7.0,380,97.4%
7,Red7,16,657,6.9,8.0,12645,97.4%
8,Carcassonne Junior,16,1478,6.7,8.0,3305,97.4%
9,Love Letter,15,282,7.2,7.0,55827,96.8%
10,Heckmeck Junior,14,7292,6.1,7.0,273,96.0%
11,Ghost Stories,14,275,7.3,7.0,19378,96.0%
12,Beasts of Balance,14,2581,7.0,8.0,792,96.0%
13,Orléans,13,25,8.1,8.0,22110,94.9%
14,The Crew: The Quest for Planet Nine,13,41,8.0,9.0,14567,94.9%
15,It's a Wonderful World: Heritage Edition,12,-1,8.5,9.0,482,93.6%
16,Fuji Flush,12,1887,6.6,7.0,2348,93.6%
17,Animal Upon Animal: Balancing Bridge,11,3474,7.0,8.0,424,92.0%
18,Lotti Karotti: Das Hasenrennen,11,17219,5.4,5.0,57,92.0%
19,Felicity: The Cat in the Sack,11,1428,6.6,9.0,4723,92.0%
20,Fast Forward: FORTRESS,11,3120,6.3,7.0,1275,92.0%
21,VivaJava: The Coffee Game: The Dice Game,10,1957,6.6,8.0,1875,90.0%
22,Fine Sand,10,3675,6.7,7.0,521,90.0%
23,Call to Glory,10,4095,6.5,8.0,536,90.0%
24,Walk the Plank!,9,2291,6.6,6.0,1692,87.4%
25,The Magic Labyrinth,9,1053,6.8,7.0,4859,87.4%
26,Famiglia,9,1967,6.4,7.0,2968,87.4%
27,The Castles of Burgundy,9,15,8.1,8.0,46330,87.4%
28,Bohnanza,9,450,7.0,8.0,38186,87.4%
29,Trains,8,503,7.2,8.0,7653,84.1%
30,Terraforming Mars,8,4,8.4,8.0,64485,84.1%
31,Rory's Story Cubes,8,2433,6.3,7.0,3215,84.1%
32,Formosa Flowers,8,15047,6.2,7.0,32,84.1%
33,Discworld: Ankh-Morpork,8,466,7.2,8.0,9231,84.1%
34,Carcassonne,8,181,7.4,7.0,101546,84.1%
35,Startups,7,1388,7.1,8.0,1653,80.0%
36,Harry Potter: Hogwarts Battle,7,288,7.5,8.0,11884,80.0%
37,Galaxy Trucker: Anniversary Edition,7,-1,8.2,8.0,2755,80.0%
38,Morels,7,706,7.0,7.0,7266,80.0%
39,Dirty Pig,7,4318,6.1,6.0,1237,80.0%
40,Camden,7,5558,6.3,7.0,464,80.0%
41,Alien Frontiers,7,232,7.4,7.0,14122,80.0%
42,Vast: The Crystal Caverns,6,613,7.2,7.0,5816,74.8%
43,Shahrazad,6,5850,6.2,6.0,380,74.8%
44,Ravine,6,4386,6.5,7.0,640,74.8%
45,Manimals: Europa 1,6,12069,6.7,7.0,41,74.8%
46,Grand Austria Hotel,6,87,7.8,8.0,12516,74.8%
47,Firefly: The Game,6,343,7.4,7.0,10507,74.8%
48,Among the Stars,6,603,7.1,8.0,6669,74.8%
49,Hanamikoji,5,206,7.5,7.0,10948,68.3%
50,Yura Yura Penguin,5,-1,8.4,8.0,22,68.3%
